,date,value,name_B07ZYWYWLZ
0,2019-11-13,173461.0,Sports Nutrition
1,2019-11-14,173461.0,Sports Nutrition
2,2019-11-15,95617.0,Sports Nutrition
3,2019-11-16,95617.0,Sports Nutrition
4,2019-11-17,95617.0,Sports Nutrition
5,2019-11-18,40746.0,Sports Nutrition
6,2019-11-19,67632.0,Sports Nutrition
7,2019-11-20,67632.0,Sports Nutrition
8,2019-11-21,67632.0,Sports Nutrition
9,2019-11-22,48719.0,Sports Nutrition
10,2019-11-23,48719.0,Sports Nutrition
11,2019-11-24,89847.0,Sports Nutrition
12,2019-11-25,89847.0,Sports Nutrition
13,2019-11-26,89847.0,Sports Nutrition
14,2019-11-27,89847.0,Sports Nutrition
15,2019-11-28,89847.0,Sports Nutrition
16,2019-11-29,102644.0,Sports Nutrition
17,2019-11-30,102644.0,Sports Nutrition
18,2019-12-01,44523.0,Sports Nutrition
19,2019-12-02,46762.0,Sports Nutrition
20,2019-12-03,54482.0,Sports Nutrition
21,2019-12-04,54482.0,Sports Nutrition
22,2019-12-05,54482.0,Sports Nutrition
23,2019-12-06,57038.0,Sports Nutrition
24,2019-12-07,38642.0,Sports Nutrition
25,2019-12-08,38642.0,Sports Nutrition
26,2019-12-09,28771.0,Sports Nutrition
27,2019-12-10,40352.0,Sports Nutrition
28,2019-12-11,40352.0,Sports Nutrition
29,2019-12-12,40352.0,Sports Nutrition
30,2019-12-13,40352.0,Sports Nutrition
31,2019-12-14,40352.0,Sports Nutrition
32,2019-12-15,40352.0,Sports Nutrition
33,2019-12-16,43227.0,Sports Nutrition
34,2019-12-17,43227.0,Sports Nutrition
35,2019-12-18,43227.0,Sports Nutrition
36,2019-12-19,43227.0,Sports Nutrition
37,2019-12-20,43227.0,Sports Nutrition
38,2019-12-21,43227.0,Sports Nutrition
39,2019-12-22,43227.0,Sports Nutrition
40,2019-12-23,43227.0,Sports Nutrition
41,2019-12-24,43227.0,Sports Nutrition
42,2019-12-25,67149.0,Sports Nutrition
43,2019-12-26,67149.0,Sports Nutrition
44,2019-12-27,67149.0,Sports Nutrition
45,2019-12-28,67149.0,Sports Nutrition
46,2019-12-29,67149.0,Sports Nutrition
47,2019-12-30,67149.0,Sports Nutrition
48,2019-12-31,67149.0,Sports Nutrition
49,2020-01-01,67149.0,Sports Nutrition
50,2020-01-02,32310.0,Sports Nutrition
51,2020-01-03,32310.0,Sports Nutrition
52,2020-01-04,32310.0,Sports Nutrition
53,2020-01-05,32310.0,Sports Nutrition
54,2020-01-06,32310.0,Sports Nutrition
55,2020-01-07,22164.0,Sports Nutrition
56,2020-01-08,22164.0,Sports Nutrition
57,2020-01-09,22164.0,Sports Nutrition
58,2020-01-10,22164.0,Sports Nutrition
59,2020-01-11,22164.0,Sports Nutrition
60,2020-01-12,22164.0,Sports Nutrition
61,2020-01-13,17169.0,Sports Nutrition
62,2020-01-14,19122.0,Sports Nutrition
63,2020-01-15,19122.0,Sports Nutrition
64,2020-01-16,19122.0,Sports Nutrition
65,2020-01-17,19122.0,Sports Nutrition
66,2020-01-18,19122.0,Sports Nutrition
67,2020-01-19,19122.0,Sports Nutrition
68,2020-01-20,19122.0,Sports Nutrition
69,2020-01-21,19122.0,Sports Nutrition
70,2020-01-22,19122.0,Sports Nutrition
71,2020-01-23,19122.0,Sports Nutrition
72,2020-01-24,18532.0,Sports Nutrition
73,2020-01-25,18532.0,Sports Nutrition
74,2020-01-26,18532.0,Sports Nutrition
