,date,value,name_B08541CYJL
0,2020-03-14,32821.0,Irrigation Tubing
1,2020-03-15,32821.0,Irrigation Tubing
2,2020-03-16,32821.0,Irrigation Tubing
3,2020-03-17,32821.0,Irrigation Tubing
4,2020-03-18,32821.0,Irrigation Tubing
5,2020-03-19,32821.0,Irrigation Tubing
6,2020-03-20,32821.0,Irrigation Tubing
7,2020-03-21,32821.0,Irrigation Tubing
8,2020-03-22,32821.0,Irrigation Tubing
9,2020-03-23,32821.0,Irrigation Tubing
10,2020-03-24,24789.0,Irrigation Tubing
11,2020-03-25,24789.0,Irrigation Tubing
12,2020-03-26,24789.0,Irrigation Tubing
13,2020-03-27,24789.0,Irrigation Tubing
14,2020-03-28,24789.0,Irrigation Tubing
15,2020-03-29,24789.0,Irrigation Tubing
16,2020-03-30,24789.0,Irrigation Tubing
17,2020-03-31,24789.0,Irrigation Tubing
18,2020-04-01,24785.0,Irrigation Tubing
19,2020-04-02,24785.0,Irrigation Tubing
20,2020-04-03,24785.0,Irrigation Tubing
21,2020-04-04,24785.0,Irrigation Tubing
22,2020-04-05,24785.0,Irrigation Tubing
23,2020-04-06,24785.0,Irrigation Tubing
24,2020-04-07,95592.0,Irrigation Tubing
25,2020-04-08,95592.0,Irrigation Tubing
26,2020-04-09,95592.0,Irrigation Tubing
27,2020-04-10,104874.0,Irrigation Tubing
28,2020-04-11,126873.0,Irrigation Tubing
29,2020-04-12,126873.0,Irrigation Tubing
30,2020-04-13,73479.0,Irrigation Tubing
31,2020-04-14,73479.0,Irrigation Tubing
32,2020-04-15,25763.0,Irrigation Tubing
33,2020-04-16,25763.0,Irrigation Tubing
34,2020-04-17,25763.0,Irrigation Tubing
35,2020-04-18,25763.0,Irrigation Tubing
36,2020-04-19,9791.0,Irrigation Tubing
37,2020-04-20,6135.0,Irrigation Tubing
38,2020-04-21,6135.0,Irrigation Tubing
39,2020-04-22,8810.0,Irrigation Tubing
40,2020-04-23,8810.0,Irrigation Tubing
41,2020-04-24,7383.0,Irrigation Tubing
42,2020-04-25,11127.0,Irrigation Tubing
43,2020-04-26,2878.0,Irrigation Tubing
44,2020-04-27,2878.0,Irrigation Tubing
45,2020-04-28,2878.0,Irrigation Tubing
46,2020-04-29,2878.0,Irrigation Tubing
47,2020-04-30,2878.0,Irrigation Tubing
48,2020-05-01,2878.0,Irrigation Tubing
49,2020-05-02,43756.0,Irrigation Tubing
50,2020-05-03,43756.0,Irrigation Tubing
51,2020-05-04,43756.0,Irrigation Tubing
52,2020-05-05,66429.0,Irrigation Tubing
53,2020-05-06,66429.0,Irrigation Tubing
54,2020-05-07,92990.0,Irrigation Tubing
55,2020-05-08,92990.0,Irrigation Tubing
56,2020-05-09,92990.0,Irrigation Tubing
57,2020-05-10,92990.0,Irrigation Tubing
58,2020-05-11,92990.0,Irrigation Tubing
59,2020-05-12,135669.0,Irrigation Tubing
60,2020-05-13,135669.0,Irrigation Tubing
61,2020-05-14,135669.0,Irrigation Tubing
62,2020-05-15,135669.0,Irrigation Tubing
63,2020-05-16,135669.0,Irrigation Tubing
64,2020-05-17,135669.0,Irrigation Tubing
65,2020-05-18,163979.0,Irrigation Tubing
66,2020-05-19,163979.0,Irrigation Tubing
67,2020-05-20,163979.0,Irrigation Tubing
68,2020-05-21,4885.0,Irrigation Tubing
69,2020-05-22,4885.0,Irrigation Tubing
70,2020-05-23,6193.0,Irrigation Tubing
71,2020-05-24,3245.0,Irrigation Tubing
72,2020-05-25,3026.0,Irrigation Tubing
73,2020-05-26,3026.0,Irrigation Tubing
74,2020-05-27,3026.0,Irrigation Tubing
75,2020-05-28,4473.0,Irrigation Tubing
76,2020-05-29,3738.0,Irrigation Tubing
77,2020-05-30,3738.0,Irrigation Tubing
78,2020-05-31,4440.0,Irrigation Tubing
79,2020-06-01,4440.0,Irrigation Tubing
80,2020-06-02,4440.0,Irrigation Tubing
81,2020-06-03,3702.0,Irrigation Tubing
82,2020-06-04,3702.0,Irrigation Tubing
83,2020-06-05,3702.0,Irrigation Tubing
84,2020-06-06,3702.0,Irrigation Tubing
85,2020-06-07,3702.0,Irrigation Tubing
86,2020-06-08,10546.0,Irrigation Tubing
87,2020-06-09,10546.0,Irrigation Tubing
88,2020-06-10,10546.0,Irrigation Tubing
89,2020-06-11,14533.0,Irrigation Tubing
90,2020-06-12,14533.0,Irrigation Tubing
91,2020-06-13,14533.0,Irrigation Tubing
92,2020-06-14,14533.0,Irrigation Tubing
93,2020-06-15,4988.0,Irrigation Tubing
94,2020-06-16,6106.0,Irrigation Tubing
95,2020-06-17,6106.0,Irrigation Tubing
96,2020-06-18,2780.0,Irrigation Tubing
97,2020-06-19,4293.0,Irrigation Tubing
98,2020-06-20,4293.0,Irrigation Tubing
99,2020-06-21,5370.0,Irrigation Tubing
100,2020-06-22,5370.0,Irrigation Tubing
101,2020-06-23,4414.0,Irrigation Tubing
102,2020-06-24,4414.0,Irrigation Tubing
103,2020-06-25,5139.0,Irrigation Tubing
104,2020-06-26,6057.0,Irrigation Tubing
105,2020-06-27,6057.0,Irrigation Tubing
106,2020-06-28,4951.0,Irrigation Tubing
107,2020-06-29,4951.0,Irrigation Tubing
108,2020-06-30,4951.0,Irrigation Tubing
109,2020-07-01,8490.0,Irrigation Tubing
110,2020-07-02,8490.0,Irrigation Tubing
111,2020-07-03,8490.0,Irrigation Tubing
112,2020-07-04,6231.0,Irrigation Tubing
113,2020-07-05,6231.0,Irrigation Tubing
114,2020-07-06,6231.0,Irrigation Tubing
115,2020-07-07,4676.0,Irrigation Tubing
116,2020-07-08,5370.0,Irrigation Tubing
117,2020-07-09,5152.0,Irrigation Tubing
118,2020-07-10,5184.0,Irrigation Tubing
119,2020-07-11,5184.0,Irrigation Tubing
120,2020-07-12,8819.0,Irrigation Tubing
121,2020-07-13,8819.0,Irrigation Tubing
122,2020-07-14,8819.0,Irrigation Tubing
123,2020-07-15,8819.0,Irrigation Tubing
124,2020-07-16,8819.0,Irrigation Tubing
125,2020-07-17,8819.0,Irrigation Tubing
126,2020-07-18,8503.0,Irrigation Tubing
127,2020-07-19,8503.0,Irrigation Tubing
128,2020-07-20,8503.0,Irrigation Tubing
129,2020-07-21,8503.0,Irrigation Tubing
130,2020-07-22,8503.0,Irrigation Tubing
131,2020-07-23,5542.0,Irrigation Tubing
132,2020-07-24,5542.0,Irrigation Tubing
133,2020-07-25,5542.0,Irrigation Tubing
134,2020-07-26,7915.0,Irrigation Tubing
135,2020-07-27,7915.0,Irrigation Tubing
136,2020-07-28,5649.0,Irrigation Tubing
137,2020-07-29,8802.0,Irrigation Tubing
138,2020-07-30,8802.0,Irrigation Tubing
139,2020-07-31,8802.0,Irrigation Tubing
140,2020-08-01,7706.0,Irrigation Tubing
141,2020-08-02,7115.0,Irrigation Tubing
142,2020-08-03,8325.0,Irrigation Tubing
143,2020-08-04,8325.0,Irrigation Tubing
144,2020-08-05,5865.0,Irrigation Tubing
145,2020-08-06,8660.0,Irrigation Tubing
146,2020-08-07,7440.0,Irrigation Tubing
147,2020-08-08,7440.0,Irrigation Tubing
148,2020-08-09,7440.0,Irrigation Tubing
149,2020-08-10,6820.0,Irrigation Tubing
150,2020-08-11,6820.0,Irrigation Tubing
151,2020-08-12,9130.0,Irrigation Tubing
152,2020-08-13,9130.0,Irrigation Tubing
153,2020-08-14,9130.0,Irrigation Tubing
154,2020-08-15,9130.0,Irrigation Tubing
155,2020-08-16,9130.0,Irrigation Tubing
156,2020-08-17,9593.0,Irrigation Tubing
157,2020-08-18,9593.0,Irrigation Tubing
158,2020-08-19,9593.0,Irrigation Tubing
159,2020-08-20,12476.0,Irrigation Tubing
160,2020-08-21,12476.0,Irrigation Tubing
161,2020-08-22,12476.0,Irrigation Tubing
162,2020-08-23,8512.0,Irrigation Tubing
163,2020-08-24,8512.0,Irrigation Tubing
164,2020-08-25,8512.0,Irrigation Tubing
165,2020-08-26,11606.0,Irrigation Tubing
166,2020-08-27,11606.0,Irrigation Tubing
167,2020-08-28,11606.0,Irrigation Tubing
168,2020-08-29,6257.0,Irrigation Tubing
169,2020-08-30,6257.0,Irrigation Tubing
170,2020-08-31,9056.0,Irrigation Tubing
171,2020-09-01,12131.0,Irrigation Tubing
172,2020-09-02,12131.0,Irrigation Tubing
173,2020-09-03,9829.0,Irrigation Tubing
174,2020-09-04,9829.0,Irrigation Tubing
175,2020-09-05,9829.0,Irrigation Tubing
176,2020-09-06,9829.0,Irrigation Tubing
177,2020-09-07,9829.0,Irrigation Tubing
178,2020-09-08,10433.0,Irrigation Tubing
179,2020-09-09,10433.0,Irrigation Tubing
180,2020-09-10,10433.0,Irrigation Tubing
181,2020-09-11,10169.0,Irrigation Tubing
182,2020-09-12,9930.0,Irrigation Tubing
183,2020-09-13,9930.0,Irrigation Tubing
184,2020-09-14,8173.0,Irrigation Tubing
185,2020-09-15,10028.0,Irrigation Tubing
186,2020-09-16,10028.0,Irrigation Tubing
187,2020-09-17,10028.0,Irrigation Tubing
188,2020-09-18,8986.0,Irrigation Tubing
189,2020-09-19,13190.0,Irrigation Tubing
190,2020-09-20,13190.0,Irrigation Tubing
191,2020-09-21,11693.0,Irrigation Tubing
192,2020-09-22,15635.0,Irrigation Tubing
193,2020-09-23,15635.0,Irrigation Tubing
194,2020-09-24,10474.0,Irrigation Tubing
195,2020-09-25,8490.0,Irrigation Tubing
196,2020-09-26,8490.0,Irrigation Tubing
197,2020-09-27,8490.0,Irrigation Tubing
198,2020-09-28,9851.0,Irrigation Tubing
199,2020-09-29,9851.0,Irrigation Tubing
200,2020-09-30,9851.0,Irrigation Tubing
201,2020-10-01,9851.0,Irrigation Tubing
202,2020-10-02,11519.0,Irrigation Tubing
203,2020-10-03,10691.0,Irrigation Tubing
204,2020-10-04,14556.0,Irrigation Tubing
205,2020-10-05,14556.0,Irrigation Tubing
