,date,value,name_B07XTFFB9Z
0,2019-10-21,297346.0,Panels
1,2019-10-22,291332.0,Panels
2,2019-10-23,183880.0,Panels
3,2019-10-24,252045.0,Panels
4,2019-10-25,84295.0,Panels
5,2019-10-26,107713.0,Panels
6,2019-10-27,140110.0,Panels
7,2019-10-28,108856.0,Panels
8,2019-10-29,123924.0,Panels
9,2019-10-30,120020.0,Panels
10,2019-10-31,154463.0,Panels
11,2019-11-01,94309.0,Panels
12,2019-11-02,96527.0,Panels
13,2019-11-03,88943.0,Panels
14,2019-11-04,97957.0,Panels
15,2019-11-05,65938.0,Panels
16,2019-11-06,76080.0,Panels
17,2019-11-07,53731.0,Panels
18,2019-11-08,71245.0,Panels
19,2019-11-09,52753.0,Panels
20,2019-11-10,62684.0,Panels
21,2019-11-11,52184.0,Panels
22,2019-11-12,42814.0,Panels
23,2019-11-13,54497.0,Panels
24,2019-11-14,50669.0,Panels
25,2019-11-15,71557.0,Panels
26,2019-11-16,46050.0,Panels
27,2019-11-17,42284.0,Panels
28,2019-11-18,52279.0,Panels
29,2019-11-19,52279.0,Panels
30,2019-11-20,48324.0,Panels
31,2019-11-21,48324.0,Panels
32,2019-11-22,40970.0,Panels
33,2019-11-23,40970.0,Panels
34,2019-11-24,40970.0,Panels
35,2019-11-25,39754.0,Panels
36,2019-11-26,36246.0,Panels
37,2019-11-27,36246.0,Panels
38,2019-11-28,36246.0,Panels
39,2019-11-29,24292.0,Panels
40,2019-11-30,24292.0,Panels
41,2019-12-01,24292.0,Panels
42,2019-12-02,31241.0,Panels
43,2019-12-03,39366.0,Panels
44,2019-12-04,39366.0,Panels
45,2019-12-05,61447.0,Panels
46,2019-12-06,31986.0,Panels
47,2019-12-07,31986.0,Panels
48,2019-12-08,31986.0,Panels
49,2019-12-09,52758.0,Panels
50,2019-12-10,42181.0,Panels
51,2019-12-11,42041.0,Panels
52,2019-12-12,42041.0,Panels
53,2019-12-13,42699.0,Panels
54,2019-12-14,42699.0,Panels
55,2019-12-15,42699.0,Panels
56,2019-12-16,29956.0,Panels
57,2019-12-17,29288.0,Panels
58,2019-12-18,29288.0,Panels
59,2019-12-19,29288.0,Panels
60,2019-12-20,35531.0,Panels
61,2019-12-21,35531.0,Panels
62,2019-12-22,26484.0,Panels
63,2019-12-23,26484.0,Panels
64,2019-12-24,26484.0,Panels
65,2019-12-25,31475.0,Panels
66,2019-12-26,31475.0,Panels
67,2019-12-27,24685.0,Panels
68,2019-12-28,24685.0,Panels
69,2019-12-29,24685.0,Panels
70,2019-12-30,16693.0,Panels
71,2019-12-31,16693.0,Panels
72,2020-01-01,16693.0,Panels
73,2020-01-02,22994.0,Panels
74,2020-01-03,22994.0,Panels
75,2020-01-04,22994.0,Panels
76,2020-01-05,22994.0,Panels
77,2020-01-06,14748.0,Panels
78,2020-01-07,14748.0,Panels
79,2020-01-08,19139.0,Panels
80,2020-01-09,19139.0,Panels
81,2020-01-10,19139.0,Panels
82,2020-01-11,19139.0,Panels
83,2020-01-12,19139.0,Panels
84,2020-01-13,12730.0,Panels
85,2020-01-14,12730.0,Panels
86,2020-01-15,12730.0,Panels
87,2020-01-16,19048.0,Panels
88,2020-01-17,19048.0,Panels
89,2020-01-18,19048.0,Panels
90,2020-01-19,19048.0,Panels
91,2020-01-20,11140.0,Panels
92,2020-01-21,11140.0,Panels
93,2020-01-22,11140.0,Panels
94,2020-01-23,11140.0,Panels
95,2020-01-24,16185.0,Panels
96,2020-01-25,16185.0,Panels
97,2020-01-26,16185.0,Panels
98,2020-01-27,16185.0,Panels
99,2020-01-28,17465.0,Panels
100,2020-01-29,17465.0,Panels
101,2020-01-30,17465.0,Panels
102,2020-01-31,17465.0,Panels
103,2020-02-01,17465.0,Panels
104,2020-02-02,15766.0,Panels
105,2020-02-03,15766.0,Panels
106,2020-02-04,14778.0,Panels
107,2020-02-05,14778.0,Panels
108,2020-02-06,14778.0,Panels
109,2020-02-07,13782.0,Panels
110,2020-02-08,13782.0,Panels
111,2020-02-09,13782.0,Panels
112,2020-02-10,13782.0,Panels
113,2020-02-11,13782.0,Panels
114,2020-02-12,13782.0,Panels
115,2020-02-13,13782.0,Panels
116,2020-02-14,13782.0,Panels
117,2020-02-15,13340.0,Panels
118,2020-02-16,13340.0,Panels
119,2020-02-17,13340.0,Panels
120,2020-02-18,13340.0,Panels
121,2020-02-19,13340.0,Panels
122,2020-02-20,14022.0,Panels
123,2020-02-21,14022.0,Panels
124,2020-02-22,14304.0,Panels
125,2020-02-23,12932.0,Panels
126,2020-02-24,12932.0,Panels
127,2020-02-25,12932.0,Panels
128,2020-02-26,5974.0,Panels
129,2020-02-27,4118.0,Panels
130,2020-02-28,4118.0,Panels
131,2020-02-29,4118.0,Panels
132,2020-03-01,6595.0,Panels
133,2020-03-02,5767.0,Panels
134,2020-03-03,5767.0,Panels
135,2020-03-04,6789.0,Panels
136,2020-03-05,6842.0,Panels
137,2020-03-06,6171.0,Panels
138,2020-03-07,6171.0,Panels
139,2020-03-08,6171.0,Panels
140,2020-03-09,8373.0,Panels
141,2020-03-10,7940.0,Panels
