,date,value,name_B07NH7NWYW
0,2020-05-27,41894.0,Easels
1,2020-05-28,41894.0,Easels
2,2020-05-29,22915.0,Easels
3,2020-05-30,22915.0,Easels
4,2020-05-31,22915.0,Easels
5,2020-06-01,22915.0,Easels
6,2020-06-02,47956.0,Easels
7,2020-06-03,47956.0,Easels
8,2020-06-04,47956.0,Easels
9,2020-06-05,47956.0,Easels
10,2020-06-06,47956.0,Easels
11,2020-06-07,47956.0,Easels
12,2020-06-08,54643.0,Easels
13,2020-06-09,54643.0,Easels
14,2020-06-10,54643.0,Easels
15,2020-06-11,54643.0,Easels
16,2020-06-12,54643.0,Easels
17,2020-06-13,54643.0,Easels
18,2020-06-14,54643.0,Easels
19,2020-06-15,41230.0,Easels
20,2020-06-16,41230.0,Easels
21,2020-06-17,41230.0,Easels
22,2020-06-18,27428.0,Easels
23,2020-06-19,27428.0,Easels
24,2020-06-20,27428.0,Easels
25,2020-06-21,27428.0,Easels
26,2020-06-22,27428.0,Easels
27,2020-06-23,27428.0,Easels
28,2020-06-24,27428.0,Easels
29,2020-06-25,27428.0,Easels
30,2020-06-26,22006.0,Easels
31,2020-06-27,22006.0,Easels
32,2020-06-28,22006.0,Easels
33,2020-06-29,22006.0,Easels
34,2020-06-30,37674.0,Easels
35,2020-07-01,25793.0,Easels
36,2020-07-02,45766.0,Easels
37,2020-07-03,43686.0,Easels
38,2020-07-04,43686.0,Easels
39,2020-07-05,43686.0,Easels
40,2020-07-06,43686.0,Easels
41,2020-07-07,43686.0,Easels
42,2020-07-08,43686.0,Easels
43,2020-07-09,30866.0,Easels
44,2020-07-10,30866.0,Easels
45,2020-07-11,30866.0,Easels
46,2020-07-12,30866.0,Easels
47,2020-07-13,30866.0,Easels
48,2020-07-14,30866.0,Easels
49,2020-07-15,39129.0,Easels
50,2020-07-16,39129.0,Easels
51,2020-07-17,39129.0,Easels
52,2020-07-18,39129.0,Easels
53,2020-07-19,39129.0,Easels
54,2020-07-20,39129.0,Easels
55,2020-07-21,39129.0,Easels
56,2020-07-22,39129.0,Easels
57,2020-07-23,39129.0,Easels
58,2020-07-24,39129.0,Easels
59,2020-07-25,50825.0,Easels
60,2020-07-26,50825.0,Easels
61,2020-07-27,48967.0,Easels
62,2020-07-28,48967.0,Easels
63,2020-07-29,48967.0,Easels
64,2020-07-30,48967.0,Easels
65,2020-07-31,48967.0,Easels
66,2020-08-01,48967.0,Easels
67,2020-08-02,48967.0,Easels
68,2020-08-03,48967.0,Easels
69,2020-08-04,48967.0,Easels
70,2020-08-05,48967.0,Easels
71,2020-08-06,44197.0,Easels
72,2020-08-07,44197.0,Easels
73,2020-08-08,44197.0,Easels
74,2020-08-09,44197.0,Easels
75,2020-08-10,44197.0,Easels
76,2020-08-11,44197.0,Easels
77,2020-08-12,44197.0,Easels
78,2020-08-13,44197.0,Easels
79,2020-08-14,39712.0,Easels
80,2020-08-15,39712.0,Easels
81,2020-08-16,39712.0,Easels
82,2020-08-17,83173.0,Easels
83,2020-08-18,83173.0,Easels
84,2020-08-19,83173.0,Easels
85,2020-08-20,83173.0,Easels
86,2020-08-21,83173.0,Easels
87,2020-08-22,83173.0,Easels
88,2020-08-23,83173.0,Easels
89,2020-08-24,83173.0,Easels
90,2020-08-25,41910.0,Easels
91,2020-08-26,41910.0,Easels
92,2020-08-27,41910.0,Easels
93,2020-08-28,41910.0,Easels
94,2020-08-29,41910.0,Easels
95,2020-08-30,41910.0,Easels
96,2020-08-31,72447.0,Easels
97,2020-09-01,72447.0,Easels
98,2020-09-02,72447.0,Easels
99,2020-09-03,72447.0,Easels
100,2020-09-04,72447.0,Easels
101,2020-09-05,72447.0,Easels
102,2020-09-06,72447.0,Easels
103,2020-09-07,31484.0,Easels
104,2020-09-08,31484.0,Easels
105,2020-09-09,31484.0,Easels
106,2020-09-10,19581.0,Easels
107,2020-09-11,41685.0,Easels
108,2020-09-12,41685.0,Easels
109,2020-09-13,41685.0,Easels
110,2020-09-14,26337.0,Easels
111,2020-09-15,26337.0,Easels
112,2020-09-16,26337.0,Easels
113,2020-09-17,22097.0,Easels
114,2020-09-18,22097.0,Easels
115,2020-09-19,22097.0,Easels
116,2020-09-20,2848.0,Easels
117,2020-09-21,2848.0,Easels
118,2020-09-22,2848.0,Easels
119,2020-09-23,2848.0,Easels
120,2020-09-24,2848.0,Easels
121,2020-09-25,17551.0,Easels
122,2020-09-26,17551.0,Easels
123,2020-09-27,17551.0,Easels
124,2020-09-28,17551.0,Easels
125,2020-09-29,17551.0,Easels
126,2020-09-30,17551.0,Easels
127,2020-10-01,17551.0,Easels
128,2020-10-02,17551.0,Easels
129,2020-10-03,16485.0,Easels
130,2020-10-04,16485.0,Easels
131,2020-10-05,16485.0,Easels
132,2020-10-06,16485.0,Easels
133,2020-10-07,15487.0,Easels
134,2020-10-08,15487.0,Easels
135,2020-10-09,15487.0,Easels
136,2020-10-10,15487.0,Easels
137,2020-10-11,15487.0,Easels
138,2020-10-12,36487.0,Easels
139,2020-10-13,36487.0,Easels
140,2020-10-14,25111.0,Easels
141,2020-10-15,25111.0,Easels
142,2020-10-16,25111.0,Easels
143,2020-10-17,26849.0,Easels
144,2020-10-18,26849.0,Easels
145,2020-10-19,26849.0,Easels
146,2020-10-20,26849.0,Easels
147,2020-10-21,26849.0,Easels
148,2020-10-22,26849.0,Easels
149,2020-10-23,44280.0,Easels
150,2020-10-24,44280.0,Easels
151,2020-10-25,44280.0,Easels
152,2020-10-26,42721.0,Easels
153,2020-10-27,42721.0,Easels
154,2020-10-28,42721.0,Easels
155,2020-10-29,42721.0,Easels
156,2020-10-30,37636.0,Easels
157,2020-10-31,37636.0,Easels
158,2020-11-01,37636.0,Easels
159,2020-11-02,37636.0,Easels
160,2020-11-03,104300.0,Easels
161,2020-11-04,104300.0,Easels
162,2020-11-05,104300.0,Easels
163,2020-11-06,39485.0,Easels
164,2020-11-07,39485.0,Easels
165,2020-11-08,39485.0,Easels
166,2020-11-09,35745.0,Easels
167,2020-11-10,53319.0,Easels
168,2020-11-11,48310.0,Easels
169,2020-11-12,48310.0,Easels
170,2020-11-13,48310.0,Easels
171,2020-11-14,63489.0,Easels
172,2020-11-15,63489.0,Easels
173,2020-11-16,63489.0,Easels
174,2020-11-17,63489.0,Easels
175,2020-11-18,63489.0,Easels
176,2020-11-19,27816.0,Easels
177,2020-11-20,27816.0,Easels
178,2020-11-21,27816.0,Easels
179,2020-11-22,27816.0,Easels
180,2020-11-23,27816.0,Easels
181,2020-11-24,45312.0,Easels
182,2020-11-25,45312.0,Easels
183,2020-11-26,45312.0,Easels
184,2020-11-27,45312.0,Easels
185,2020-11-28,45312.0,Easels
