,date,value,name_B07D6XVS2M
0,2020-06-05,24265.0,Cold Packs
1,2020-06-06,24265.0,Cold Packs
2,2020-06-07,24265.0,Cold Packs
3,2020-06-08,24265.0,Cold Packs
4,2020-06-09,24265.0,Cold Packs
5,2020-06-10,24265.0,Cold Packs
6,2020-06-11,13910.0,Cold Packs
7,2020-06-12,13910.0,Cold Packs
8,2020-06-13,13910.0,Cold Packs
9,2020-06-14,13910.0,Cold Packs
10,2020-06-15,13910.0,Cold Packs
11,2020-06-16,16184.0,Cold Packs
12,2020-06-17,15839.0,Cold Packs
13,2020-06-18,13317.0,Cold Packs
14,2020-06-19,13317.0,Cold Packs
15,2020-06-20,14679.0,Cold Packs
16,2020-06-21,14679.0,Cold Packs
17,2020-06-22,14679.0,Cold Packs
18,2020-06-23,14679.0,Cold Packs
19,2020-06-24,14679.0,Cold Packs
20,2020-06-25,42038.0,Cold Packs
21,2020-06-26,42038.0,Cold Packs
22,2020-06-27,42038.0,Cold Packs
23,2020-06-28,42038.0,Cold Packs
24,2020-06-29,42038.0,Cold Packs
25,2020-06-30,56397.0,Cold Packs
26,2020-07-01,56397.0,Cold Packs
27,2020-07-02,56397.0,Cold Packs
28,2020-07-03,56397.0,Cold Packs
29,2020-07-04,56397.0,Cold Packs
30,2020-07-05,56397.0,Cold Packs
31,2020-07-06,34495.0,Cold Packs
32,2020-07-07,34495.0,Cold Packs
33,2020-07-08,40655.0,Cold Packs
34,2020-07-09,40655.0,Cold Packs
35,2020-07-10,40655.0,Cold Packs
36,2020-07-11,40655.0,Cold Packs
37,2020-07-12,40655.0,Cold Packs
38,2020-07-13,40655.0,Cold Packs
39,2020-07-14,28949.0,Cold Packs
40,2020-07-15,28949.0,Cold Packs
41,2020-07-16,28949.0,Cold Packs
42,2020-07-17,28949.0,Cold Packs
43,2020-07-18,28949.0,Cold Packs
44,2020-07-19,28949.0,Cold Packs
45,2020-07-20,28949.0,Cold Packs
46,2020-07-21,22067.0,Cold Packs
47,2020-07-22,25550.0,Cold Packs
48,2020-07-23,25550.0,Cold Packs
49,2020-07-24,25550.0,Cold Packs
50,2020-07-25,25550.0,Cold Packs
51,2020-07-26,25550.0,Cold Packs
52,2020-07-27,23002.0,Cold Packs
53,2020-07-28,24432.0,Cold Packs
54,2020-07-29,24432.0,Cold Packs
55,2020-07-30,24432.0,Cold Packs
56,2020-07-31,24432.0,Cold Packs
57,2020-08-01,24432.0,Cold Packs
58,2020-08-02,24432.0,Cold Packs
59,2020-08-03,22616.0,Cold Packs
60,2020-08-04,22616.0,Cold Packs
61,2020-08-05,22616.0,Cold Packs
62,2020-08-06,23766.0,Cold Packs
63,2020-08-07,23766.0,Cold Packs
64,2020-08-08,23766.0,Cold Packs
65,2020-08-09,23766.0,Cold Packs
66,2020-08-10,23672.0,Cold Packs
67,2020-08-11,23672.0,Cold Packs
68,2020-08-12,23672.0,Cold Packs
69,2020-08-13,18714.0,Cold Packs
70,2020-08-14,18615.0,Cold Packs
71,2020-08-15,18615.0,Cold Packs
72,2020-08-16,18615.0,Cold Packs
73,2020-08-17,27121.0,Cold Packs
74,2020-08-18,27121.0,Cold Packs
75,2020-08-19,25566.0,Cold Packs
76,2020-08-20,25566.0,Cold Packs
77,2020-08-21,25566.0,Cold Packs
78,2020-08-22,25566.0,Cold Packs
79,2020-08-23,25566.0,Cold Packs
80,2020-08-24,21088.0,Cold Packs
81,2020-08-25,21088.0,Cold Packs
82,2020-08-26,21088.0,Cold Packs
83,2020-08-27,29004.0,Cold Packs
84,2020-08-28,29004.0,Cold Packs
85,2020-08-29,29004.0,Cold Packs
86,2020-08-30,29004.0,Cold Packs
87,2020-08-31,38849.0,Cold Packs
88,2020-09-01,38849.0,Cold Packs
89,2020-09-02,38849.0,Cold Packs
90,2020-09-03,36483.0,Cold Packs
91,2020-09-04,36483.0,Cold Packs
92,2020-09-05,36483.0,Cold Packs
93,2020-09-06,36483.0,Cold Packs
94,2020-09-07,36483.0,Cold Packs
95,2020-09-08,29272.0,Cold Packs
96,2020-09-09,29272.0,Cold Packs
97,2020-09-10,29272.0,Cold Packs
98,2020-09-11,29272.0,Cold Packs
99,2020-09-12,29272.0,Cold Packs
100,2020-09-13,29272.0,Cold Packs
101,2020-09-14,29272.0,Cold Packs
102,2020-09-15,29272.0,Cold Packs
103,2020-09-16,29272.0,Cold Packs
104,2020-09-17,29272.0,Cold Packs
105,2020-09-18,33672.0,Cold Packs
106,2020-09-19,33672.0,Cold Packs
107,2020-09-20,33672.0,Cold Packs
108,2020-09-21,33672.0,Cold Packs
109,2020-09-22,33672.0,Cold Packs
110,2020-09-23,31839.0,Cold Packs
111,2020-09-24,31839.0,Cold Packs
112,2020-09-25,32965.0,Cold Packs
113,2020-09-26,32965.0,Cold Packs
114,2020-09-27,32965.0,Cold Packs
115,2020-09-28,32965.0,Cold Packs
116,2020-09-29,32965.0,Cold Packs
117,2020-09-30,33707.0,Cold Packs
118,2020-10-01,33707.0,Cold Packs
119,2020-10-02,33707.0,Cold Packs
120,2020-10-03,33707.0,Cold Packs
121,2020-10-04,33682.0,Cold Packs
122,2020-10-05,33682.0,Cold Packs
123,2020-10-06,33682.0,Cold Packs
124,2020-10-07,33682.0,Cold Packs
125,2020-10-08,33682.0,Cold Packs
126,2020-10-09,33682.0,Cold Packs
127,2020-10-10,44670.0,Cold Packs
128,2020-10-11,44670.0,Cold Packs
129,2020-10-12,44670.0,Cold Packs
130,2020-10-13,44670.0,Cold Packs
131,2020-10-14,34026.0,Cold Packs
132,2020-10-15,34026.0,Cold Packs
133,2020-10-16,34026.0,Cold Packs
