,date,value,name_B08Y8FSLSF
0,2021-05-14,111170.0,Bubble Wrap
1,2021-05-15,91994.0,Bubble Wrap
2,2021-05-16,27328.0,Bubble Wrap
3,2021-05-17,38424.0,Bubble Wrap
4,2021-05-18,57074.0,Bubble Wrap
5,2021-05-19,25789.0,Bubble Wrap
6,2021-05-20,29748.0,Bubble Wrap
7,2021-05-21,28652.0,Bubble Wrap
8,2021-05-22,29517.0,Bubble Wrap
9,2021-05-23,19061.0,Bubble Wrap
10,2021-05-24,11679.0,Bubble Wrap
11,2021-05-25,7467.0,Bubble Wrap
12,2021-05-26,7978.0,Bubble Wrap
13,2021-05-27,11946.0,Bubble Wrap
14,2021-05-28,14059.0,Bubble Wrap
15,2021-05-29,11812.0,Bubble Wrap
16,2021-05-30,11812.0,Bubble Wrap
17,2021-05-31,11812.0,Bubble Wrap
18,2021-06-01,49186.0,Bubble Wrap
19,2021-06-02,29334.0,Bubble Wrap
20,2021-06-03,18679.0,Bubble Wrap
21,2021-06-04,14394.0,Bubble Wrap
22,2021-06-05,11655.0,Bubble Wrap
23,2021-06-06,8803.0,Bubble Wrap
24,2021-06-07,5887.0,Bubble Wrap
25,2021-06-08,5977.0,Bubble Wrap
26,2021-06-09,6598.0,Bubble Wrap
27,2021-06-10,6538.0,Bubble Wrap
28,2021-06-11,7718.0,Bubble Wrap
29,2021-06-12,7768.0,Bubble Wrap
30,2021-06-13,6089.0,Bubble Wrap
31,2021-06-14,6731.0,Bubble Wrap
32,2021-06-15,8462.0,Bubble Wrap
33,2021-06-16,7725.0,Bubble Wrap
34,2021-06-17,8724.0,Bubble Wrap
35,2021-06-18,7859.0,Bubble Wrap
36,2021-06-19,7125.0,Bubble Wrap
37,2021-06-20,5955.0,Bubble Wrap
38,2021-06-21,7557.0,Bubble Wrap
39,2021-06-22,7781.0,Bubble Wrap
40,2021-06-23,9426.0,Bubble Wrap
41,2021-06-24,14571.0,Bubble Wrap
42,2021-06-25,12039.0,Bubble Wrap
43,2021-06-26,12820.0,Bubble Wrap
44,2021-06-27,8643.0,Bubble Wrap
45,2021-06-28,9772.0,Bubble Wrap
46,2021-06-29,9564.0,Bubble Wrap
47,2021-06-30,15400.0,Bubble Wrap
48,2021-07-01,11628.0,Bubble Wrap
49,2021-07-02,11968.0,Bubble Wrap
50,2021-07-03,10120.0,Bubble Wrap
51,2021-07-04,8832.0,Bubble Wrap
52,2021-07-05,8978.0,Bubble Wrap
53,2021-07-06,16252.0,Bubble Wrap
54,2021-07-07,21784.0,Bubble Wrap
55,2021-07-08,33556.0,Bubble Wrap
56,2021-07-09,41360.0,Bubble Wrap
