,date,value,name_B07WZ1BBKR
0,2020-05-23,21038.0,Hawthorn
1,2020-05-24,26908.0,Hawthorn
2,2020-05-25,23070.0,Hawthorn
3,2020-05-26,19449.0,Hawthorn
4,2020-05-27,19449.0,Hawthorn
5,2020-05-28,18745.0,Hawthorn
6,2020-05-29,18285.0,Hawthorn
7,2020-05-30,17752.0,Hawthorn
8,2020-05-31,17338.0,Hawthorn
9,2020-06-01,19669.0,Hawthorn
10,2020-06-02,19669.0,Hawthorn
11,2020-06-03,19669.0,Hawthorn
12,2020-06-04,19568.0,Hawthorn
13,2020-06-05,17937.0,Hawthorn
14,2020-06-06,17937.0,Hawthorn
15,2020-06-07,15282.0,Hawthorn
16,2020-06-08,16915.0,Hawthorn
17,2020-06-09,16915.0,Hawthorn
18,2020-06-10,21358.0,Hawthorn
19,2020-06-11,21113.0,Hawthorn
20,2020-06-12,21113.0,Hawthorn
21,2020-06-13,21113.0,Hawthorn
22,2020-06-14,17259.0,Hawthorn
23,2020-06-15,17259.0,Hawthorn
24,2020-06-16,17259.0,Hawthorn
25,2020-06-17,17259.0,Hawthorn
26,2020-06-18,19932.0,Hawthorn
27,2020-06-19,19932.0,Hawthorn
28,2020-06-20,19932.0,Hawthorn
29,2020-06-21,18201.0,Hawthorn
30,2020-06-22,18201.0,Hawthorn
31,2020-06-23,17257.0,Hawthorn
32,2020-06-24,17950.0,Hawthorn
33,2020-06-25,17950.0,Hawthorn
34,2020-06-26,20833.0,Hawthorn
35,2020-06-27,20833.0,Hawthorn
36,2020-06-28,19704.0,Hawthorn
37,2020-06-29,19704.0,Hawthorn
38,2020-06-30,19704.0,Hawthorn
39,2020-07-01,19704.0,Hawthorn
40,2020-07-02,19704.0,Hawthorn
41,2020-07-03,15866.0,Hawthorn
42,2020-07-04,20282.0,Hawthorn
43,2020-07-05,20282.0,Hawthorn
44,2020-07-06,19807.0,Hawthorn
45,2020-07-07,19496.0,Hawthorn
46,2020-07-08,20723.0,Hawthorn
47,2020-07-09,20246.0,Hawthorn
48,2020-07-10,20246.0,Hawthorn
49,2020-07-11,18393.0,Hawthorn
50,2020-07-12,18393.0,Hawthorn
51,2020-07-13,19193.0,Hawthorn
52,2020-07-14,19193.0,Hawthorn
53,2020-07-15,19193.0,Hawthorn
54,2020-07-16,19193.0,Hawthorn
55,2020-07-17,16965.0,Hawthorn
56,2020-07-18,17870.0,Hawthorn
57,2020-07-19,17870.0,Hawthorn
58,2020-07-20,15942.0,Hawthorn
59,2020-07-21,15942.0,Hawthorn
60,2020-07-22,15942.0,Hawthorn
61,2020-07-23,22240.0,Hawthorn
62,2020-07-24,22240.0,Hawthorn
63,2020-07-25,20317.0,Hawthorn
64,2020-07-26,20317.0,Hawthorn
65,2020-07-27,20317.0,Hawthorn
66,2020-07-28,18422.0,Hawthorn
67,2020-07-29,18742.0,Hawthorn
68,2020-07-30,18742.0,Hawthorn
69,2020-07-31,18742.0,Hawthorn
70,2020-08-01,18116.0,Hawthorn
71,2020-08-02,18116.0,Hawthorn
72,2020-08-03,17231.0,Hawthorn
73,2020-08-04,17231.0,Hawthorn
74,2020-08-05,17231.0,Hawthorn
75,2020-08-06,18240.0,Hawthorn
76,2020-08-07,16828.0,Hawthorn
77,2020-08-08,17539.0,Hawthorn
78,2020-08-09,19659.0,Hawthorn
79,2020-08-10,19659.0,Hawthorn
80,2020-08-11,20292.0,Hawthorn
81,2020-08-12,20292.0,Hawthorn
82,2020-08-13,20292.0,Hawthorn
83,2020-08-14,20292.0,Hawthorn
84,2020-08-15,15605.0,Hawthorn
85,2020-08-16,18348.0,Hawthorn
86,2020-08-17,18348.0,Hawthorn
87,2020-08-18,18348.0,Hawthorn
88,2020-08-19,22313.0,Hawthorn
89,2020-08-20,21674.0,Hawthorn
90,2020-08-21,21674.0,Hawthorn
91,2020-08-22,21674.0,Hawthorn
92,2020-08-23,21674.0,Hawthorn
93,2020-08-24,24767.0,Hawthorn
94,2020-08-25,24767.0,Hawthorn
95,2020-08-26,24767.0,Hawthorn
96,2020-08-27,23656.0,Hawthorn
97,2020-08-28,19980.0,Hawthorn
98,2020-08-29,19980.0,Hawthorn
99,2020-08-30,19980.0,Hawthorn
100,2020-08-31,19980.0,Hawthorn
101,2020-09-01,18894.0,Hawthorn
102,2020-09-02,18894.0,Hawthorn
103,2020-09-03,18894.0,Hawthorn
104,2020-09-04,18894.0,Hawthorn
105,2020-09-05,19043.0,Hawthorn
106,2020-09-06,19114.0,Hawthorn
107,2020-09-07,19114.0,Hawthorn
108,2020-09-08,19114.0,Hawthorn
109,2020-09-09,19114.0,Hawthorn
110,2020-09-10,21812.0,Hawthorn
111,2020-09-11,21812.0,Hawthorn
112,2020-09-12,21812.0,Hawthorn
113,2020-09-13,20067.0,Hawthorn
114,2020-09-14,20454.0,Hawthorn
115,2020-09-15,20454.0,Hawthorn
116,2020-09-16,17917.0,Hawthorn
117,2020-09-17,17917.0,Hawthorn
118,2020-09-18,17917.0,Hawthorn
119,2020-09-19,17917.0,Hawthorn
120,2020-09-20,17917.0,Hawthorn
121,2020-09-21,17950.0,Hawthorn
122,2020-09-22,17950.0,Hawthorn
123,2020-09-23,17950.0,Hawthorn
124,2020-09-24,21054.0,Hawthorn
125,2020-09-25,21054.0,Hawthorn
126,2020-09-26,21054.0,Hawthorn
127,2020-09-27,20671.0,Hawthorn
128,2020-09-28,19118.0,Hawthorn
129,2020-09-29,19118.0,Hawthorn
130,2020-09-30,17172.0,Hawthorn
131,2020-10-01,17172.0,Hawthorn
132,2020-10-02,17172.0,Hawthorn
