,date,value,name_B08Q78JTPJ
0,2021-03-01,3024.0,Tool Sets
1,2021-03-02,3024.0,Tool Sets
2,2021-03-03,3024.0,Tool Sets
3,2021-03-04,2191.0,Tool Sets
4,2021-03-05,2191.0,Tool Sets
5,2021-03-06,2191.0,Tool Sets
6,2021-03-07,2095.0,Tool Sets
7,2021-03-08,1913.0,Tool Sets
8,2021-03-09,1913.0,Tool Sets
9,2021-03-10,1913.0,Tool Sets
10,2021-03-11,1588.0,Tool Sets
11,2021-03-12,1649.0,Tool Sets
12,2021-03-13,1834.0,Tool Sets
13,2021-03-14,1605.0,Tool Sets
14,2021-03-15,1605.0,Tool Sets
15,2021-03-16,1529.0,Tool Sets
16,2021-03-17,1529.0,Tool Sets
17,2021-03-18,1422.0,Tool Sets
18,2021-03-19,1422.0,Tool Sets
19,2021-03-20,1161.0,Tool Sets
20,2021-03-21,1166.0,Tool Sets
21,2021-03-22,1166.0,Tool Sets
22,2021-03-23,1166.0,Tool Sets
23,2021-03-24,1005.0,Tool Sets
24,2021-03-25,1005.0,Tool Sets
25,2021-03-26,1005.0,Tool Sets
26,2021-03-27,1320.0,Tool Sets
27,2021-03-28,1290.0,Tool Sets
28,2021-03-29,1286.0,Tool Sets
29,2021-03-30,1257.0,Tool Sets
30,2021-03-31,1190.0,Tool Sets
31,2021-04-01,1190.0,Tool Sets
32,2021-04-02,1208.0,Tool Sets
33,2021-04-03,1208.0,Tool Sets
34,2021-04-04,1208.0,Tool Sets
35,2021-04-05,1467.0,Tool Sets
36,2021-04-06,1467.0,Tool Sets
37,2021-04-07,1309.0,Tool Sets
38,2021-04-08,1420.0,Tool Sets
39,2021-04-09,1420.0,Tool Sets
40,2021-04-10,1164.0,Tool Sets
41,2021-04-11,1164.0,Tool Sets
42,2021-04-12,1452.0,Tool Sets
43,2021-04-13,1452.0,Tool Sets
44,2021-04-14,1171.0,Tool Sets
45,2021-04-15,1171.0,Tool Sets
46,2021-04-16,1171.0,Tool Sets
47,2021-04-17,1069.0,Tool Sets
48,2021-04-18,1069.0,Tool Sets
49,2021-04-19,1300.0,Tool Sets
50,2021-04-20,1207.0,Tool Sets
51,2021-04-21,1207.0,Tool Sets
52,2021-04-22,1160.0,Tool Sets
53,2021-04-23,1356.0,Tool Sets
54,2021-04-24,1327.0,Tool Sets
55,2021-04-25,1348.0,Tool Sets
56,2021-04-26,1263.0,Tool Sets
57,2021-04-27,1316.0,Tool Sets
58,2021-04-28,1316.0,Tool Sets
59,2021-04-29,880.0,Tool Sets
60,2021-04-30,922.0,Tool Sets
61,2021-05-01,922.0,Tool Sets
62,2021-05-02,1400.0,Tool Sets
63,2021-05-03,1093.0,Tool Sets
64,2021-05-04,899.0,Tool Sets
65,2021-05-05,514.0,Tool Sets
66,2021-05-06,430.0,Tool Sets
67,2021-05-07,535.0,Tool Sets
68,2021-05-08,535.0,Tool Sets
69,2021-05-09,1163.0,Tool Sets
70,2021-05-10,1163.0,Tool Sets
71,2021-05-11,1834.0,Tool Sets
72,2021-05-12,2115.0,Tool Sets
73,2021-05-13,2414.0,Tool Sets
74,2021-05-14,2200.0,Tool Sets
75,2021-05-15,2200.0,Tool Sets
76,2021-05-16,2922.0,Tool Sets
77,2021-05-17,3184.0,Tool Sets
78,2021-05-18,3184.0,Tool Sets
79,2021-05-19,3445.0,Tool Sets
80,2021-05-20,3237.0,Tool Sets
81,2021-05-21,3237.0,Tool Sets
82,2021-05-22,2413.0,Tool Sets
83,2021-05-23,2413.0,Tool Sets
84,2021-05-24,3219.0,Tool Sets
85,2021-05-25,3380.0,Tool Sets
86,2021-05-26,3352.0,Tool Sets
87,2021-05-27,3352.0,Tool Sets
88,2021-05-28,3870.0,Tool Sets
89,2021-05-29,3870.0,Tool Sets
90,2021-05-30,4628.0,Tool Sets
91,2021-05-31,4628.0,Tool Sets
92,2021-06-01,5001.0,Tool Sets
93,2021-06-02,5001.0,Tool Sets
94,2021-06-03,4325.0,Tool Sets
95,2021-06-04,4325.0,Tool Sets
96,2021-06-05,4018.0,Tool Sets
97,2021-06-06,4018.0,Tool Sets
98,2021-06-07,4018.0,Tool Sets
99,2021-06-08,4690.0,Tool Sets
100,2021-06-09,4690.0,Tool Sets
101,2021-06-10,3865.0,Tool Sets
102,2021-06-11,3865.0,Tool Sets
103,2021-06-12,4239.0,Tool Sets
104,2021-06-13,4239.0,Tool Sets
105,2021-06-14,4239.0,Tool Sets
106,2021-06-15,4231.0,Tool Sets
107,2021-06-16,4231.0,Tool Sets
108,2021-06-17,3115.0,Tool Sets
109,2021-06-18,3307.0,Tool Sets
110,2021-06-19,3769.0,Tool Sets
111,2021-06-20,3769.0,Tool Sets
112,2021-06-21,5065.0,Tool Sets
113,2021-06-22,5065.0,Tool Sets
114,2021-06-23,2307.0,Tool Sets
115,2021-06-24,2307.0,Tool Sets
116,2021-06-25,4051.0,Tool Sets
117,2021-06-26,4843.0,Tool Sets
118,2021-06-27,4843.0,Tool Sets
119,2021-06-28,6022.0,Tool Sets
120,2021-06-29,5184.0,Tool Sets
121,2021-06-30,5184.0,Tool Sets
122,2021-07-01,5579.0,Tool Sets
123,2021-07-02,5443.0,Tool Sets
124,2021-07-03,5443.0,Tool Sets
125,2021-07-04,5443.0,Tool Sets
126,2021-07-05,5450.0,Tool Sets
127,2021-07-06,5450.0,Tool Sets
128,2021-07-07,5450.0,Tool Sets
129,2021-07-08,6151.0,Tool Sets
130,2021-07-09,6151.0,Tool Sets
131,2021-07-10,4962.0,Tool Sets
