,date,value,name_B00PKM0LIY
0,2020-08-23,1426.0,Knitting Needles
1,2020-08-24,1426.0,Knitting Needles
2,2020-08-25,1200.0,Knitting Needles
3,2020-08-26,1563.0,Knitting Needles
4,2020-08-27,1563.0,Knitting Needles
5,2020-08-28,1563.0,Knitting Needles
6,2020-08-29,1012.0,Knitting Needles
7,2020-08-30,1012.0,Knitting Needles
8,2020-08-31,1012.0,Knitting Needles
9,2020-09-01,1432.0,Knitting Needles
10,2020-09-02,1432.0,Knitting Needles
11,2020-09-03,1432.0,Knitting Needles
12,2020-09-04,1432.0,Knitting Needles
13,2020-09-05,1472.0,Knitting Needles
14,2020-09-06,1540.0,Knitting Needles
15,2020-09-07,1409.0,Knitting Needles
16,2020-09-08,2359.0,Knitting Needles
17,2020-09-09,2674.0,Knitting Needles
18,2020-09-10,2674.0,Knitting Needles
19,2020-09-11,2674.0,Knitting Needles
20,2020-09-12,1805.0,Knitting Needles
21,2020-09-13,1805.0,Knitting Needles
22,2020-09-14,1805.0,Knitting Needles
23,2020-09-15,1553.0,Knitting Needles
24,2020-09-16,1553.0,Knitting Needles
25,2020-09-17,1553.0,Knitting Needles
26,2020-09-18,1778.0,Knitting Needles
27,2020-09-19,1778.0,Knitting Needles
28,2020-09-20,1778.0,Knitting Needles
29,2020-09-21,1380.0,Knitting Needles
30,2020-09-22,1742.0,Knitting Needles
31,2020-09-23,1893.0,Knitting Needles
32,2020-09-24,1893.0,Knitting Needles
33,2020-09-25,1986.0,Knitting Needles
34,2020-09-26,1986.0,Knitting Needles
35,2020-09-27,1986.0,Knitting Needles
36,2020-09-28,1892.0,Knitting Needles
37,2020-09-29,1892.0,Knitting Needles
38,2020-09-30,1868.0,Knitting Needles
39,2020-10-01,1603.0,Knitting Needles
40,2020-10-02,1603.0,Knitting Needles
41,2020-10-03,1603.0,Knitting Needles
42,2020-10-04,1744.0,Knitting Needles
43,2020-10-05,1744.0,Knitting Needles
44,2020-10-06,1618.0,Knitting Needles
45,2020-10-07,1618.0,Knitting Needles
46,2020-10-08,2867.0,Knitting Needles
47,2020-10-09,2867.0,Knitting Needles
48,2020-10-10,2867.0,Knitting Needles
49,2020-10-11,1807.0,Knitting Needles
50,2020-10-12,1807.0,Knitting Needles
51,2020-10-13,1807.0,Knitting Needles
52,2020-10-14,1796.0,Knitting Needles
53,2020-10-15,2309.0,Knitting Needles
54,2020-10-16,2309.0,Knitting Needles
55,2020-10-17,1774.0,Knitting Needles
56,2020-10-18,1500.0,Knitting Needles
57,2020-10-19,1461.0,Knitting Needles
58,2020-10-20,1766.0,Knitting Needles
59,2020-10-21,1920.0,Knitting Needles
60,2020-10-22,2178.0,Knitting Needles
61,2020-10-23,1582.0,Knitting Needles
62,2020-10-24,1582.0,Knitting Needles
63,2020-10-25,1739.0,Knitting Needles
64,2020-10-26,1739.0,Knitting Needles
65,2020-10-27,1739.0,Knitting Needles
66,2020-10-28,1560.0,Knitting Needles
67,2020-10-29,1560.0,Knitting Needles
68,2020-10-30,1560.0,Knitting Needles
69,2020-10-31,1425.0,Knitting Needles
70,2020-11-01,1425.0,Knitting Needles
71,2020-11-02,1451.0,Knitting Needles
72,2020-11-03,1401.0,Knitting Needles
73,2020-11-04,1694.0,Knitting Needles
74,2020-11-05,1811.0,Knitting Needles
75,2020-11-06,1811.0,Knitting Needles
76,2020-11-07,1811.0,Knitting Needles
77,2020-11-08,1266.0,Knitting Needles
78,2020-11-09,1280.0,Knitting Needles
79,2020-11-10,1280.0,Knitting Needles
80,2020-11-11,1280.0,Knitting Needles
81,2020-11-12,2471.0,Knitting Needles
82,2020-11-13,1726.0,Knitting Needles
83,2020-11-14,1726.0,Knitting Needles
84,2020-11-15,1726.0,Knitting Needles
85,2020-11-16,1700.0,Knitting Needles
86,2020-11-17,2054.0,Knitting Needles
87,2020-11-18,2054.0,Knitting Needles
88,2020-11-19,2040.0,Knitting Needles
89,2020-11-20,1939.0,Knitting Needles
90,2020-11-21,1562.0,Knitting Needles
91,2020-11-22,1605.0,Knitting Needles
92,2020-11-23,1605.0,Knitting Needles
93,2020-11-24,1994.0,Knitting Needles
94,2020-11-25,1994.0,Knitting Needles
95,2020-11-26,1994.0,Knitting Needles
96,2020-11-27,2621.0,Knitting Needles
97,2020-11-28,2466.0,Knitting Needles
98,2020-11-29,2466.0,Knitting Needles
99,2020-11-30,2466.0,Knitting Needles
100,2020-12-01,3032.0,Knitting Needles
101,2020-12-02,3032.0,Knitting Needles
102,2020-12-03,2206.0,Knitting Needles
103,2020-12-04,2206.0,Knitting Needles
104,2020-12-05,2206.0,Knitting Needles
105,2020-12-06,2226.0,Knitting Needles
106,2020-12-07,2226.0,Knitting Needles
107,2020-12-08,2226.0,Knitting Needles
108,2020-12-09,2908.0,Knitting Needles
109,2020-12-10,2908.0,Knitting Needles
110,2020-12-11,2908.0,Knitting Needles
111,2020-12-12,3845.0,Knitting Needles
112,2020-12-13,3172.0,Knitting Needles
113,2020-12-14,3172.0,Knitting Needles
114,2020-12-15,3172.0,Knitting Needles
115,2020-12-16,3010.0,Knitting Needles
116,2020-12-17,3010.0,Knitting Needles
117,2020-12-18,3010.0,Knitting Needles
118,2020-12-19,3010.0,Knitting Needles
119,2020-12-20,2235.0,Knitting Needles
120,2020-12-21,2235.0,Knitting Needles
121,2020-12-22,2235.0,Knitting Needles
122,2020-12-23,1658.0,Knitting Needles
123,2020-12-24,1883.0,Knitting Needles
124,2020-12-25,1883.0,Knitting Needles
125,2020-12-26,1883.0,Knitting Needles
126,2020-12-27,1883.0,Knitting Needles
127,2020-12-28,855.0,Knitting Needles
128,2020-12-29,855.0,Knitting Needles
129,2020-12-30,1385.0,Knitting Needles
130,2020-12-31,1385.0,Knitting Needles
131,2021-01-01,1385.0,Knitting Needles
132,2021-01-02,1238.0,Knitting Needles
133,2021-01-03,1238.0,Knitting Needles
134,2021-01-04,1036.0,Knitting Needles
135,2021-01-05,1164.0,Knitting Needles
136,2021-01-06,1094.0,Knitting Needles
137,2021-01-07,1094.0,Knitting Needles
138,2021-01-08,1094.0,Knitting Needles
139,2021-01-09,1256.0,Knitting Needles
140,2021-01-10,1256.0,Knitting Needles
141,2021-01-11,1256.0,Knitting Needles
142,2021-01-12,1301.0,Knitting Needles
143,2021-01-13,1301.0,Knitting Needles
144,2021-01-14,1384.0,Knitting Needles
145,2021-01-15,1384.0,Knitting Needles
146,2021-01-16,1736.0,Knitting Needles
147,2021-01-17,1476.0,Knitting Needles
148,2021-01-18,1157.0,Knitting Needles
149,2021-01-19,1146.0,Knitting Needles
150,2021-01-20,1160.0,Knitting Needles
151,2021-01-21,1446.0,Knitting Needles
152,2021-01-22,1446.0,Knitting Needles
153,2021-01-23,1446.0,Knitting Needles
154,2021-01-24,1497.0,Knitting Needles
155,2021-01-25,1337.0,Knitting Needles
156,2021-01-26,1275.0,Knitting Needles
157,2021-01-27,1314.0,Knitting Needles
