,date,value,name_B084SJR15R
0,2020-05-26,63190.0,Ready to Drink
1,2020-05-27,63190.0,Ready to Drink
2,2020-05-28,63190.0,Ready to Drink
3,2020-05-29,63190.0,Ready to Drink
4,2020-05-30,63190.0,Ready to Drink
5,2020-05-31,63190.0,Ready to Drink
6,2020-06-01,63190.0,Ready to Drink
7,2020-06-02,50053.0,Ready to Drink
8,2020-06-03,50053.0,Ready to Drink
9,2020-06-04,50053.0,Ready to Drink
10,2020-06-05,58952.0,Ready to Drink
11,2020-06-06,58952.0,Ready to Drink
12,2020-06-07,58952.0,Ready to Drink
13,2020-06-08,81208.0,Ready to Drink
14,2020-06-09,44646.0,Ready to Drink
15,2020-06-10,44646.0,Ready to Drink
16,2020-06-11,44646.0,Ready to Drink
17,2020-06-12,44646.0,Ready to Drink
18,2020-06-13,44646.0,Ready to Drink
19,2020-06-14,44646.0,Ready to Drink
20,2020-06-15,89819.0,Ready to Drink
21,2020-06-16,89819.0,Ready to Drink
22,2020-06-17,89819.0,Ready to Drink
23,2020-06-18,89819.0,Ready to Drink
24,2020-06-19,89819.0,Ready to Drink
25,2020-06-20,89819.0,Ready to Drink
26,2020-06-21,64701.0,Ready to Drink
27,2020-06-22,64701.0,Ready to Drink
28,2020-06-23,64701.0,Ready to Drink
29,2020-06-24,44549.0,Ready to Drink
30,2020-06-25,49396.0,Ready to Drink
31,2020-06-26,49396.0,Ready to Drink
32,2020-06-27,49396.0,Ready to Drink
33,2020-06-28,108463.0,Ready to Drink
34,2020-06-29,108463.0,Ready to Drink
35,2020-06-30,108463.0,Ready to Drink
36,2020-07-01,108463.0,Ready to Drink
37,2020-07-02,108463.0,Ready to Drink
38,2020-07-03,108463.0,Ready to Drink
39,2020-07-04,108463.0,Ready to Drink
40,2020-07-05,108463.0,Ready to Drink
41,2020-07-06,84321.0,Ready to Drink
42,2020-07-07,84321.0,Ready to Drink
43,2020-07-08,84321.0,Ready to Drink
44,2020-07-09,84321.0,Ready to Drink
45,2020-07-10,84321.0,Ready to Drink
46,2020-07-11,84321.0,Ready to Drink
47,2020-07-12,84321.0,Ready to Drink
48,2020-07-13,77407.0,Ready to Drink
49,2020-07-14,77407.0,Ready to Drink
50,2020-07-15,77407.0,Ready to Drink
51,2020-07-16,31574.0,Ready to Drink
52,2020-07-17,31931.0,Ready to Drink
53,2020-07-18,31931.0,Ready to Drink
54,2020-07-19,31931.0,Ready to Drink
55,2020-07-20,31931.0,Ready to Drink
56,2020-07-21,48601.0,Ready to Drink
57,2020-07-22,48601.0,Ready to Drink
58,2020-07-23,48601.0,Ready to Drink
59,2020-07-24,48601.0,Ready to Drink
60,2020-07-25,48601.0,Ready to Drink
61,2020-07-26,48601.0,Ready to Drink
62,2020-07-27,64069.0,Ready to Drink
63,2020-07-28,64069.0,Ready to Drink
64,2020-07-29,64069.0,Ready to Drink
65,2020-07-30,32866.0,Ready to Drink
66,2020-07-31,32866.0,Ready to Drink
67,2020-08-01,32866.0,Ready to Drink
68,2020-08-02,32866.0,Ready to Drink
69,2020-08-03,32866.0,Ready to Drink
70,2020-08-04,36790.0,Ready to Drink
71,2020-08-05,36790.0,Ready to Drink
72,2020-08-06,36790.0,Ready to Drink
73,2020-08-07,40974.0,Ready to Drink
74,2020-08-08,40974.0,Ready to Drink
75,2020-08-09,38559.0,Ready to Drink
76,2020-08-10,38559.0,Ready to Drink
77,2020-08-11,38559.0,Ready to Drink
78,2020-08-12,33173.0,Ready to Drink
79,2020-08-13,38008.0,Ready to Drink
80,2020-08-14,38008.0,Ready to Drink
81,2020-08-15,38008.0,Ready to Drink
82,2020-08-16,28046.0,Ready to Drink
83,2020-08-17,21400.0,Ready to Drink
84,2020-08-18,21400.0,Ready to Drink
85,2020-08-19,21400.0,Ready to Drink
86,2020-08-20,21400.0,Ready to Drink
87,2020-08-21,21400.0,Ready to Drink
88,2020-08-22,21400.0,Ready to Drink
89,2020-08-23,21400.0,Ready to Drink
90,2020-08-24,40809.0,Ready to Drink
91,2020-08-25,40809.0,Ready to Drink
92,2020-08-26,40809.0,Ready to Drink
93,2020-08-27,40809.0,Ready to Drink
94,2020-08-28,40809.0,Ready to Drink
95,2020-08-29,30829.0,Ready to Drink
96,2020-08-30,40345.0,Ready to Drink
97,2020-08-31,40345.0,Ready to Drink
98,2020-09-01,37481.0,Ready to Drink
99,2020-09-02,37481.0,Ready to Drink
100,2020-09-03,37481.0,Ready to Drink
101,2020-09-04,34431.0,Ready to Drink
102,2020-09-05,34431.0,Ready to Drink
103,2020-09-06,34431.0,Ready to Drink
104,2020-09-07,30036.0,Ready to Drink
105,2020-09-08,25775.0,Ready to Drink
106,2020-09-09,25775.0,Ready to Drink
107,2020-09-10,25775.0,Ready to Drink
108,2020-09-11,25775.0,Ready to Drink
109,2020-09-12,29100.0,Ready to Drink
110,2020-09-13,29100.0,Ready to Drink
111,2020-09-14,29100.0,Ready to Drink
112,2020-09-15,29100.0,Ready to Drink
113,2020-09-16,43574.0,Ready to Drink
114,2020-09-17,43574.0,Ready to Drink
115,2020-09-18,32848.0,Ready to Drink
116,2020-09-19,32848.0,Ready to Drink
117,2020-09-20,32848.0,Ready to Drink
118,2020-09-21,32848.0,Ready to Drink
119,2020-09-22,32848.0,Ready to Drink
120,2020-09-23,32848.0,Ready to Drink
121,2020-09-24,33422.0,Ready to Drink
122,2020-09-25,40700.0,Ready to Drink
123,2020-09-26,40700.0,Ready to Drink
124,2020-09-27,40700.0,Ready to Drink
125,2020-09-28,40700.0,Ready to Drink
126,2020-09-29,40700.0,Ready to Drink
127,2020-09-30,37399.0,Ready to Drink
128,2020-10-01,37399.0,Ready to Drink
129,2020-10-02,37399.0,Ready to Drink
130,2020-10-03,37399.0,Ready to Drink
131,2020-10-04,23157.0,Ready to Drink
132,2020-10-05,23157.0,Ready to Drink
133,2020-10-06,35696.0,Ready to Drink
134,2020-10-07,35696.0,Ready to Drink
135,2020-10-08,32978.0,Ready to Drink
136,2020-10-09,32978.0,Ready to Drink
137,2020-10-10,32978.0,Ready to Drink
138,2020-10-11,35094.0,Ready to Drink
139,2020-10-12,41588.0,Ready to Drink
140,2020-10-13,41588.0,Ready to Drink
141,2020-10-14,41588.0,Ready to Drink
142,2020-10-15,41588.0,Ready to Drink
143,2020-10-16,28809.0,Ready to Drink
144,2020-10-17,28809.0,Ready to Drink
145,2020-10-18,28809.0,Ready to Drink
146,2020-10-19,29921.0,Ready to Drink
147,2020-10-20,29921.0,Ready to Drink
148,2020-10-21,29921.0,Ready to Drink
149,2020-10-22,34051.0,Ready to Drink
150,2020-10-23,34051.0,Ready to Drink
151,2020-10-24,34051.0,Ready to Drink
152,2020-10-25,34051.0,Ready to Drink
153,2020-10-26,34051.0,Ready to Drink
154,2020-10-27,36443.0,Ready to Drink
155,2020-10-28,36443.0,Ready to Drink
156,2020-10-29,31737.0,Ready to Drink
157,2020-10-30,31737.0,Ready to Drink
158,2020-10-31,31737.0,Ready to Drink
159,2020-11-01,30531.0,Ready to Drink
160,2020-11-02,30531.0,Ready to Drink
161,2020-11-03,30531.0,Ready to Drink
162,2020-11-04,30531.0,Ready to Drink
163,2020-11-05,30531.0,Ready to Drink
164,2020-11-06,31101.0,Ready to Drink
165,2020-11-07,31101.0,Ready to Drink
166,2020-11-08,31101.0,Ready to Drink
167,2020-11-09,36979.0,Ready to Drink
168,2020-11-10,36979.0,Ready to Drink
169,2020-11-11,36979.0,Ready to Drink
170,2020-11-12,45096.0,Ready to Drink
171,2020-11-13,45096.0,Ready to Drink
172,2020-11-14,45096.0,Ready to Drink
173,2020-11-15,55295.0,Ready to Drink
174,2020-11-16,55295.0,Ready to Drink
175,2020-11-17,55295.0,Ready to Drink
176,2020-11-18,55295.0,Ready to Drink
177,2020-11-19,39445.0,Ready to Drink
178,2020-11-20,39445.0,Ready to Drink
