,date,value,name_B07K76MHFV
0,2018-11-15,108733.0,Wall Sculptures
1,2018-11-16,89083.0,Wall Sculptures
2,2018-11-17,113150.0,Wall Sculptures
3,2018-11-18,109659.0,Wall Sculptures
4,2018-11-19,85998.0,Wall Sculptures
5,2018-11-20,85998.0,Wall Sculptures
6,2018-11-21,91992.0,Wall Sculptures
7,2018-11-22,112025.0,Wall Sculptures
8,2018-11-23,68990.0,Wall Sculptures
9,2018-11-24,188447.0,Wall Sculptures
10,2018-11-25,188447.0,Wall Sculptures
11,2018-11-26,212452.0,Wall Sculptures
12,2018-11-27,320075.0,Wall Sculptures
13,2018-11-28,320075.0,Wall Sculptures
14,2018-11-29,161537.0,Wall Sculptures
15,2018-11-30,161537.0,Wall Sculptures
16,2018-12-01,161537.0,Wall Sculptures
17,2018-12-02,161537.0,Wall Sculptures
18,2018-12-03,155334.0,Wall Sculptures
19,2018-12-04,162310.0,Wall Sculptures
20,2018-12-05,162310.0,Wall Sculptures
21,2018-12-06,162310.0,Wall Sculptures
22,2018-12-07,162310.0,Wall Sculptures
23,2018-12-08,171624.0,Wall Sculptures
24,2018-12-09,171624.0,Wall Sculptures
25,2018-12-10,171624.0,Wall Sculptures
26,2018-12-11,171624.0,Wall Sculptures
27,2018-12-12,120528.0,Wall Sculptures
28,2018-12-13,120528.0,Wall Sculptures
29,2018-12-14,120528.0,Wall Sculptures
30,2018-12-15,120528.0,Wall Sculptures
31,2018-12-16,120528.0,Wall Sculptures
32,2018-12-17,120528.0,Wall Sculptures
33,2018-12-18,120528.0,Wall Sculptures
34,2018-12-19,120528.0,Wall Sculptures
35,2018-12-20,79979.0,Wall Sculptures
36,2018-12-21,79979.0,Wall Sculptures
37,2018-12-22,106107.0,Wall Sculptures
38,2018-12-23,106107.0,Wall Sculptures
39,2018-12-24,106107.0,Wall Sculptures
40,2018-12-25,106107.0,Wall Sculptures
41,2018-12-26,106107.0,Wall Sculptures
42,2018-12-27,57903.0,Wall Sculptures
43,2018-12-28,57903.0,Wall Sculptures
44,2018-12-29,57903.0,Wall Sculptures
45,2018-12-30,57903.0,Wall Sculptures
46,2018-12-31,69354.0,Wall Sculptures
47,2019-01-01,69354.0,Wall Sculptures
48,2019-01-02,69354.0,Wall Sculptures
49,2019-01-03,77234.0,Wall Sculptures
50,2019-01-04,77234.0,Wall Sculptures
51,2019-01-05,87543.0,Wall Sculptures
52,2019-01-06,53832.0,Wall Sculptures
53,2019-01-07,54485.0,Wall Sculptures
54,2019-01-08,54485.0,Wall Sculptures
55,2019-01-09,82977.0,Wall Sculptures
56,2019-01-10,51280.0,Wall Sculptures
57,2019-01-11,51280.0,Wall Sculptures
58,2019-01-12,81265.0,Wall Sculptures
59,2019-01-13,81265.0,Wall Sculptures
60,2019-01-14,81265.0,Wall Sculptures
61,2019-01-15,81265.0,Wall Sculptures
62,2019-01-16,75836.0,Wall Sculptures
63,2019-01-17,75836.0,Wall Sculptures
64,2019-01-18,75836.0,Wall Sculptures
65,2019-01-19,75836.0,Wall Sculptures
66,2019-01-20,75836.0,Wall Sculptures
67,2019-01-21,79720.0,Wall Sculptures
68,2019-01-22,79720.0,Wall Sculptures
69,2019-01-23,79720.0,Wall Sculptures
70,2019-01-24,79720.0,Wall Sculptures
71,2019-01-25,79720.0,Wall Sculptures
72,2019-01-26,79720.0,Wall Sculptures
73,2019-01-27,79720.0,Wall Sculptures
74,2019-01-28,79720.0,Wall Sculptures
75,2019-01-29,62148.0,Wall Sculptures
76,2019-01-30,62148.0,Wall Sculptures
77,2019-01-31,62148.0,Wall Sculptures
78,2019-02-01,62148.0,Wall Sculptures
79,2019-02-02,138738.0,Wall Sculptures
80,2019-02-03,138738.0,Wall Sculptures
81,2019-02-04,60721.0,Wall Sculptures
82,2019-02-05,61988.0,Wall Sculptures
83,2019-02-06,66267.0,Wall Sculptures
84,2019-02-07,66267.0,Wall Sculptures
85,2019-02-08,66267.0,Wall Sculptures
86,2019-02-09,58027.0,Wall Sculptures
87,2019-02-10,58027.0,Wall Sculptures
88,2019-02-11,47577.0,Wall Sculptures
89,2019-02-12,64344.0,Wall Sculptures
90,2019-02-13,64344.0,Wall Sculptures
91,2019-02-14,64344.0,Wall Sculptures
92,2019-02-15,64344.0,Wall Sculptures
93,2019-02-16,64344.0,Wall Sculptures
94,2019-02-17,64344.0,Wall Sculptures
95,2019-02-18,78109.0,Wall Sculptures
96,2019-02-19,78109.0,Wall Sculptures
97,2019-02-20,78109.0,Wall Sculptures
98,2019-02-21,78109.0,Wall Sculptures
