,date,value,name_B08RYGL81J
0,2021-03-18,16176.0,Balloons
1,2021-03-19,14980.0,Balloons
2,2021-03-20,14980.0,Balloons
3,2021-03-21,14980.0,Balloons
4,2021-03-22,14580.0,Balloons
5,2021-03-23,14580.0,Balloons
6,2021-03-24,14580.0,Balloons
7,2021-03-25,8453.0,Balloons
8,2021-03-26,8453.0,Balloons
9,2021-03-27,8453.0,Balloons
10,2021-03-28,8453.0,Balloons
11,2021-03-29,11466.0,Balloons
12,2021-03-30,11466.0,Balloons
13,2021-03-31,10695.0,Balloons
14,2021-04-01,16458.0,Balloons
15,2021-04-02,12676.0,Balloons
16,2021-04-03,12676.0,Balloons
17,2021-04-04,12676.0,Balloons
18,2021-04-05,13878.0,Balloons
19,2021-04-06,10660.0,Balloons
20,2021-04-07,13814.0,Balloons
21,2021-04-08,13814.0,Balloons
22,2021-04-09,13639.0,Balloons
23,2021-04-10,13639.0,Balloons
24,2021-04-11,13639.0,Balloons
25,2021-04-12,7072.0,Balloons
26,2021-04-13,5065.0,Balloons
27,2021-04-14,5065.0,Balloons
28,2021-04-15,4720.0,Balloons
29,2021-04-16,4720.0,Balloons
30,2021-04-17,3947.0,Balloons
31,2021-04-18,3947.0,Balloons
32,2021-04-19,5479.0,Balloons
33,2021-04-20,5479.0,Balloons
34,2021-04-21,5891.0,Balloons
35,2021-04-22,5891.0,Balloons
36,2021-04-23,4408.0,Balloons
37,2021-04-24,4408.0,Balloons
38,2021-04-25,5978.0,Balloons
39,2021-04-26,5978.0,Balloons
40,2021-04-27,5978.0,Balloons
41,2021-04-28,4730.0,Balloons
42,2021-04-29,3558.0,Balloons
43,2021-04-30,3558.0,Balloons
44,2021-05-01,1881.0,Balloons
45,2021-05-02,2101.0,Balloons
46,2021-05-03,2101.0,Balloons
47,2021-05-04,2101.0,Balloons
48,2021-05-05,1814.0,Balloons
49,2021-05-06,1814.0,Balloons
50,2021-05-07,1885.0,Balloons
51,2021-05-08,1885.0,Balloons
52,2021-05-09,1885.0,Balloons
53,2021-05-10,2629.0,Balloons
54,2021-05-11,2629.0,Balloons
55,2021-05-12,1711.0,Balloons
56,2021-05-13,1614.0,Balloons
57,2021-05-14,1768.0,Balloons
58,2021-05-15,1768.0,Balloons
59,2021-05-16,2247.0,Balloons
60,2021-05-17,2818.0,Balloons
61,2021-05-18,2818.0,Balloons
62,2021-05-19,2818.0,Balloons
63,2021-05-20,2256.0,Balloons
64,2021-05-21,2590.0,Balloons
65,2021-05-22,2590.0,Balloons
66,2021-05-23,2325.0,Balloons
67,2021-05-24,2325.0,Balloons
68,2021-05-25,2789.0,Balloons
69,2021-05-26,2789.0,Balloons
70,2021-05-27,2215.0,Balloons
71,2021-05-28,2215.0,Balloons
72,2021-05-29,2983.0,Balloons
73,2021-05-30,2983.0,Balloons
74,2021-05-31,2675.0,Balloons
75,2021-06-01,2675.0,Balloons
76,2021-06-02,3021.0,Balloons
77,2021-06-03,3373.0,Balloons
78,2021-06-04,3373.0,Balloons
79,2021-06-05,2271.0,Balloons
80,2021-06-06,2628.0,Balloons
81,2021-06-07,2628.0,Balloons
82,2021-06-08,2628.0,Balloons
83,2021-06-09,2229.0,Balloons
84,2021-06-10,2229.0,Balloons
85,2021-06-11,2229.0,Balloons
86,2021-06-12,3491.0,Balloons
87,2021-06-13,3491.0,Balloons
88,2021-06-14,4282.0,Balloons
89,2021-06-15,4282.0,Balloons
90,2021-06-16,3794.0,Balloons
91,2021-06-17,3220.0,Balloons
92,2021-06-18,3220.0,Balloons
93,2021-06-19,4132.0,Balloons
94,2021-06-20,4132.0,Balloons
95,2021-06-21,6171.0,Balloons
96,2021-06-22,6729.0,Balloons
97,2021-06-23,6729.0,Balloons
98,2021-06-24,3811.0,Balloons
99,2021-06-25,3811.0,Balloons
100,2021-06-26,2490.0,Balloons
101,2021-06-27,2490.0,Balloons
102,2021-06-28,2843.0,Balloons
103,2021-06-29,2731.0,Balloons
104,2021-06-30,2731.0,Balloons
105,2021-07-01,2673.0,Balloons
106,2021-07-02,2717.0,Balloons
107,2021-07-03,2717.0,Balloons
108,2021-07-04,2717.0,Balloons
109,2021-07-05,4119.0,Balloons
110,2021-07-06,2587.0,Balloons
111,2021-07-07,2587.0,Balloons
112,2021-07-08,3687.0,Balloons
113,2021-07-09,3687.0,Balloons
114,2021-07-10,3392.0,Balloons
