,date,value,name_B0714R5SXN
113,2020-09-23,17992.0,Copy & Multipurpose Paper
114,2020-09-24,17992.0,Copy & Multipurpose Paper
115,2020-09-25,17992.0,Copy & Multipurpose Paper
116,2020-09-26,17992.0,Copy & Multipurpose Paper
117,2020-09-27,15601.0,Copy & Multipurpose Paper
118,2020-09-28,15601.0,Copy & Multipurpose Paper
119,2020-09-29,15601.0,Copy & Multipurpose Paper
120,2020-09-30,15319.0,Copy & Multipurpose Paper
121,2020-10-01,15319.0,Copy & Multipurpose Paper
122,2020-10-02,15319.0,Copy & Multipurpose Paper
123,2020-10-03,17866.0,Copy & Multipurpose Paper
124,2020-10-04,17866.0,Copy & Multipurpose Paper
125,2020-10-05,14687.0,Copy & Multipurpose Paper
126,2020-10-06,14687.0,Copy & Multipurpose Paper
127,2020-10-07,14687.0,Copy & Multipurpose Paper
128,2020-10-08,16744.0,Copy & Multipurpose Paper
129,2020-10-09,16744.0,Copy & Multipurpose Paper
130,2020-10-10,16744.0,Copy & Multipurpose Paper
131,2020-10-11,16744.0,Copy & Multipurpose Paper
132,2020-10-12,5512.0,Copy & Multipurpose Paper
133,2020-10-13,9518.0,Copy & Multipurpose Paper
134,2020-10-14,9518.0,Copy & Multipurpose Paper
135,2020-10-15,9518.0,Copy & Multipurpose Paper
136,2020-10-16,11772.0,Copy & Multipurpose Paper
137,2020-10-17,11772.0,Copy & Multipurpose Paper
138,2020-10-18,11772.0,Copy & Multipurpose Paper
139,2020-10-19,11772.0,Copy & Multipurpose Paper
140,2020-10-20,11772.0,Copy & Multipurpose Paper
141,2020-10-21,11772.0,Copy & Multipurpose Paper
142,2020-10-22,13124.0,Copy & Multipurpose Paper
143,2020-10-23,13124.0,Copy & Multipurpose Paper
144,2020-10-24,13124.0,Copy & Multipurpose Paper
145,2020-10-25,13959.0,Copy & Multipurpose Paper
146,2020-10-26,13959.0,Copy & Multipurpose Paper
147,2020-10-27,13959.0,Copy & Multipurpose Paper
148,2020-10-28,16455.0,Copy & Multipurpose Paper
149,2020-10-29,16455.0,Copy & Multipurpose Paper
150,2020-10-30,16455.0,Copy & Multipurpose Paper
151,2020-10-31,9012.0,Copy & Multipurpose Paper
152,2020-11-01,9012.0,Copy & Multipurpose Paper
153,2020-11-02,9012.0,Copy & Multipurpose Paper
154,2020-11-03,12367.0,Copy & Multipurpose Paper
155,2020-11-04,10004.0,Copy & Multipurpose Paper
156,2020-11-05,10004.0,Copy & Multipurpose Paper
157,2020-11-06,10004.0,Copy & Multipurpose Paper
158,2020-11-07,10228.0,Copy & Multipurpose Paper
159,2020-11-08,10228.0,Copy & Multipurpose Paper
160,2020-11-09,15463.0,Copy & Multipurpose Paper
161,2020-11-10,15463.0,Copy & Multipurpose Paper
162,2020-11-11,11812.0,Copy & Multipurpose Paper
163,2020-11-12,8689.0,Copy & Multipurpose Paper
164,2020-11-13,7111.0,Copy & Multipurpose Paper
165,2020-11-14,8725.0,Copy & Multipurpose Paper
166,2020-11-15,8725.0,Copy & Multipurpose Paper
167,2020-11-16,8725.0,Copy & Multipurpose Paper
168,2020-11-17,10638.0,Copy & Multipurpose Paper
169,2020-11-18,10638.0,Copy & Multipurpose Paper
170,2020-11-19,10572.0,Copy & Multipurpose Paper
171,2020-11-20,10572.0,Copy & Multipurpose Paper
172,2020-11-21,8331.0,Copy & Multipurpose Paper
173,2020-11-22,8331.0,Copy & Multipurpose Paper
174,2020-11-23,8331.0,Copy & Multipurpose Paper
175,2020-11-24,10515.0,Copy & Multipurpose Paper
176,2020-11-25,10552.0,Copy & Multipurpose Paper
177,2020-11-26,10686.0,Copy & Multipurpose Paper
178,2020-11-27,10686.0,Copy & Multipurpose Paper
179,2020-11-28,10686.0,Copy & Multipurpose Paper
180,2020-11-29,10686.0,Copy & Multipurpose Paper
181,2020-11-30,12128.0,Copy & Multipurpose Paper
182,2020-12-01,12128.0,Copy & Multipurpose Paper
183,2020-12-02,12128.0,Copy & Multipurpose Paper
184,2020-12-03,10026.0,Copy & Multipurpose Paper
185,2020-12-04,13052.0,Copy & Multipurpose Paper
186,2020-12-05,13052.0,Copy & Multipurpose Paper
187,2020-12-06,13052.0,Copy & Multipurpose Paper
188,2020-12-07,13052.0,Copy & Multipurpose Paper
189,2020-12-08,12957.0,Copy & Multipurpose Paper
190,2020-12-09,12099.0,Copy & Multipurpose Paper
191,2020-12-10,10269.0,Copy & Multipurpose Paper
192,2020-12-11,10269.0,Copy & Multipurpose Paper
193,2020-12-12,10269.0,Copy & Multipurpose Paper
194,2020-12-13,10269.0,Copy & Multipurpose Paper
