,date,value,name_B07X3YC2PV
102,2020-09-07,3977.0,Dry Erase & Wet Erase Markers
103,2020-09-08,4022.0,Dry Erase & Wet Erase Markers
104,2020-09-09,4022.0,Dry Erase & Wet Erase Markers
105,2020-09-10,4022.0,Dry Erase & Wet Erase Markers
106,2020-09-11,3824.0,Dry Erase & Wet Erase Markers
107,2020-09-12,3824.0,Dry Erase & Wet Erase Markers
108,2020-09-13,3824.0,Dry Erase & Wet Erase Markers
109,2020-09-14,4431.0,Dry Erase & Wet Erase Markers
110,2020-09-15,4431.0,Dry Erase & Wet Erase Markers
111,2020-09-16,2933.0,Dry Erase & Wet Erase Markers
112,2020-09-17,2933.0,Dry Erase & Wet Erase Markers
113,2020-09-18,2933.0,Dry Erase & Wet Erase Markers
114,2020-09-19,3389.0,Dry Erase & Wet Erase Markers
115,2020-09-20,3389.0,Dry Erase & Wet Erase Markers
116,2020-09-21,3389.0,Dry Erase & Wet Erase Markers
117,2020-09-22,4118.0,Dry Erase & Wet Erase Markers
118,2020-09-23,4118.0,Dry Erase & Wet Erase Markers
119,2020-09-24,4118.0,Dry Erase & Wet Erase Markers
120,2020-09-25,5030.0,Dry Erase & Wet Erase Markers
121,2020-09-26,5030.0,Dry Erase & Wet Erase Markers
122,2020-09-27,4393.0,Dry Erase & Wet Erase Markers
123,2020-09-28,4480.0,Dry Erase & Wet Erase Markers
124,2020-09-29,4480.0,Dry Erase & Wet Erase Markers
125,2020-09-30,4793.0,Dry Erase & Wet Erase Markers
126,2020-10-01,4793.0,Dry Erase & Wet Erase Markers
127,2020-10-02,4793.0,Dry Erase & Wet Erase Markers
128,2020-10-03,4353.0,Dry Erase & Wet Erase Markers
129,2020-10-04,4353.0,Dry Erase & Wet Erase Markers
130,2020-10-05,4159.0,Dry Erase & Wet Erase Markers
131,2020-10-06,4484.0,Dry Erase & Wet Erase Markers
132,2020-10-07,4484.0,Dry Erase & Wet Erase Markers
133,2020-10-08,4484.0,Dry Erase & Wet Erase Markers
134,2020-10-09,4484.0,Dry Erase & Wet Erase Markers
135,2020-10-10,7891.0,Dry Erase & Wet Erase Markers
136,2020-10-11,7891.0,Dry Erase & Wet Erase Markers
137,2020-10-12,7891.0,Dry Erase & Wet Erase Markers
138,2020-10-13,9023.0,Dry Erase & Wet Erase Markers
139,2020-10-14,9023.0,Dry Erase & Wet Erase Markers
140,2020-10-15,9023.0,Dry Erase & Wet Erase Markers
141,2020-10-16,9023.0,Dry Erase & Wet Erase Markers
142,2020-10-17,17254.0,Dry Erase & Wet Erase Markers
143,2020-10-18,17254.0,Dry Erase & Wet Erase Markers
144,2020-10-19,17254.0,Dry Erase & Wet Erase Markers
145,2020-10-20,17254.0,Dry Erase & Wet Erase Markers
146,2020-10-21,20323.0,Dry Erase & Wet Erase Markers
147,2020-10-22,20323.0,Dry Erase & Wet Erase Markers
148,2020-10-23,11558.0,Dry Erase & Wet Erase Markers
149,2020-10-24,11558.0,Dry Erase & Wet Erase Markers
150,2020-10-25,11558.0,Dry Erase & Wet Erase Markers
151,2020-10-26,11558.0,Dry Erase & Wet Erase Markers
152,2020-10-27,11558.0,Dry Erase & Wet Erase Markers
153,2020-10-28,5626.0,Dry Erase & Wet Erase Markers
154,2020-10-29,5626.0,Dry Erase & Wet Erase Markers
155,2020-10-30,5626.0,Dry Erase & Wet Erase Markers
156,2020-10-31,5626.0,Dry Erase & Wet Erase Markers
157,2020-11-01,5626.0,Dry Erase & Wet Erase Markers
158,2020-11-02,5626.0,Dry Erase & Wet Erase Markers
159,2020-11-03,6629.0,Dry Erase & Wet Erase Markers
160,2020-11-04,6629.0,Dry Erase & Wet Erase Markers
161,2020-11-05,6629.0,Dry Erase & Wet Erase Markers
162,2020-11-06,6629.0,Dry Erase & Wet Erase Markers
163,2020-11-07,5067.0,Dry Erase & Wet Erase Markers
164,2020-11-08,5067.0,Dry Erase & Wet Erase Markers
165,2020-11-09,5067.0,Dry Erase & Wet Erase Markers
166,2020-11-10,4167.0,Dry Erase & Wet Erase Markers
167,2020-11-11,4167.0,Dry Erase & Wet Erase Markers
168,2020-11-12,4167.0,Dry Erase & Wet Erase Markers
169,2020-11-13,4167.0,Dry Erase & Wet Erase Markers
170,2020-11-14,4167.0,Dry Erase & Wet Erase Markers
171,2020-11-15,4167.0,Dry Erase & Wet Erase Markers
172,2020-11-16,4654.0,Dry Erase & Wet Erase Markers
173,2020-11-17,4928.0,Dry Erase & Wet Erase Markers
174,2020-11-18,4928.0,Dry Erase & Wet Erase Markers
175,2020-11-19,4928.0,Dry Erase & Wet Erase Markers
176,2020-11-20,4928.0,Dry Erase & Wet Erase Markers
177,2020-11-21,4928.0,Dry Erase & Wet Erase Markers
178,2020-11-22,4928.0,Dry Erase & Wet Erase Markers
179,2020-11-23,5482.0,Dry Erase & Wet Erase Markers
180,2020-11-24,5482.0,Dry Erase & Wet Erase Markers
181,2020-11-25,5482.0,Dry Erase & Wet Erase Markers
182,2020-11-26,5482.0,Dry Erase & Wet Erase Markers
183,2020-11-27,5482.0,Dry Erase & Wet Erase Markers
184,2020-11-28,4637.0,Dry Erase & Wet Erase Markers
185,2020-11-29,4637.0,Dry Erase & Wet Erase Markers
186,2020-11-30,7093.0,Dry Erase & Wet Erase Markers
187,2020-12-01,7093.0,Dry Erase & Wet Erase Markers
188,2020-12-02,7093.0,Dry Erase & Wet Erase Markers
189,2020-12-03,7093.0,Dry Erase & Wet Erase Markers
190,2020-12-04,7093.0,Dry Erase & Wet Erase Markers
191,2020-12-05,3074.0,Dry Erase & Wet Erase Markers
192,2020-12-06,3074.0,Dry Erase & Wet Erase Markers
193,2020-12-07,3074.0,Dry Erase & Wet Erase Markers
194,2020-12-08,3074.0,Dry Erase & Wet Erase Markers
195,2020-12-09,3074.0,Dry Erase & Wet Erase Markers
196,2020-12-10,3074.0,Dry Erase & Wet Erase Markers
197,2020-12-11,6588.0,Dry Erase & Wet Erase Markers
198,2020-12-12,6588.0,Dry Erase & Wet Erase Markers
199,2020-12-13,9315.0,Dry Erase & Wet Erase Markers
200,2020-12-14,8851.0,Dry Erase & Wet Erase Markers
201,2020-12-15,8851.0,Dry Erase & Wet Erase Markers
202,2020-12-16,9509.0,Dry Erase & Wet Erase Markers
203,2020-12-17,9509.0,Dry Erase & Wet Erase Markers
204,2020-12-18,9509.0,Dry Erase & Wet Erase Markers
205,2020-12-19,9509.0,Dry Erase & Wet Erase Markers
206,2020-12-20,9509.0,Dry Erase & Wet Erase Markers
207,2020-12-21,9509.0,Dry Erase & Wet Erase Markers
208,2020-12-22,10581.0,Dry Erase & Wet Erase Markers
209,2020-12-23,10581.0,Dry Erase & Wet Erase Markers
210,2020-12-24,10581.0,Dry Erase & Wet Erase Markers
211,2020-12-25,10581.0,Dry Erase & Wet Erase Markers
212,2020-12-26,10581.0,Dry Erase & Wet Erase Markers
213,2020-12-27,10581.0,Dry Erase & Wet Erase Markers
214,2020-12-28,10581.0,Dry Erase & Wet Erase Markers
215,2020-12-29,10581.0,Dry Erase & Wet Erase Markers
216,2020-12-30,10581.0,Dry Erase & Wet Erase Markers
217,2020-12-31,15709.0,Dry Erase & Wet Erase Markers
218,2021-01-01,15709.0,Dry Erase & Wet Erase Markers
219,2021-01-02,15709.0,Dry Erase & Wet Erase Markers
220,2021-01-03,9459.0,Dry Erase & Wet Erase Markers
221,2021-01-04,9459.0,Dry Erase & Wet Erase Markers
222,2021-01-05,9459.0,Dry Erase & Wet Erase Markers
223,2021-01-06,9459.0,Dry Erase & Wet Erase Markers
224,2021-01-07,5050.0,Dry Erase & Wet Erase Markers
225,2021-01-08,5050.0,Dry Erase & Wet Erase Markers
226,2021-01-09,5050.0,Dry Erase & Wet Erase Markers
227,2021-01-10,6681.0,Dry Erase & Wet Erase Markers
228,2021-01-11,6681.0,Dry Erase & Wet Erase Markers
229,2021-01-12,6681.0,Dry Erase & Wet Erase Markers
230,2021-01-13,6681.0,Dry Erase & Wet Erase Markers
231,2021-01-14,6252.0,Dry Erase & Wet Erase Markers
232,2021-01-15,6252.0,Dry Erase & Wet Erase Markers
233,2021-01-16,6252.0,Dry Erase & Wet Erase Markers
234,2021-01-17,6252.0,Dry Erase & Wet Erase Markers
235,2021-01-18,6252.0,Dry Erase & Wet Erase Markers
236,2021-01-19,12054.0,Dry Erase & Wet Erase Markers
237,2021-01-20,12054.0,Dry Erase & Wet Erase Markers
238,2021-01-21,7637.0,Dry Erase & Wet Erase Markers
239,2021-01-22,7637.0,Dry Erase & Wet Erase Markers
240,2021-01-23,7637.0,Dry Erase & Wet Erase Markers
241,2021-01-24,7637.0,Dry Erase & Wet Erase Markers
242,2021-01-25,7637.0,Dry Erase & Wet Erase Markers
243,2021-01-26,7637.0,Dry Erase & Wet Erase Markers
244,2021-01-27,7637.0,Dry Erase & Wet Erase Markers
245,2021-01-28,19409.0,Dry Erase & Wet Erase Markers
246,2021-01-29,19409.0,Dry Erase & Wet Erase Markers
247,2021-01-30,19409.0,Dry Erase & Wet Erase Markers
248,2021-01-31,19409.0,Dry Erase & Wet Erase Markers
249,2021-02-01,19409.0,Dry Erase & Wet Erase Markers
250,2021-02-02,6200.0,Dry Erase & Wet Erase Markers
251,2021-02-03,6200.0,Dry Erase & Wet Erase Markers
252,2021-02-04,6200.0,Dry Erase & Wet Erase Markers
253,2021-02-05,6200.0,Dry Erase & Wet Erase Markers
254,2021-02-06,6713.0,Dry Erase & Wet Erase Markers
255,2021-02-07,6713.0,Dry Erase & Wet Erase Markers
256,2021-02-08,6713.0,Dry Erase & Wet Erase Markers
257,2021-02-09,8124.0,Dry Erase & Wet Erase Markers
258,2021-02-10,8972.0,Dry Erase & Wet Erase Markers
259,2021-02-11,8972.0,Dry Erase & Wet Erase Markers
260,2021-02-12,8972.0,Dry Erase & Wet Erase Markers
261,2021-02-13,8972.0,Dry Erase & Wet Erase Markers
262,2021-02-14,8885.0,Dry Erase & Wet Erase Markers
263,2021-02-15,8885.0,Dry Erase & Wet Erase Markers
264,2021-02-16,8885.0,Dry Erase & Wet Erase Markers
265,2021-02-17,8885.0,Dry Erase & Wet Erase Markers
266,2021-02-18,7387.0,Dry Erase & Wet Erase Markers
267,2021-02-19,7387.0,Dry Erase & Wet Erase Markers
268,2021-02-20,7387.0,Dry Erase & Wet Erase Markers
269,2021-02-21,7387.0,Dry Erase & Wet Erase Markers
270,2021-02-22,7387.0,Dry Erase & Wet Erase Markers
271,2021-02-23,5478.0,Dry Erase & Wet Erase Markers
272,2021-02-24,5478.0,Dry Erase & Wet Erase Markers
273,2021-02-25,6328.0,Dry Erase & Wet Erase Markers
274,2021-02-26,6450.0,Dry Erase & Wet Erase Markers
275,2021-02-27,6450.0,Dry Erase & Wet Erase Markers
276,2021-02-28,6450.0,Dry Erase & Wet Erase Markers
277,2021-03-01,6450.0,Dry Erase & Wet Erase Markers
278,2021-03-02,4358.0,Dry Erase & Wet Erase Markers
279,2021-03-03,4305.0,Dry Erase & Wet Erase Markers
280,2021-03-04,4673.0,Dry Erase & Wet Erase Markers
281,2021-03-05,4673.0,Dry Erase & Wet Erase Markers
282,2021-03-06,4861.0,Dry Erase & Wet Erase Markers
283,2021-03-07,4861.0,Dry Erase & Wet Erase Markers
284,2021-03-08,4861.0,Dry Erase & Wet Erase Markers
285,2021-03-09,4861.0,Dry Erase & Wet Erase Markers
286,2021-03-10,6177.0,Dry Erase & Wet Erase Markers
287,2021-03-11,6177.0,Dry Erase & Wet Erase Markers
288,2021-03-12,6177.0,Dry Erase & Wet Erase Markers
289,2021-03-13,6408.0,Dry Erase & Wet Erase Markers
290,2021-03-14,6408.0,Dry Erase & Wet Erase Markers
291,2021-03-15,6946.0,Dry Erase & Wet Erase Markers
292,2021-03-16,7535.0,Dry Erase & Wet Erase Markers
293,2021-03-17,5864.0,Dry Erase & Wet Erase Markers
294,2021-03-18,7364.0,Dry Erase & Wet Erase Markers
295,2021-03-19,7724.0,Dry Erase & Wet Erase Markers
296,2021-03-20,7724.0,Dry Erase & Wet Erase Markers
297,2021-03-21,7724.0,Dry Erase & Wet Erase Markers
298,2021-03-22,7724.0,Dry Erase & Wet Erase Markers
299,2021-03-23,7724.0,Dry Erase & Wet Erase Markers
300,2021-03-24,7724.0,Dry Erase & Wet Erase Markers
301,2021-03-25,7724.0,Dry Erase & Wet Erase Markers
302,2021-03-26,6973.0,Dry Erase & Wet Erase Markers
303,2021-03-27,6973.0,Dry Erase & Wet Erase Markers
304,2021-03-28,6973.0,Dry Erase & Wet Erase Markers
305,2021-03-29,6973.0,Dry Erase & Wet Erase Markers
306,2021-03-30,6973.0,Dry Erase & Wet Erase Markers
307,2021-03-31,6973.0,Dry Erase & Wet Erase Markers
308,2021-04-01,10160.0,Dry Erase & Wet Erase Markers
309,2021-04-02,10160.0,Dry Erase & Wet Erase Markers
310,2021-04-03,10160.0,Dry Erase & Wet Erase Markers
311,2021-04-04,10160.0,Dry Erase & Wet Erase Markers
312,2021-04-05,10160.0,Dry Erase & Wet Erase Markers
313,2021-04-06,10160.0,Dry Erase & Wet Erase Markers
314,2021-04-07,6514.0,Dry Erase & Wet Erase Markers
315,2021-04-08,6514.0,Dry Erase & Wet Erase Markers
316,2021-04-09,6514.0,Dry Erase & Wet Erase Markers
317,2021-04-10,6626.0,Dry Erase & Wet Erase Markers
318,2021-04-11,6626.0,Dry Erase & Wet Erase Markers
319,2021-04-12,6626.0,Dry Erase & Wet Erase Markers
320,2021-04-13,6612.0,Dry Erase & Wet Erase Markers
321,2021-04-14,6612.0,Dry Erase & Wet Erase Markers
322,2021-04-15,6612.0,Dry Erase & Wet Erase Markers
323,2021-04-16,4314.0,Dry Erase & Wet Erase Markers
324,2021-04-17,4314.0,Dry Erase & Wet Erase Markers
325,2021-04-18,4314.0,Dry Erase & Wet Erase Markers
326,2021-04-19,4314.0,Dry Erase & Wet Erase Markers
327,2021-04-20,4254.0,Dry Erase & Wet Erase Markers
328,2021-04-21,4254.0,Dry Erase & Wet Erase Markers
329,2021-04-22,4988.0,Dry Erase & Wet Erase Markers
330,2021-04-23,4988.0,Dry Erase & Wet Erase Markers
331,2021-04-24,7421.0,Dry Erase & Wet Erase Markers
332,2021-04-25,7421.0,Dry Erase & Wet Erase Markers
333,2021-04-26,7421.0,Dry Erase & Wet Erase Markers
334,2021-04-27,5099.0,Dry Erase & Wet Erase Markers
335,2021-04-28,5099.0,Dry Erase & Wet Erase Markers
336,2021-04-29,5099.0,Dry Erase & Wet Erase Markers
337,2021-04-30,6500.0,Dry Erase & Wet Erase Markers
338,2021-05-01,6500.0,Dry Erase & Wet Erase Markers
339,2021-05-02,6500.0,Dry Erase & Wet Erase Markers
340,2021-05-03,8695.0,Dry Erase & Wet Erase Markers
341,2021-05-04,8695.0,Dry Erase & Wet Erase Markers
342,2021-05-05,8695.0,Dry Erase & Wet Erase Markers
343,2021-05-06,6633.0,Dry Erase & Wet Erase Markers
344,2021-05-07,6633.0,Dry Erase & Wet Erase Markers
345,2021-05-08,11842.0,Dry Erase & Wet Erase Markers
346,2021-05-09,11842.0,Dry Erase & Wet Erase Markers
347,2021-05-10,10707.0,Dry Erase & Wet Erase Markers
348,2021-05-11,10707.0,Dry Erase & Wet Erase Markers
349,2021-05-12,10707.0,Dry Erase & Wet Erase Markers
350,2021-05-13,10707.0,Dry Erase & Wet Erase Markers
351,2021-05-14,5539.0,Dry Erase & Wet Erase Markers
352,2021-05-15,5539.0,Dry Erase & Wet Erase Markers
353,2021-05-16,5539.0,Dry Erase & Wet Erase Markers
354,2021-05-17,5539.0,Dry Erase & Wet Erase Markers
355,2021-05-18,5539.0,Dry Erase & Wet Erase Markers
356,2021-05-19,8497.0,Dry Erase & Wet Erase Markers
357,2021-05-20,5434.0,Dry Erase & Wet Erase Markers
358,2021-05-21,5434.0,Dry Erase & Wet Erase Markers
359,2021-05-22,5724.0,Dry Erase & Wet Erase Markers
360,2021-05-23,5724.0,Dry Erase & Wet Erase Markers
361,2021-05-24,5724.0,Dry Erase & Wet Erase Markers
362,2021-05-25,5724.0,Dry Erase & Wet Erase Markers
363,2021-05-26,6786.0,Dry Erase & Wet Erase Markers
364,2021-05-27,6049.0,Dry Erase & Wet Erase Markers
365,2021-05-28,6049.0,Dry Erase & Wet Erase Markers
366,2021-05-29,6049.0,Dry Erase & Wet Erase Markers
367,2021-05-30,6049.0,Dry Erase & Wet Erase Markers
368,2021-05-31,6049.0,Dry Erase & Wet Erase Markers
369,2021-06-01,8836.0,Dry Erase & Wet Erase Markers
370,2021-06-02,8836.0,Dry Erase & Wet Erase Markers
371,2021-06-03,8836.0,Dry Erase & Wet Erase Markers
372,2021-06-04,8836.0,Dry Erase & Wet Erase Markers
373,2021-06-05,8836.0,Dry Erase & Wet Erase Markers
374,2021-06-06,8836.0,Dry Erase & Wet Erase Markers
375,2021-06-07,8836.0,Dry Erase & Wet Erase Markers
376,2021-06-08,7969.0,Dry Erase & Wet Erase Markers
377,2021-06-09,7969.0,Dry Erase & Wet Erase Markers
378,2021-06-10,7969.0,Dry Erase & Wet Erase Markers
379,2021-06-11,7969.0,Dry Erase & Wet Erase Markers
380,2021-06-12,6377.0,Dry Erase & Wet Erase Markers
381,2021-06-13,6377.0,Dry Erase & Wet Erase Markers
382,2021-06-14,6377.0,Dry Erase & Wet Erase Markers
383,2021-06-15,9420.0,Dry Erase & Wet Erase Markers
384,2021-06-16,9420.0,Dry Erase & Wet Erase Markers
385,2021-06-17,9420.0,Dry Erase & Wet Erase Markers
386,2021-06-18,9420.0,Dry Erase & Wet Erase Markers
387,2021-06-19,6391.0,Dry Erase & Wet Erase Markers
388,2021-06-20,6391.0,Dry Erase & Wet Erase Markers
389,2021-06-21,6391.0,Dry Erase & Wet Erase Markers
390,2021-06-22,2127.0,Dry Erase & Wet Erase Markers
391,2021-06-23,2127.0,Dry Erase & Wet Erase Markers
392,2021-06-24,2127.0,Dry Erase & Wet Erase Markers
393,2021-06-25,2127.0,Dry Erase & Wet Erase Markers
394,2021-06-26,2127.0,Dry Erase & Wet Erase Markers
395,2021-06-27,2127.0,Dry Erase & Wet Erase Markers
396,2021-06-28,2127.0,Dry Erase & Wet Erase Markers
397,2021-06-29,5824.0,Dry Erase & Wet Erase Markers
398,2021-06-30,8306.0,Dry Erase & Wet Erase Markers
399,2021-07-01,8306.0,Dry Erase & Wet Erase Markers
400,2021-07-02,8306.0,Dry Erase & Wet Erase Markers
401,2021-07-03,5450.0,Dry Erase & Wet Erase Markers
402,2021-07-04,5450.0,Dry Erase & Wet Erase Markers
403,2021-07-05,6959.0,Dry Erase & Wet Erase Markers
404,2021-07-06,6959.0,Dry Erase & Wet Erase Markers
405,2021-07-07,6959.0,Dry Erase & Wet Erase Markers
406,2021-07-08,6959.0,Dry Erase & Wet Erase Markers
407,2021-07-09,5613.0,Dry Erase & Wet Erase Markers
408,2021-07-10,4503.0,Dry Erase & Wet Erase Markers
