,date,value,name_B08LP8VG8F
0,2021-01-12,74249.0,Mattress Protectors
1,2021-01-13,74249.0,Mattress Protectors
2,2021-01-14,74249.0,Mattress Protectors
3,2021-01-15,74249.0,Mattress Protectors
4,2021-01-16,24603.0,Mattress Protectors
5,2021-01-17,24603.0,Mattress Protectors
6,2021-01-18,24603.0,Mattress Protectors
7,2021-01-19,28436.0,Mattress Protectors
8,2021-01-20,28436.0,Mattress Protectors
9,2021-01-21,28436.0,Mattress Protectors
10,2021-01-22,28436.0,Mattress Protectors
11,2021-01-23,75506.0,Mattress Protectors
12,2021-01-24,75506.0,Mattress Protectors
13,2021-01-25,60557.0,Mattress Protectors
14,2021-01-26,60557.0,Mattress Protectors
15,2021-01-27,42957.0,Mattress Protectors
16,2021-01-28,42957.0,Mattress Protectors
17,2021-01-29,31785.0,Mattress Protectors
18,2021-01-30,31785.0,Mattress Protectors
19,2021-01-31,32340.0,Mattress Protectors
20,2021-02-01,28951.0,Mattress Protectors
21,2021-02-02,34027.0,Mattress Protectors
22,2021-02-03,25744.0,Mattress Protectors
23,2021-02-04,19994.0,Mattress Protectors
24,2021-02-05,23224.0,Mattress Protectors
25,2021-02-06,23224.0,Mattress Protectors
26,2021-02-07,23224.0,Mattress Protectors
27,2021-02-08,18982.0,Mattress Protectors
28,2021-02-09,18982.0,Mattress Protectors
29,2021-02-10,18982.0,Mattress Protectors
30,2021-02-11,18982.0,Mattress Protectors
31,2021-02-12,26698.0,Mattress Protectors
32,2021-02-13,26698.0,Mattress Protectors
33,2021-02-14,27404.0,Mattress Protectors
34,2021-02-15,52299.0,Mattress Protectors
35,2021-02-16,52299.0,Mattress Protectors
36,2021-02-17,59541.0,Mattress Protectors
37,2021-02-18,69691.0,Mattress Protectors
38,2021-02-19,69691.0,Mattress Protectors
39,2021-02-20,69303.0,Mattress Protectors
40,2021-02-21,69303.0,Mattress Protectors
41,2021-02-22,69303.0,Mattress Protectors
42,2021-02-23,127871.0,Mattress Protectors
43,2021-02-24,127871.0,Mattress Protectors
44,2021-02-25,127871.0,Mattress Protectors
45,2021-02-26,139258.0,Mattress Protectors
46,2021-02-27,139258.0,Mattress Protectors
47,2021-02-28,139258.0,Mattress Protectors
48,2021-03-01,166370.0,Mattress Protectors
49,2021-03-02,166370.0,Mattress Protectors
50,2021-03-03,166370.0,Mattress Protectors
51,2021-03-04,362752.0,Mattress Protectors
52,2021-03-05,362752.0,Mattress Protectors
53,2021-03-06,362752.0,Mattress Protectors
54,2021-03-07,362752.0,Mattress Protectors
55,2021-03-08,362752.0,Mattress Protectors
56,2021-03-09,362752.0,Mattress Protectors
57,2021-03-10,362752.0,Mattress Protectors
58,2021-03-11,362752.0,Mattress Protectors
