,date,value,name_B0956ZJTHQ
0,2021-05-23,30840.0,Misting Systems
1,2021-05-24,16357.0,Misting Systems
2,2021-05-25,17143.0,Misting Systems
3,2021-05-26,18750.0,Misting Systems
4,2021-05-27,18881.0,Misting Systems
5,2021-05-28,18881.0,Misting Systems
6,2021-05-29,18881.0,Misting Systems
7,2021-05-30,18881.0,Misting Systems
8,2021-05-31,23521.0,Misting Systems
9,2021-06-01,23521.0,Misting Systems
10,2021-06-02,186.0,Misting Systems
11,2021-06-03,186.0,Misting Systems
12,2021-06-04,1017.0,Misting Systems
13,2021-06-05,2123.0,Misting Systems
14,2021-06-06,2123.0,Misting Systems
15,2021-06-07,2123.0,Misting Systems
16,2021-06-08,7417.0,Misting Systems
17,2021-06-09,11157.0,Misting Systems
18,2021-06-10,11157.0,Misting Systems
19,2021-06-11,11157.0,Misting Systems
20,2021-06-12,11157.0,Misting Systems
21,2021-06-13,10457.0,Misting Systems
22,2021-06-14,10457.0,Misting Systems
23,2021-06-15,10457.0,Misting Systems
24,2021-06-16,1508.0,Misting Systems
25,2021-06-17,2700.0,Misting Systems
26,2021-06-18,2700.0,Misting Systems
27,2021-06-19,2700.0,Misting Systems
28,2021-06-20,5497.0,Misting Systems
29,2021-06-21,7414.0,Misting Systems
30,2021-06-22,7414.0,Misting Systems
31,2021-06-23,5290.0,Misting Systems
32,2021-06-24,5290.0,Misting Systems
33,2021-06-25,3837.0,Misting Systems
34,2021-06-26,4188.0,Misting Systems
35,2021-06-27,4188.0,Misting Systems
36,2021-06-28,5907.0,Misting Systems
37,2021-06-29,5907.0,Misting Systems
38,2021-06-30,6616.0,Misting Systems
39,2021-07-01,6616.0,Misting Systems
40,2021-07-02,6616.0,Misting Systems
41,2021-07-03,6616.0,Misting Systems
42,2021-07-04,6616.0,Misting Systems
43,2021-07-05,14530.0,Misting Systems
44,2021-07-06,14530.0,Misting Systems
45,2021-07-07,14530.0,Misting Systems
46,2021-07-08,14530.0,Misting Systems
47,2021-07-09,3919.0,Misting Systems
48,2021-07-10,874.0,Misting Systems
