,date,value,name_B07SSHMQY6
0,2020-05-22,4497.0,Lawn Water Slides
1,2020-05-23,4497.0,Lawn Water Slides
2,2020-05-24,2120.0,Lawn Water Slides
3,2020-05-25,1866.0,Lawn Water Slides
4,2020-05-26,956.0,Lawn Water Slides
5,2020-05-27,956.0,Lawn Water Slides
6,2020-05-28,876.0,Lawn Water Slides
7,2020-05-29,687.0,Lawn Water Slides
8,2020-05-30,979.0,Lawn Water Slides
9,2020-05-31,496.0,Lawn Water Slides
10,2020-06-01,348.0,Lawn Water Slides
11,2020-06-02,631.0,Lawn Water Slides
12,2020-06-03,435.0,Lawn Water Slides
13,2020-06-04,342.0,Lawn Water Slides
14,2020-06-05,292.0,Lawn Water Slides
15,2020-06-06,363.0,Lawn Water Slides
16,2020-06-07,127.0,Lawn Water Slides
17,2020-06-08,195.0,Lawn Water Slides
18,2020-06-09,184.0,Lawn Water Slides
19,2020-06-10,253.0,Lawn Water Slides
20,2020-06-11,307.0,Lawn Water Slides
21,2020-06-12,511.0,Lawn Water Slides
22,2020-06-13,757.0,Lawn Water Slides
23,2020-06-14,1269.0,Lawn Water Slides
24,2020-06-15,1746.0,Lawn Water Slides
25,2020-06-16,1702.0,Lawn Water Slides
26,2020-06-17,1939.0,Lawn Water Slides
27,2020-06-18,1939.0,Lawn Water Slides
28,2020-06-19,794.0,Lawn Water Slides
29,2020-06-20,941.0,Lawn Water Slides
30,2020-06-21,941.0,Lawn Water Slides
31,2020-06-22,941.0,Lawn Water Slides
32,2020-06-23,589.0,Lawn Water Slides
33,2020-06-24,565.0,Lawn Water Slides
34,2020-06-25,1143.0,Lawn Water Slides
35,2020-06-26,1109.0,Lawn Water Slides
36,2020-06-27,1008.0,Lawn Water Slides
37,2020-06-28,1008.0,Lawn Water Slides
38,2020-06-29,1329.0,Lawn Water Slides
39,2020-06-30,1796.0,Lawn Water Slides
40,2020-07-01,1724.0,Lawn Water Slides
41,2020-07-02,1711.0,Lawn Water Slides
42,2020-07-03,1471.0,Lawn Water Slides
43,2020-07-04,1419.0,Lawn Water Slides
44,2020-07-05,1419.0,Lawn Water Slides
45,2020-07-06,463.0,Lawn Water Slides
46,2020-07-07,463.0,Lawn Water Slides
47,2020-07-08,383.0,Lawn Water Slides
48,2020-07-09,383.0,Lawn Water Slides
49,2020-07-10,547.0,Lawn Water Slides
50,2020-07-11,547.0,Lawn Water Slides
51,2020-07-12,547.0,Lawn Water Slides
52,2020-07-13,796.0,Lawn Water Slides
53,2020-07-14,859.0,Lawn Water Slides
54,2020-07-15,859.0,Lawn Water Slides
55,2020-07-16,859.0,Lawn Water Slides
56,2020-07-17,1669.0,Lawn Water Slides
57,2020-07-18,1669.0,Lawn Water Slides
58,2020-07-19,1669.0,Lawn Water Slides
59,2020-07-20,2848.0,Lawn Water Slides
60,2020-07-21,2848.0,Lawn Water Slides
61,2020-07-22,6684.0,Lawn Water Slides
62,2020-07-23,9300.0,Lawn Water Slides
63,2020-07-24,8169.0,Lawn Water Slides
64,2020-07-25,10155.0,Lawn Water Slides
65,2020-07-26,10155.0,Lawn Water Slides
66,2020-07-27,918.0,Lawn Water Slides
67,2020-07-28,784.0,Lawn Water Slides
68,2020-07-29,784.0,Lawn Water Slides
69,2020-07-30,1680.0,Lawn Water Slides
70,2020-07-31,1680.0,Lawn Water Slides
71,2020-08-01,3344.0,Lawn Water Slides
72,2020-08-02,3344.0,Lawn Water Slides
73,2020-08-03,2864.0,Lawn Water Slides
74,2020-08-04,6732.0,Lawn Water Slides
75,2020-08-05,6732.0,Lawn Water Slides
76,2020-08-06,6732.0,Lawn Water Slides
77,2020-08-07,2982.0,Lawn Water Slides
78,2020-08-08,2982.0,Lawn Water Slides
79,2020-08-09,3085.0,Lawn Water Slides
80,2020-08-10,3085.0,Lawn Water Slides
81,2020-08-11,1579.0,Lawn Water Slides
82,2020-08-12,1579.0,Lawn Water Slides
83,2020-08-13,2948.0,Lawn Water Slides
84,2020-08-14,3154.0,Lawn Water Slides
85,2020-08-15,3154.0,Lawn Water Slides
86,2020-08-16,5202.0,Lawn Water Slides
87,2020-08-17,9030.0,Lawn Water Slides
88,2020-08-18,9030.0,Lawn Water Slides
89,2020-08-19,14696.0,Lawn Water Slides
90,2020-08-20,14696.0,Lawn Water Slides
91,2020-08-21,16963.0,Lawn Water Slides
92,2020-08-22,16963.0,Lawn Water Slides
93,2020-08-23,16963.0,Lawn Water Slides
94,2020-08-24,30097.0,Lawn Water Slides
95,2020-08-25,30097.0,Lawn Water Slides
96,2020-08-26,30097.0,Lawn Water Slides
97,2020-08-27,32748.0,Lawn Water Slides
98,2020-08-28,32748.0,Lawn Water Slides
99,2020-08-29,32748.0,Lawn Water Slides
100,2020-08-30,32748.0,Lawn Water Slides
101,2020-08-31,32748.0,Lawn Water Slides
102,2020-09-01,44820.0,Lawn Water Slides
103,2020-09-02,44820.0,Lawn Water Slides
104,2020-09-03,44049.0,Lawn Water Slides
105,2020-09-04,44049.0,Lawn Water Slides
106,2020-09-05,44049.0,Lawn Water Slides
107,2020-09-06,51788.0,Lawn Water Slides
108,2020-09-07,51788.0,Lawn Water Slides
109,2020-09-08,51788.0,Lawn Water Slides
110,2020-09-09,51788.0,Lawn Water Slides
111,2020-09-10,40895.0,Lawn Water Slides
112,2020-09-11,40895.0,Lawn Water Slides
113,2020-09-12,40895.0,Lawn Water Slides
114,2020-09-13,40895.0,Lawn Water Slides
115,2020-09-14,46640.0,Lawn Water Slides
116,2020-09-15,50044.0,Lawn Water Slides
117,2020-09-16,50044.0,Lawn Water Slides
118,2020-09-17,50044.0,Lawn Water Slides
119,2020-09-18,50044.0,Lawn Water Slides
120,2020-09-19,75300.0,Lawn Water Slides
121,2020-09-20,75300.0,Lawn Water Slides
122,2020-09-21,55594.0,Lawn Water Slides
123,2020-09-22,55594.0,Lawn Water Slides
124,2020-09-23,55594.0,Lawn Water Slides
125,2020-09-24,41036.0,Lawn Water Slides
126,2020-09-25,64943.0,Lawn Water Slides
127,2020-09-26,64943.0,Lawn Water Slides
128,2020-09-27,64943.0,Lawn Water Slides
129,2020-09-28,78508.0,Lawn Water Slides
130,2020-09-29,78508.0,Lawn Water Slides
131,2020-09-30,96254.0,Lawn Water Slides
132,2020-10-01,96254.0,Lawn Water Slides
133,2020-10-02,96254.0,Lawn Water Slides
134,2020-10-03,100542.0,Lawn Water Slides
135,2020-10-04,100542.0,Lawn Water Slides
136,2020-10-05,100542.0,Lawn Water Slides
137,2020-10-06,67784.0,Lawn Water Slides
138,2020-10-07,67784.0,Lawn Water Slides
139,2020-10-08,67784.0,Lawn Water Slides
140,2020-10-09,67764.0,Lawn Water Slides
141,2020-10-10,67764.0,Lawn Water Slides
142,2020-10-11,67764.0,Lawn Water Slides
143,2020-10-12,75955.0,Lawn Water Slides
144,2020-10-13,75955.0,Lawn Water Slides
145,2020-10-14,98459.0,Lawn Water Slides
146,2020-10-15,98459.0,Lawn Water Slides
147,2020-10-16,98459.0,Lawn Water Slides
148,2020-10-17,92300.0,Lawn Water Slides
149,2020-10-18,92300.0,Lawn Water Slides
150,2020-10-19,92300.0,Lawn Water Slides
151,2020-10-20,92300.0,Lawn Water Slides
152,2020-10-21,87840.0,Lawn Water Slides
153,2020-10-22,87840.0,Lawn Water Slides
154,2020-10-23,98305.0,Lawn Water Slides
155,2020-10-24,98305.0,Lawn Water Slides
156,2020-10-25,98305.0,Lawn Water Slides
157,2020-10-26,133618.0,Lawn Water Slides
158,2020-10-27,133618.0,Lawn Water Slides
159,2020-10-28,133618.0,Lawn Water Slides
160,2020-10-29,99043.0,Lawn Water Slides
161,2020-10-30,99043.0,Lawn Water Slides
162,2020-10-31,99043.0,Lawn Water Slides
163,2020-11-01,71706.0,Lawn Water Slides
164,2020-11-02,71706.0,Lawn Water Slides
165,2020-11-03,126928.0,Lawn Water Slides
166,2020-11-04,126928.0,Lawn Water Slides
167,2020-11-05,126928.0,Lawn Water Slides
168,2020-11-06,56076.0,Lawn Water Slides
169,2020-11-07,56076.0,Lawn Water Slides
170,2020-11-08,56076.0,Lawn Water Slides
171,2020-11-09,56076.0,Lawn Water Slides
172,2020-11-10,56076.0,Lawn Water Slides
