,date,value,name_B087LZD4NC
0,2020-05-04,6706.0,Bird Seed
1,2020-05-05,6706.0,Bird Seed
2,2020-05-06,6706.0,Bird Seed
3,2020-05-07,5833.0,Bird Seed
4,2020-05-08,5833.0,Bird Seed
5,2020-05-09,5833.0,Bird Seed
6,2020-05-10,5833.0,Bird Seed
7,2020-05-11,5510.0,Bird Seed
8,2020-05-12,5510.0,Bird Seed
9,2020-05-13,5510.0,Bird Seed
10,2020-05-14,6110.0,Bird Seed
11,2020-05-15,6110.0,Bird Seed
12,2020-05-16,6110.0,Bird Seed
13,2020-05-17,5219.0,Bird Seed
14,2020-05-18,5219.0,Bird Seed
15,2020-05-19,5836.0,Bird Seed
16,2020-05-20,5836.0,Bird Seed
17,2020-05-21,5723.0,Bird Seed
18,2020-05-22,5723.0,Bird Seed
19,2020-05-23,5723.0,Bird Seed
20,2020-05-24,6158.0,Bird Seed
21,2020-05-25,6158.0,Bird Seed
22,2020-05-26,6494.0,Bird Seed
23,2020-05-27,8778.0,Bird Seed
24,2020-05-28,6770.0,Bird Seed
25,2020-05-29,6770.0,Bird Seed
26,2020-05-30,6770.0,Bird Seed
27,2020-05-31,6770.0,Bird Seed
28,2020-06-01,6770.0,Bird Seed
29,2020-06-02,6195.0,Bird Seed
30,2020-06-03,6195.0,Bird Seed
31,2020-06-04,6195.0,Bird Seed
32,2020-06-05,7067.0,Bird Seed
33,2020-06-06,7067.0,Bird Seed
34,2020-06-07,7067.0,Bird Seed
35,2020-06-08,5611.0,Bird Seed
36,2020-06-09,5611.0,Bird Seed
37,2020-06-10,5611.0,Bird Seed
38,2020-06-11,5611.0,Bird Seed
39,2020-06-12,6614.0,Bird Seed
40,2020-06-13,6614.0,Bird Seed
41,2020-06-14,6614.0,Bird Seed
42,2020-06-15,6614.0,Bird Seed
43,2020-06-16,6039.0,Bird Seed
44,2020-06-17,7108.0,Bird Seed
45,2020-06-18,7880.0,Bird Seed
46,2020-06-19,7880.0,Bird Seed
47,2020-06-20,7880.0,Bird Seed
48,2020-06-21,8812.0,Bird Seed
49,2020-06-22,6704.0,Bird Seed
50,2020-06-23,6704.0,Bird Seed
51,2020-06-24,6704.0,Bird Seed
52,2020-06-25,6704.0,Bird Seed
53,2020-06-26,6911.0,Bird Seed
54,2020-06-27,6911.0,Bird Seed
55,2020-06-28,6998.0,Bird Seed
56,2020-06-29,6998.0,Bird Seed
57,2020-06-30,6998.0,Bird Seed
58,2020-07-01,9165.0,Bird Seed
59,2020-07-02,9165.0,Bird Seed
60,2020-07-03,11783.0,Bird Seed
61,2020-07-04,11783.0,Bird Seed
62,2020-07-05,11783.0,Bird Seed
63,2020-07-06,11783.0,Bird Seed
64,2020-07-07,14390.0,Bird Seed
65,2020-07-08,14390.0,Bird Seed
66,2020-07-09,14390.0,Bird Seed
67,2020-07-10,17281.0,Bird Seed
68,2020-07-11,17872.0,Bird Seed
69,2020-07-12,17872.0,Bird Seed
70,2020-07-13,17197.0,Bird Seed
71,2020-07-14,17197.0,Bird Seed
72,2020-07-15,17197.0,Bird Seed
73,2020-07-16,24153.0,Bird Seed
74,2020-07-17,24153.0,Bird Seed
75,2020-07-18,24153.0,Bird Seed
76,2020-07-19,19452.0,Bird Seed
77,2020-07-20,19452.0,Bird Seed
78,2020-07-21,19452.0,Bird Seed
79,2020-07-22,28503.0,Bird Seed
80,2020-07-23,28503.0,Bird Seed
81,2020-07-24,28503.0,Bird Seed
82,2020-07-25,36840.0,Bird Seed
83,2020-07-26,36840.0,Bird Seed
84,2020-07-27,36840.0,Bird Seed
85,2020-07-28,36424.0,Bird Seed
86,2020-07-29,36424.0,Bird Seed
87,2020-07-30,36424.0,Bird Seed
88,2020-07-31,36424.0,Bird Seed
89,2020-08-01,47445.0,Bird Seed
90,2020-08-02,47445.0,Bird Seed
91,2020-08-03,37098.0,Bird Seed
92,2020-08-04,28853.0,Bird Seed
93,2020-08-05,28853.0,Bird Seed
94,2020-08-06,28853.0,Bird Seed
95,2020-08-07,25533.0,Bird Seed
96,2020-08-08,25533.0,Bird Seed
97,2020-08-09,26609.0,Bird Seed
98,2020-08-10,24001.0,Bird Seed
99,2020-08-11,23994.0,Bird Seed
100,2020-08-12,23994.0,Bird Seed
101,2020-08-13,23994.0,Bird Seed
102,2020-08-14,25289.0,Bird Seed
103,2020-08-15,25289.0,Bird Seed
104,2020-08-16,23903.0,Bird Seed
105,2020-08-17,31549.0,Bird Seed
106,2020-08-18,22528.0,Bird Seed
107,2020-08-19,22528.0,Bird Seed
108,2020-08-20,22528.0,Bird Seed
109,2020-08-21,32406.0,Bird Seed
110,2020-08-22,32406.0,Bird Seed
111,2020-08-23,32406.0,Bird Seed
112,2020-08-24,29331.0,Bird Seed
113,2020-08-25,44493.0,Bird Seed
114,2020-08-26,44493.0,Bird Seed
115,2020-08-27,60598.0,Bird Seed
116,2020-08-28,36002.0,Bird Seed
117,2020-08-29,36002.0,Bird Seed
118,2020-08-30,36002.0,Bird Seed
119,2020-08-31,38298.0,Bird Seed
120,2020-09-01,49791.0,Bird Seed
