,date,value,name_B092HXJYS9
0,2021-05-10,4576.0,Flags
1,2021-05-11,4327.0,Flags
2,2021-05-12,4327.0,Flags
3,2021-05-13,5874.0,Flags
4,2021-05-14,5874.0,Flags
5,2021-05-15,5874.0,Flags
6,2021-05-16,4164.0,Flags
7,2021-05-17,4164.0,Flags
8,2021-05-18,5389.0,Flags
9,2021-05-19,5389.0,Flags
10,2021-05-20,3924.0,Flags
11,2021-05-21,3924.0,Flags
12,2021-05-22,3913.0,Flags
13,2021-05-23,4222.0,Flags
14,2021-05-24,4566.0,Flags
15,2021-05-25,4809.0,Flags
16,2021-05-26,3689.0,Flags
17,2021-05-27,2729.0,Flags
18,2021-05-28,2866.0,Flags
19,2021-05-29,2539.0,Flags
20,2021-05-30,2539.0,Flags
21,2021-05-31,3182.0,Flags
22,2021-06-01,3061.0,Flags
23,2021-06-02,3306.0,Flags
24,2021-06-03,3595.0,Flags
25,2021-06-04,3595.0,Flags
26,2021-06-05,4215.0,Flags
27,2021-06-06,4215.0,Flags
28,2021-06-07,4371.0,Flags
29,2021-06-08,5422.0,Flags
30,2021-06-09,3339.0,Flags
31,2021-06-10,4299.0,Flags
32,2021-06-11,3928.0,Flags
33,2021-06-12,3928.0,Flags
34,2021-06-13,3928.0,Flags
35,2021-06-14,3408.0,Flags
36,2021-06-15,3408.0,Flags
37,2021-06-16,3993.0,Flags
38,2021-06-17,3571.0,Flags
39,2021-06-18,3571.0,Flags
40,2021-06-19,3375.0,Flags
41,2021-06-20,3375.0,Flags
42,2021-06-21,4410.0,Flags
43,2021-06-22,4410.0,Flags
44,2021-06-23,4410.0,Flags
45,2021-06-24,1963.0,Flags
46,2021-06-25,2085.0,Flags
47,2021-06-26,2085.0,Flags
48,2021-06-27,2060.0,Flags
49,2021-06-28,2060.0,Flags
50,2021-06-29,2129.0,Flags
51,2021-06-30,2017.0,Flags
52,2021-07-01,1972.0,Flags
53,2021-07-02,1972.0,Flags
54,2021-07-03,1957.0,Flags
55,2021-07-04,1957.0,Flags
56,2021-07-05,2373.0,Flags
57,2021-07-06,2669.0,Flags
58,2021-07-07,1923.0,Flags
59,2021-07-08,2239.0,Flags
60,2021-07-09,2214.0,Flags
61,2021-07-10,3040.0,Flags
