,date,value,name_B08D9HDGXQ
0,2020-07-29,759326.0,Home & Kitchen Features
1,2020-07-30,759326.0,Home & Kitchen Features
2,2020-07-31,759326.0,Home & Kitchen Features
3,2020-08-01,759326.0,Home & Kitchen Features
4,2020-08-02,759326.0,Home & Kitchen Features
5,2020-08-03,759326.0,Home & Kitchen Features
6,2020-08-04,759326.0,Home & Kitchen Features
7,2020-08-05,759326.0,Home & Kitchen Features
8,2020-08-06,759326.0,Home & Kitchen Features
9,2020-08-07,759326.0,Home & Kitchen Features
10,2020-08-08,759326.0,Home & Kitchen Features
11,2020-08-09,759326.0,Home & Kitchen Features
12,2020-08-10,759326.0,Home & Kitchen Features
13,2020-08-11,759326.0,Home & Kitchen Features
14,2020-08-12,759326.0,Home & Kitchen Features
15,2020-08-13,759326.0,Home & Kitchen Features
16,2020-08-14,759326.0,Home & Kitchen Features
17,2020-08-15,759326.0,Home & Kitchen Features
18,2020-08-16,759326.0,Home & Kitchen Features
19,2020-08-17,759326.0,Home & Kitchen Features
20,2020-08-18,759326.0,Home & Kitchen Features
21,2020-08-19,759326.0,Home & Kitchen Features
22,2020-08-20,759326.0,Home & Kitchen Features
23,2020-08-21,759326.0,Home & Kitchen Features
24,2020-08-22,759326.0,Home & Kitchen Features
25,2020-08-23,759326.0,Home & Kitchen Features
26,2020-08-24,759326.0,Home & Kitchen Features
27,2020-08-25,759326.0,Home & Kitchen Features
28,2020-08-26,759326.0,Home & Kitchen Features
29,2020-08-27,759326.0,Home & Kitchen Features
30,2020-08-28,759326.0,Home & Kitchen Features
31,2020-08-29,759326.0,Home & Kitchen Features
32,2020-08-30,759326.0,Home & Kitchen Features
33,2020-08-31,759326.0,Home & Kitchen Features
34,2020-09-01,759326.0,Home & Kitchen Features
35,2020-09-02,759326.0,Home & Kitchen Features
36,2020-09-03,1695133.0,Home & Kitchen Features
37,2020-09-04,1695133.0,Home & Kitchen Features
38,2020-09-05,1695133.0,Home & Kitchen Features
39,2020-09-06,1695133.0,Home & Kitchen Features
40,2020-09-07,1695133.0,Home & Kitchen Features
41,2020-09-08,1695133.0,Home & Kitchen Features
42,2020-09-09,1695133.0,Home & Kitchen Features
43,2020-09-10,1695133.0,Home & Kitchen Features
44,2020-09-11,1695133.0,Home & Kitchen Features
45,2020-09-12,1695133.0,Home & Kitchen Features
46,2020-09-13,1695133.0,Home & Kitchen Features
47,2020-09-14,1695133.0,Home & Kitchen Features
48,2020-09-15,1695133.0,Home & Kitchen Features
49,2020-09-16,1695133.0,Home & Kitchen Features
50,2020-09-17,1695133.0,Home & Kitchen Features
51,2020-09-18,1695133.0,Home & Kitchen Features
52,2020-09-19,1695133.0,Home & Kitchen Features
53,2020-09-20,1695133.0,Home & Kitchen Features
54,2020-09-21,1695133.0,Home & Kitchen Features
55,2020-09-22,1695133.0,Home & Kitchen Features
56,2020-09-23,1695133.0,Home & Kitchen Features
57,2020-09-24,1695133.0,Home & Kitchen Features
58,2020-09-25,1695133.0,Home & Kitchen Features
59,2020-09-26,1695133.0,Home & Kitchen Features
60,2020-09-27,1695133.0,Home & Kitchen Features
61,2020-09-28,1695133.0,Home & Kitchen Features
62,2020-09-29,1695133.0,Home & Kitchen Features
63,2020-09-30,1695133.0,Home & Kitchen Features
64,2020-10-01,1695133.0,Home & Kitchen Features
65,2020-10-02,1695133.0,Home & Kitchen Features
66,2020-10-03,1695133.0,Home & Kitchen Features
67,2020-10-04,1695133.0,Home & Kitchen Features
