,date,value,name_B07VLDL855
0,2020-05-28,13729.0,Seat Covers
1,2020-05-29,13729.0,Seat Covers
2,2020-05-30,13529.0,Seat Covers
3,2020-05-31,13529.0,Seat Covers
4,2020-06-01,10492.0,Seat Covers
5,2020-06-02,10357.0,Seat Covers
6,2020-06-03,10357.0,Seat Covers
7,2020-06-04,10357.0,Seat Covers
8,2020-06-05,10357.0,Seat Covers
9,2020-06-06,10323.0,Seat Covers
10,2020-06-07,10323.0,Seat Covers
11,2020-06-08,6694.0,Seat Covers
12,2020-06-09,6694.0,Seat Covers
13,2020-06-10,6694.0,Seat Covers
14,2020-06-11,6694.0,Seat Covers
15,2020-06-12,7013.0,Seat Covers
16,2020-06-13,7013.0,Seat Covers
17,2020-06-14,7013.0,Seat Covers
18,2020-06-15,7013.0,Seat Covers
19,2020-06-16,6738.0,Seat Covers
20,2020-06-17,6738.0,Seat Covers
21,2020-06-18,6738.0,Seat Covers
22,2020-06-19,6738.0,Seat Covers
23,2020-06-20,6738.0,Seat Covers
24,2020-06-21,10811.0,Seat Covers
25,2020-06-22,8203.0,Seat Covers
26,2020-06-23,8203.0,Seat Covers
27,2020-06-24,8203.0,Seat Covers
28,2020-06-25,8203.0,Seat Covers
29,2020-06-26,6834.0,Seat Covers
30,2020-06-27,9756.0,Seat Covers
31,2020-06-28,9756.0,Seat Covers
32,2020-06-29,9756.0,Seat Covers
33,2020-06-30,9756.0,Seat Covers
34,2020-07-01,9756.0,Seat Covers
35,2020-07-02,10190.0,Seat Covers
36,2020-07-03,10190.0,Seat Covers
37,2020-07-04,10190.0,Seat Covers
38,2020-07-05,10190.0,Seat Covers
39,2020-07-06,10190.0,Seat Covers
40,2020-07-07,10190.0,Seat Covers
41,2020-07-08,10190.0,Seat Covers
42,2020-07-09,10190.0,Seat Covers
43,2020-07-10,10190.0,Seat Covers
44,2020-07-11,10824.0,Seat Covers
45,2020-07-12,10824.0,Seat Covers
46,2020-07-13,10824.0,Seat Covers
47,2020-07-14,9387.0,Seat Covers
48,2020-07-15,9387.0,Seat Covers
49,2020-07-16,9387.0,Seat Covers
50,2020-07-17,9387.0,Seat Covers
51,2020-07-18,9387.0,Seat Covers
52,2020-07-19,9387.0,Seat Covers
53,2020-07-20,17169.0,Seat Covers
54,2020-07-21,17169.0,Seat Covers
55,2020-07-22,17169.0,Seat Covers
56,2020-07-23,17169.0,Seat Covers
57,2020-07-24,6584.0,Seat Covers
58,2020-07-25,6584.0,Seat Covers
59,2020-07-26,6119.0,Seat Covers
60,2020-07-27,6119.0,Seat Covers
61,2020-07-28,6119.0,Seat Covers
62,2020-07-29,5047.0,Seat Covers
63,2020-07-30,5047.0,Seat Covers
64,2020-07-31,5047.0,Seat Covers
65,2020-08-01,5047.0,Seat Covers
66,2020-08-02,6324.0,Seat Covers
67,2020-08-03,6324.0,Seat Covers
68,2020-08-04,6324.0,Seat Covers
69,2020-08-05,5875.0,Seat Covers
70,2020-08-06,5875.0,Seat Covers
71,2020-08-07,5875.0,Seat Covers
72,2020-08-08,5875.0,Seat Covers
73,2020-08-09,5875.0,Seat Covers
74,2020-08-10,5059.0,Seat Covers
75,2020-08-11,5059.0,Seat Covers
76,2020-08-12,5059.0,Seat Covers
77,2020-08-13,5059.0,Seat Covers
78,2020-08-14,5059.0,Seat Covers
79,2020-08-15,5059.0,Seat Covers
80,2020-08-16,13787.0,Seat Covers
81,2020-08-17,22519.0,Seat Covers
82,2020-08-18,22519.0,Seat Covers
83,2020-08-19,22519.0,Seat Covers
84,2020-08-20,22519.0,Seat Covers
85,2020-08-21,22519.0,Seat Covers
86,2020-08-22,5924.0,Seat Covers
87,2020-08-23,5924.0,Seat Covers
88,2020-08-24,5924.0,Seat Covers
89,2020-08-25,5924.0,Seat Covers
