,date,value,name_B08KPQYNJ8
0,2020-10-07,11817.0,All-Purpose Cleaners
1,2020-10-08,11817.0,All-Purpose Cleaners
2,2020-10-09,11817.0,All-Purpose Cleaners
3,2020-10-10,12418.0,All-Purpose Cleaners
4,2020-10-11,12418.0,All-Purpose Cleaners
5,2020-10-12,12418.0,All-Purpose Cleaners
6,2020-10-13,12564.0,All-Purpose Cleaners
7,2020-10-14,12564.0,All-Purpose Cleaners
8,2020-10-15,16767.0,All-Purpose Cleaners
9,2020-10-16,16767.0,All-Purpose Cleaners
10,2020-10-17,16767.0,All-Purpose Cleaners
11,2020-10-18,17470.0,All-Purpose Cleaners
12,2020-10-19,17470.0,All-Purpose Cleaners
13,2020-10-20,17470.0,All-Purpose Cleaners
14,2020-10-21,15885.0,All-Purpose Cleaners
15,2020-10-22,16239.0,All-Purpose Cleaners
16,2020-10-23,21930.0,All-Purpose Cleaners
17,2020-10-24,21930.0,All-Purpose Cleaners
18,2020-10-25,21930.0,All-Purpose Cleaners
19,2020-10-26,18649.0,All-Purpose Cleaners
20,2020-10-27,18649.0,All-Purpose Cleaners
21,2020-10-28,18649.0,All-Purpose Cleaners
22,2020-10-29,16668.0,All-Purpose Cleaners
23,2020-10-30,16668.0,All-Purpose Cleaners
24,2020-10-31,18897.0,All-Purpose Cleaners
25,2020-11-01,18897.0,All-Purpose Cleaners
26,2020-11-02,17316.0,All-Purpose Cleaners
27,2020-11-03,17316.0,All-Purpose Cleaners
28,2020-11-04,17316.0,All-Purpose Cleaners
29,2020-11-05,24949.0,All-Purpose Cleaners
30,2020-11-06,24949.0,All-Purpose Cleaners
31,2020-11-07,22880.0,All-Purpose Cleaners
32,2020-11-08,22880.0,All-Purpose Cleaners
33,2020-11-09,22880.0,All-Purpose Cleaners
34,2020-11-10,26411.0,All-Purpose Cleaners
35,2020-11-11,26411.0,All-Purpose Cleaners
36,2020-11-12,26411.0,All-Purpose Cleaners
37,2020-11-13,28669.0,All-Purpose Cleaners
38,2020-11-14,28669.0,All-Purpose Cleaners
39,2020-11-15,27512.0,All-Purpose Cleaners
40,2020-11-16,27512.0,All-Purpose Cleaners
41,2020-11-17,27512.0,All-Purpose Cleaners
42,2020-11-18,23971.0,All-Purpose Cleaners
43,2020-11-19,23971.0,All-Purpose Cleaners
44,2020-11-20,23971.0,All-Purpose Cleaners
45,2020-11-21,27967.0,All-Purpose Cleaners
46,2020-11-22,27967.0,All-Purpose Cleaners
47,2020-11-23,27967.0,All-Purpose Cleaners
48,2020-11-24,36942.0,All-Purpose Cleaners
49,2020-11-25,33556.0,All-Purpose Cleaners
50,2020-11-26,33556.0,All-Purpose Cleaners
51,2020-11-27,33556.0,All-Purpose Cleaners
52,2020-11-28,33556.0,All-Purpose Cleaners
53,2020-11-29,29525.0,All-Purpose Cleaners
54,2020-11-30,29525.0,All-Purpose Cleaners
55,2020-12-01,29525.0,All-Purpose Cleaners
56,2020-12-02,29525.0,All-Purpose Cleaners
57,2020-12-03,30819.0,All-Purpose Cleaners
58,2020-12-04,30819.0,All-Purpose Cleaners
59,2020-12-05,30819.0,All-Purpose Cleaners
60,2020-12-06,30819.0,All-Purpose Cleaners
61,2020-12-07,36028.0,All-Purpose Cleaners
62,2020-12-08,36028.0,All-Purpose Cleaners
63,2020-12-09,36028.0,All-Purpose Cleaners
64,2020-12-10,38173.0,All-Purpose Cleaners
65,2020-12-11,38173.0,All-Purpose Cleaners
66,2020-12-12,38173.0,All-Purpose Cleaners
67,2020-12-13,38173.0,All-Purpose Cleaners
68,2020-12-14,35613.0,All-Purpose Cleaners
69,2020-12-15,35613.0,All-Purpose Cleaners
70,2020-12-16,35613.0,All-Purpose Cleaners
71,2020-12-17,44879.0,All-Purpose Cleaners
72,2020-12-18,44879.0,All-Purpose Cleaners
73,2020-12-19,44879.0,All-Purpose Cleaners
74,2020-12-20,45368.0,All-Purpose Cleaners
75,2020-12-21,45368.0,All-Purpose Cleaners
76,2020-12-22,45368.0,All-Purpose Cleaners
77,2020-12-23,45368.0,All-Purpose Cleaners
78,2020-12-24,45368.0,All-Purpose Cleaners
79,2020-12-25,40054.0,All-Purpose Cleaners
80,2020-12-26,40054.0,All-Purpose Cleaners
81,2020-12-27,40054.0,All-Purpose Cleaners
82,2020-12-28,39676.0,All-Purpose Cleaners
83,2020-12-29,39676.0,All-Purpose Cleaners
