,date,value,name_B07SXDM6VC
0,2020-08-03,1706.0,Ready to Drink
1,2020-08-04,1706.0,Ready to Drink
2,2020-08-05,1706.0,Ready to Drink
3,2020-08-06,1467.0,Ready to Drink
4,2020-08-07,1648.0,Ready to Drink
5,2020-08-08,1648.0,Ready to Drink
6,2020-08-09,1454.0,Ready to Drink
7,2020-08-10,1454.0,Ready to Drink
8,2020-08-11,1454.0,Ready to Drink
9,2020-08-12,1554.0,Ready to Drink
10,2020-08-13,1554.0,Ready to Drink
11,2020-08-14,1585.0,Ready to Drink
12,2020-08-15,1585.0,Ready to Drink
13,2020-08-16,1432.0,Ready to Drink
14,2020-08-17,1432.0,Ready to Drink
15,2020-08-18,1400.0,Ready to Drink
16,2020-08-19,1400.0,Ready to Drink
17,2020-08-20,1400.0,Ready to Drink
18,2020-08-21,1581.0,Ready to Drink
19,2020-08-22,1581.0,Ready to Drink
20,2020-08-23,1581.0,Ready to Drink
21,2020-08-24,1503.0,Ready to Drink
22,2020-08-25,1503.0,Ready to Drink
23,2020-08-26,1495.0,Ready to Drink
24,2020-08-27,1495.0,Ready to Drink
25,2020-08-28,1552.0,Ready to Drink
26,2020-08-29,1552.0,Ready to Drink
27,2020-08-30,1552.0,Ready to Drink
28,2020-08-31,1415.0,Ready to Drink
29,2020-09-01,1415.0,Ready to Drink
30,2020-09-02,1415.0,Ready to Drink
31,2020-09-03,1564.0,Ready to Drink
32,2020-09-04,1564.0,Ready to Drink
33,2020-09-05,1421.0,Ready to Drink
34,2020-09-06,1216.0,Ready to Drink
35,2020-09-07,1216.0,Ready to Drink
36,2020-09-08,1216.0,Ready to Drink
37,2020-09-09,1269.0,Ready to Drink
38,2020-09-10,1241.0,Ready to Drink
39,2020-09-11,1241.0,Ready to Drink
40,2020-09-12,1241.0,Ready to Drink
41,2020-09-13,1540.0,Ready to Drink
42,2020-09-14,1540.0,Ready to Drink
43,2020-09-15,1488.0,Ready to Drink
44,2020-09-16,1441.0,Ready to Drink
45,2020-09-17,1441.0,Ready to Drink
46,2020-09-18,1441.0,Ready to Drink
47,2020-09-19,1621.0,Ready to Drink
48,2020-09-20,1621.0,Ready to Drink
49,2020-09-21,1621.0,Ready to Drink
50,2020-09-22,1868.0,Ready to Drink
51,2020-09-23,1868.0,Ready to Drink
52,2020-09-24,2173.0,Ready to Drink
53,2020-09-25,2173.0,Ready to Drink
54,2020-09-26,2173.0,Ready to Drink
55,2020-09-27,2474.0,Ready to Drink
56,2020-09-28,2474.0,Ready to Drink
57,2020-09-29,2474.0,Ready to Drink
58,2020-09-30,2174.0,Ready to Drink
59,2020-10-01,2174.0,Ready to Drink
60,2020-10-02,2174.0,Ready to Drink
61,2020-10-03,2223.0,Ready to Drink
62,2020-10-04,2223.0,Ready to Drink
63,2020-10-05,2223.0,Ready to Drink
64,2020-10-06,2102.0,Ready to Drink
65,2020-10-07,1878.0,Ready to Drink
66,2020-10-08,309.0,Ready to Drink
67,2020-10-09,550.0,Ready to Drink
68,2020-10-10,1039.0,Ready to Drink
69,2020-10-11,1283.0,Ready to Drink
70,2020-10-12,1775.0,Ready to Drink
71,2020-10-13,1897.0,Ready to Drink
72,2020-10-14,1401.0,Ready to Drink
73,2020-10-15,550.0,Ready to Drink
74,2020-10-16,802.0,Ready to Drink
75,2020-10-17,1237.0,Ready to Drink
76,2020-10-18,1303.0,Ready to Drink
77,2020-10-19,1547.0,Ready to Drink
78,2020-10-20,1630.0,Ready to Drink
79,2020-10-21,1794.0,Ready to Drink
80,2020-10-22,1570.0,Ready to Drink
81,2020-10-23,1821.0,Ready to Drink
82,2020-10-24,1866.0,Ready to Drink
83,2020-10-25,2020.0,Ready to Drink
84,2020-10-26,2081.0,Ready to Drink
85,2020-10-27,2081.0,Ready to Drink
86,2020-10-28,1684.0,Ready to Drink
87,2020-10-29,1806.0,Ready to Drink
88,2020-10-30,1688.0,Ready to Drink
89,2020-10-31,1940.0,Ready to Drink
90,2020-11-01,1486.0,Ready to Drink
91,2020-11-02,1747.0,Ready to Drink
92,2020-11-03,1747.0,Ready to Drink
93,2020-11-04,1747.0,Ready to Drink
94,2020-11-05,2017.0,Ready to Drink
95,2020-11-06,2017.0,Ready to Drink
96,2020-11-07,1932.0,Ready to Drink
97,2020-11-08,1761.0,Ready to Drink
98,2020-11-09,1761.0,Ready to Drink
99,2020-11-10,1617.0,Ready to Drink
100,2020-11-11,1617.0,Ready to Drink
101,2020-11-12,1617.0,Ready to Drink
102,2020-11-13,1631.0,Ready to Drink
103,2020-11-14,1631.0,Ready to Drink
104,2020-11-15,1696.0,Ready to Drink
105,2020-11-16,1696.0,Ready to Drink
106,2020-11-17,1468.0,Ready to Drink
107,2020-11-18,1832.0,Ready to Drink
108,2020-11-19,1837.0,Ready to Drink
109,2020-11-20,1837.0,Ready to Drink
110,2020-11-21,2097.0,Ready to Drink
111,2020-11-22,2065.0,Ready to Drink
112,2020-11-23,2065.0,Ready to Drink
113,2020-11-24,2065.0,Ready to Drink
114,2020-11-25,2487.0,Ready to Drink
115,2020-11-26,2487.0,Ready to Drink
116,2020-11-27,2998.0,Ready to Drink
117,2020-11-28,2998.0,Ready to Drink
118,2020-11-29,2998.0,Ready to Drink
119,2020-11-30,2820.0,Ready to Drink
120,2020-12-01,2820.0,Ready to Drink
121,2020-12-02,2820.0,Ready to Drink
122,2020-12-03,2788.0,Ready to Drink
123,2020-12-04,2788.0,Ready to Drink
124,2020-12-05,2137.0,Ready to Drink
125,2020-12-06,2137.0,Ready to Drink
126,2020-12-07,2137.0,Ready to Drink
127,2020-12-08,2230.0,Ready to Drink
128,2020-12-09,2230.0,Ready to Drink
129,2020-12-10,2230.0,Ready to Drink
130,2020-12-11,1887.0,Ready to Drink
131,2020-12-12,1887.0,Ready to Drink
132,2020-12-13,1936.0,Ready to Drink
