,date,value,name_B08R13MPFY
0,2020-12-22,6601.0,Repellents
1,2020-12-23,6601.0,Repellents
2,2020-12-24,4958.0,Repellents
3,2020-12-25,4958.0,Repellents
4,2020-12-26,5561.0,Repellents
5,2020-12-27,5561.0,Repellents
6,2020-12-28,5561.0,Repellents
7,2020-12-29,5704.0,Repellents
8,2020-12-30,5356.0,Repellents
9,2020-12-31,5356.0,Repellents
10,2021-01-01,5356.0,Repellents
11,2021-01-02,4988.0,Repellents
12,2021-01-03,4988.0,Repellents
13,2021-01-04,4988.0,Repellents
14,2021-01-05,3766.0,Repellents
15,2021-01-06,4114.0,Repellents
16,2021-01-07,4114.0,Repellents
17,2021-01-08,4114.0,Repellents
18,2021-01-09,4114.0,Repellents
19,2021-01-10,4114.0,Repellents
20,2021-01-11,4114.0,Repellents
21,2021-01-12,5279.0,Repellents
22,2021-01-13,5279.0,Repellents
23,2021-01-14,5279.0,Repellents
24,2021-01-15,5779.0,Repellents
25,2021-01-16,5779.0,Repellents
26,2021-01-17,4874.0,Repellents
27,2021-01-18,4874.0,Repellents
28,2021-01-19,3623.0,Repellents
29,2021-01-20,3623.0,Repellents
30,2021-01-21,3623.0,Repellents
31,2021-01-22,4623.0,Repellents
32,2021-01-23,4623.0,Repellents
33,2021-01-24,4623.0,Repellents
34,2021-01-25,3972.0,Repellents
35,2021-01-26,3972.0,Repellents
36,2021-01-27,3972.0,Repellents
37,2021-01-28,3830.0,Repellents
38,2021-01-29,3830.0,Repellents
39,2021-01-30,3830.0,Repellents
40,2021-01-31,5093.0,Repellents
41,2021-02-01,5093.0,Repellents
42,2021-02-02,4833.0,Repellents
43,2021-02-03,4833.0,Repellents
44,2021-02-04,4833.0,Repellents
45,2021-02-05,4833.0,Repellents
46,2021-02-06,4833.0,Repellents
47,2021-02-07,5427.0,Repellents
48,2021-02-08,5427.0,Repellents
49,2021-02-09,5427.0,Repellents
50,2021-02-10,5427.0,Repellents
51,2021-02-11,5044.0,Repellents
52,2021-02-12,5044.0,Repellents
53,2021-02-13,5044.0,Repellents
54,2021-02-14,4233.0,Repellents
55,2021-02-15,4233.0,Repellents
56,2021-02-16,4233.0,Repellents
57,2021-02-17,6216.0,Repellents
58,2021-02-18,5111.0,Repellents
59,2021-02-19,5111.0,Repellents
60,2021-02-20,5111.0,Repellents
61,2021-02-21,7066.0,Repellents
62,2021-02-22,7066.0,Repellents
63,2021-02-23,6038.0,Repellents
64,2021-02-24,6038.0,Repellents
65,2021-02-25,6038.0,Repellents
66,2021-02-26,4821.0,Repellents
67,2021-02-27,4821.0,Repellents
68,2021-02-28,4821.0,Repellents
69,2021-03-01,4920.0,Repellents
70,2021-03-02,5919.0,Repellents
71,2021-03-03,5919.0,Repellents
72,2021-03-04,6582.0,Repellents
73,2021-03-05,6582.0,Repellents
74,2021-03-06,6582.0,Repellents
75,2021-03-07,7216.0,Repellents
76,2021-03-08,7216.0,Repellents
77,2021-03-09,7216.0,Repellents
78,2021-03-10,7175.0,Repellents
79,2021-03-11,7175.0,Repellents
80,2021-03-12,7175.0,Repellents
81,2021-03-13,8495.0,Repellents
82,2021-03-14,8495.0,Repellents
83,2021-03-15,6696.0,Repellents
84,2021-03-16,6696.0,Repellents
85,2021-03-17,6696.0,Repellents
86,2021-03-18,6696.0,Repellents
87,2021-03-19,6111.0,Repellents
88,2021-03-20,6111.0,Repellents
89,2021-03-21,7531.0,Repellents
90,2021-03-22,7531.0,Repellents
91,2021-03-23,7531.0,Repellents
92,2021-03-24,7531.0,Repellents
93,2021-03-25,7531.0,Repellents
94,2021-03-26,5016.0,Repellents
95,2021-03-27,5016.0,Repellents
96,2021-03-28,5703.0,Repellents
97,2021-03-29,5703.0,Repellents
98,2021-03-30,5703.0,Repellents
99,2021-03-31,7815.0,Repellents
100,2021-04-01,7815.0,Repellents
101,2021-04-02,4365.0,Repellents
102,2021-04-03,4365.0,Repellents
103,2021-04-04,4365.0,Repellents
104,2021-04-05,4810.0,Repellents
105,2021-04-06,4810.0,Repellents
106,2021-04-07,4810.0,Repellents
107,2021-04-08,6134.0,Repellents
108,2021-04-09,6134.0,Repellents
109,2021-04-10,5892.0,Repellents
110,2021-04-11,5892.0,Repellents
111,2021-04-12,5892.0,Repellents
112,2021-04-13,5030.0,Repellents
113,2021-04-14,6503.0,Repellents
114,2021-04-15,6503.0,Repellents
115,2021-04-16,6503.0,Repellents
116,2021-04-17,4408.0,Repellents
117,2021-04-18,5679.0,Repellents
118,2021-04-19,5679.0,Repellents
119,2021-04-20,5443.0,Repellents
120,2021-04-21,5443.0,Repellents
121,2021-04-22,4776.0,Repellents
122,2021-04-23,4776.0,Repellents
123,2021-04-24,4776.0,Repellents
124,2021-04-25,5802.0,Repellents
125,2021-04-26,5802.0,Repellents
126,2021-04-27,5796.0,Repellents
127,2021-04-28,5796.0,Repellents
128,2021-04-29,4797.0,Repellents
129,2021-04-30,4797.0,Repellents
130,2021-05-01,4917.0,Repellents
131,2021-05-02,4917.0,Repellents
132,2021-05-03,4917.0,Repellents
133,2021-05-04,6213.0,Repellents
134,2021-05-05,5285.0,Repellents
135,2021-05-06,5285.0,Repellents
136,2021-05-07,5662.0,Repellents
137,2021-05-08,5662.0,Repellents
138,2021-05-09,4601.0,Repellents
139,2021-05-10,4601.0,Repellents
140,2021-05-11,4601.0,Repellents
141,2021-05-12,4469.0,Repellents
142,2021-05-13,4469.0,Repellents
143,2021-05-14,3296.0,Repellents
144,2021-05-15,3296.0,Repellents
145,2021-05-16,2916.0,Repellents
146,2021-05-17,2916.0,Repellents
147,2021-05-18,3962.0,Repellents
148,2021-05-19,4726.0,Repellents
149,2021-05-20,4291.0,Repellents
150,2021-05-21,4291.0,Repellents
151,2021-05-22,3419.0,Repellents
152,2021-05-23,3419.0,Repellents
153,2021-05-24,3495.0,Repellents
154,2021-05-25,3495.0,Repellents
155,2021-05-26,3495.0,Repellents
156,2021-05-27,3110.0,Repellents
157,2021-05-28,3110.0,Repellents
158,2021-05-29,3555.0,Repellents
159,2021-05-30,3555.0,Repellents
160,2021-05-31,3993.0,Repellents
161,2021-06-01,3993.0,Repellents
162,2021-06-02,4655.0,Repellents
163,2021-06-03,4052.0,Repellents
164,2021-06-04,4052.0,Repellents
165,2021-06-05,3718.0,Repellents
166,2021-06-06,3718.0,Repellents
167,2021-06-07,4901.0,Repellents
168,2021-06-08,5165.0,Repellents
169,2021-06-09,3679.0,Repellents
170,2021-06-10,3714.0,Repellents
171,2021-06-11,3764.0,Repellents
172,2021-06-12,3764.0,Repellents
173,2021-06-13,3764.0,Repellents
174,2021-06-14,4649.0,Repellents
175,2021-06-15,4649.0,Repellents
176,2021-06-16,4681.0,Repellents
177,2021-06-17,4681.0,Repellents
178,2021-06-18,4817.0,Repellents
179,2021-06-19,4817.0,Repellents
180,2021-06-20,4893.0,Repellents
181,2021-06-21,4893.0,Repellents
182,2021-06-22,4893.0,Repellents
183,2021-06-23,4893.0,Repellents
184,2021-06-24,5628.0,Repellents
185,2021-06-25,5487.0,Repellents
186,2021-06-26,5487.0,Repellents
187,2021-06-27,5487.0,Repellents
188,2021-06-28,5192.0,Repellents
189,2021-06-29,5192.0,Repellents
190,2021-06-30,4384.0,Repellents
191,2021-07-01,4384.0,Repellents
192,2021-07-02,4145.0,Repellents
