,date,value,name_B08PFVXZ1K
176,2021-06-06,1604.0,Planters
177,2021-06-07,1596.0,Planters
178,2021-06-08,1720.0,Planters
179,2021-06-09,1731.0,Planters
180,2021-06-10,1951.0,Planters
181,2021-06-11,1563.0,Planters
182,2021-06-12,1363.0,Planters
183,2021-06-13,2131.0,Planters
184,2021-06-14,1854.0,Planters
185,2021-06-15,2156.0,Planters
186,2021-06-16,2156.0,Planters
187,2021-06-17,2423.0,Planters
188,2021-06-18,2423.0,Planters
189,2021-06-19,2029.0,Planters
190,2021-06-20,2835.0,Planters
191,2021-06-21,3118.0,Planters
192,2021-06-22,3965.0,Planters
193,2021-06-23,3966.0,Planters
194,2021-06-24,3738.0,Planters
195,2021-06-25,4255.0,Planters
196,2021-06-26,3658.0,Planters
197,2021-06-27,3237.0,Planters
198,2021-06-28,3515.0,Planters
199,2021-06-29,3830.0,Planters
200,2021-06-30,3624.0,Planters
201,2021-07-01,2577.0,Planters
202,2021-07-02,2562.0,Planters
203,2021-07-03,2562.0,Planters
204,2021-07-04,4205.0,Planters
205,2021-07-05,4088.0,Planters
206,2021-07-06,4088.0,Planters
207,2021-07-07,3098.0,Planters
208,2021-07-08,3098.0,Planters
209,2021-07-09,2623.0,Planters
210,2021-07-10,2842.0,Planters
