,date,value,name_B08QZD8RWY
0,2020-12-27,16835.0,Tablecloths
1,2020-12-28,16835.0,Tablecloths
2,2020-12-29,16835.0,Tablecloths
3,2020-12-30,16835.0,Tablecloths
4,2020-12-31,16835.0,Tablecloths
5,2021-01-01,14844.0,Tablecloths
6,2021-01-02,14844.0,Tablecloths
7,2021-01-03,14844.0,Tablecloths
8,2021-01-04,14844.0,Tablecloths
9,2021-01-05,13077.0,Tablecloths
10,2021-01-06,13077.0,Tablecloths
11,2021-01-07,13077.0,Tablecloths
12,2021-01-08,11606.0,Tablecloths
13,2021-01-09,11606.0,Tablecloths
14,2021-01-10,11606.0,Tablecloths
15,2021-01-11,11606.0,Tablecloths
16,2021-01-12,10746.0,Tablecloths
17,2021-01-13,10746.0,Tablecloths
18,2021-01-14,10746.0,Tablecloths
19,2021-01-15,10746.0,Tablecloths
20,2021-01-16,10202.0,Tablecloths
21,2021-01-17,10202.0,Tablecloths
22,2021-01-18,10202.0,Tablecloths
23,2021-01-19,14059.0,Tablecloths
24,2021-01-20,14059.0,Tablecloths
25,2021-01-21,14059.0,Tablecloths
26,2021-01-22,10895.0,Tablecloths
27,2021-01-23,10895.0,Tablecloths
28,2021-01-24,10895.0,Tablecloths
29,2021-01-25,10895.0,Tablecloths
30,2021-01-26,8028.0,Tablecloths
31,2021-01-27,8028.0,Tablecloths
32,2021-01-28,8028.0,Tablecloths
33,2021-01-29,6620.0,Tablecloths
34,2021-01-30,6620.0,Tablecloths
35,2021-01-31,6620.0,Tablecloths
36,2021-02-01,10762.0,Tablecloths
37,2021-02-02,10762.0,Tablecloths
38,2021-02-03,8233.0,Tablecloths
39,2021-02-04,8233.0,Tablecloths
40,2021-02-05,8226.0,Tablecloths
41,2021-02-06,8226.0,Tablecloths
42,2021-02-07,8226.0,Tablecloths
43,2021-02-08,8226.0,Tablecloths
44,2021-02-09,6222.0,Tablecloths
45,2021-02-10,6222.0,Tablecloths
46,2021-02-11,6222.0,Tablecloths
47,2021-02-12,6555.0,Tablecloths
48,2021-02-13,6555.0,Tablecloths
49,2021-02-14,6555.0,Tablecloths
50,2021-02-15,6555.0,Tablecloths
51,2021-02-16,6555.0,Tablecloths
52,2021-02-17,5753.0,Tablecloths
53,2021-02-18,5410.0,Tablecloths
54,2021-02-19,5410.0,Tablecloths
55,2021-02-20,7523.0,Tablecloths
56,2021-02-21,7523.0,Tablecloths
57,2021-02-22,7523.0,Tablecloths
58,2021-02-23,7523.0,Tablecloths
59,2021-02-24,7523.0,Tablecloths
60,2021-02-25,4882.0,Tablecloths
61,2021-02-26,4882.0,Tablecloths
62,2021-02-27,4882.0,Tablecloths
63,2021-02-28,4882.0,Tablecloths
64,2021-03-01,6409.0,Tablecloths
65,2021-03-02,5200.0,Tablecloths
66,2021-03-03,5200.0,Tablecloths
67,2021-03-04,4369.0,Tablecloths
68,2021-03-05,4369.0,Tablecloths
69,2021-03-06,3673.0,Tablecloths
70,2021-03-07,3673.0,Tablecloths
71,2021-03-08,3673.0,Tablecloths
72,2021-03-09,3234.0,Tablecloths
73,2021-03-10,3234.0,Tablecloths
74,2021-03-11,3234.0,Tablecloths
75,2021-03-12,3301.0,Tablecloths
76,2021-03-13,3301.0,Tablecloths
77,2021-03-14,3301.0,Tablecloths
78,2021-03-15,4351.0,Tablecloths
79,2021-03-16,4351.0,Tablecloths
80,2021-03-17,4351.0,Tablecloths
81,2021-03-18,1968.0,Tablecloths
82,2021-03-19,3316.0,Tablecloths
83,2021-03-20,3316.0,Tablecloths
84,2021-03-21,3316.0,Tablecloths
85,2021-03-22,3424.0,Tablecloths
86,2021-03-23,3424.0,Tablecloths
87,2021-03-24,3424.0,Tablecloths
88,2021-03-25,3424.0,Tablecloths
89,2021-03-26,3424.0,Tablecloths
90,2021-03-27,3248.0,Tablecloths
91,2021-03-28,3248.0,Tablecloths
92,2021-03-29,3248.0,Tablecloths
93,2021-03-30,2409.0,Tablecloths
94,2021-03-31,2409.0,Tablecloths
95,2021-04-01,2348.0,Tablecloths
96,2021-04-02,2348.0,Tablecloths
97,2021-04-03,2348.0,Tablecloths
98,2021-04-04,2502.0,Tablecloths
99,2021-04-05,2502.0,Tablecloths
100,2021-04-06,1924.0,Tablecloths
101,2021-04-07,1924.0,Tablecloths
102,2021-04-08,1924.0,Tablecloths
103,2021-04-09,1816.0,Tablecloths
104,2021-04-10,1816.0,Tablecloths
105,2021-04-11,1816.0,Tablecloths
106,2021-04-12,2205.0,Tablecloths
107,2021-04-13,2205.0,Tablecloths
108,2021-04-14,1713.0,Tablecloths
109,2021-04-15,1641.0,Tablecloths
110,2021-04-16,1641.0,Tablecloths
111,2021-04-17,2091.0,Tablecloths
112,2021-04-18,2091.0,Tablecloths
113,2021-04-19,2245.0,Tablecloths
114,2021-04-20,2245.0,Tablecloths
115,2021-04-21,1527.0,Tablecloths
116,2021-04-22,1992.0,Tablecloths
117,2021-04-23,1992.0,Tablecloths
118,2021-04-24,2215.0,Tablecloths
119,2021-04-25,2335.0,Tablecloths
120,2021-04-26,2335.0,Tablecloths
121,2021-04-27,1926.0,Tablecloths
122,2021-04-28,1926.0,Tablecloths
123,2021-04-29,2187.0,Tablecloths
124,2021-04-30,1984.0,Tablecloths
125,2021-05-01,1784.0,Tablecloths
126,2021-05-02,1784.0,Tablecloths
127,2021-05-03,2330.0,Tablecloths
128,2021-05-04,2330.0,Tablecloths
129,2021-05-05,2330.0,Tablecloths
130,2021-05-06,1859.0,Tablecloths
131,2021-05-07,1859.0,Tablecloths
132,2021-05-08,1561.0,Tablecloths
133,2021-05-09,1561.0,Tablecloths
134,2021-05-10,1561.0,Tablecloths
135,2021-05-11,967.0,Tablecloths
136,2021-05-12,967.0,Tablecloths
137,2021-05-13,1046.0,Tablecloths
138,2021-05-14,1278.0,Tablecloths
139,2021-05-15,1278.0,Tablecloths
140,2021-05-16,1131.0,Tablecloths
141,2021-05-17,1131.0,Tablecloths
142,2021-05-18,693.0,Tablecloths
143,2021-05-19,693.0,Tablecloths
144,2021-05-20,663.0,Tablecloths
145,2021-05-21,663.0,Tablecloths
146,2021-05-22,817.0,Tablecloths
147,2021-05-23,817.0,Tablecloths
148,2021-05-24,817.0,Tablecloths
149,2021-05-25,1401.0,Tablecloths
150,2021-05-26,1233.0,Tablecloths
151,2021-05-27,1291.0,Tablecloths
152,2021-05-28,1291.0,Tablecloths
153,2021-05-29,1185.0,Tablecloths
154,2021-05-30,1276.0,Tablecloths
155,2021-05-31,1276.0,Tablecloths
156,2021-06-01,1199.0,Tablecloths
157,2021-06-02,1199.0,Tablecloths
158,2021-06-03,872.0,Tablecloths
159,2021-06-04,872.0,Tablecloths
160,2021-06-05,872.0,Tablecloths
161,2021-06-06,1067.0,Tablecloths
162,2021-06-07,1067.0,Tablecloths
163,2021-06-08,1104.0,Tablecloths
164,2021-06-09,1104.0,Tablecloths
165,2021-06-10,762.0,Tablecloths
166,2021-06-11,762.0,Tablecloths
167,2021-06-12,762.0,Tablecloths
168,2021-06-13,762.0,Tablecloths
169,2021-06-14,1332.0,Tablecloths
170,2021-06-15,1332.0,Tablecloths
171,2021-06-16,1332.0,Tablecloths
172,2021-06-17,1108.0,Tablecloths
173,2021-06-18,1108.0,Tablecloths
174,2021-06-19,1153.0,Tablecloths
175,2021-06-20,1153.0,Tablecloths
176,2021-06-21,1482.0,Tablecloths
177,2021-06-22,2170.0,Tablecloths
178,2021-06-23,2170.0,Tablecloths
179,2021-06-24,2163.0,Tablecloths
180,2021-06-25,2163.0,Tablecloths
181,2021-06-26,2163.0,Tablecloths
182,2021-06-27,2163.0,Tablecloths
183,2021-06-28,2068.0,Tablecloths
184,2021-06-29,1686.0,Tablecloths
185,2021-06-30,1333.0,Tablecloths
186,2021-07-01,1276.0,Tablecloths
187,2021-07-02,1276.0,Tablecloths
188,2021-07-03,1354.0,Tablecloths
189,2021-07-04,1354.0,Tablecloths
190,2021-07-05,1729.0,Tablecloths
191,2021-07-06,1093.0,Tablecloths
192,2021-07-07,1093.0,Tablecloths
193,2021-07-08,855.0,Tablecloths
194,2021-07-09,995.0,Tablecloths
195,2021-07-10,995.0,Tablecloths
196,2021-07-11,1251.0,Tablecloths
