,date,value,name_B084FR9BQF
0,2020-02-13,9992.0,Pots
1,2020-02-14,9992.0,Pots
2,2020-02-15,9992.0,Pots
3,2020-02-16,9992.0,Pots
4,2020-02-17,10315.0,Pots
5,2020-02-18,10315.0,Pots
6,2020-02-19,10315.0,Pots
7,2020-02-20,10315.0,Pots
8,2020-02-21,5026.0,Pots
9,2020-02-22,5026.0,Pots
10,2020-02-23,5026.0,Pots
11,2020-02-24,5026.0,Pots
12,2020-02-25,1800.0,Pots
13,2020-02-26,1800.0,Pots
14,2020-02-27,1800.0,Pots
15,2020-02-28,2601.0,Pots
16,2020-02-29,2601.0,Pots
17,2020-03-01,2601.0,Pots
18,2020-03-02,2601.0,Pots
19,2020-03-03,2279.0,Pots
20,2020-03-04,2813.0,Pots
21,2020-03-05,2813.0,Pots
22,2020-03-06,2813.0,Pots
23,2020-03-07,2661.0,Pots
24,2020-03-08,2661.0,Pots
25,2020-03-09,2083.0,Pots
26,2020-03-10,1482.0,Pots
27,2020-03-11,2150.0,Pots
28,2020-03-12,2150.0,Pots
29,2020-03-13,2150.0,Pots
30,2020-03-14,2150.0,Pots
31,2020-03-15,2150.0,Pots
32,2020-03-16,2931.0,Pots
33,2020-03-17,2931.0,Pots
34,2020-03-18,2312.0,Pots
35,2020-03-19,2312.0,Pots
36,2020-03-20,2312.0,Pots
37,2020-03-21,2312.0,Pots
38,2020-03-22,2312.0,Pots
39,2020-03-23,2312.0,Pots
40,2020-03-24,1598.0,Pots
41,2020-03-25,1598.0,Pots
42,2020-03-26,1598.0,Pots
43,2020-03-27,1089.0,Pots
44,2020-03-28,1411.0,Pots
45,2020-03-29,1307.0,Pots
46,2020-03-30,1307.0,Pots
47,2020-03-31,1046.0,Pots
48,2020-04-01,1046.0,Pots
49,2020-04-02,1015.0,Pots
50,2020-04-03,1114.0,Pots
51,2020-04-04,1114.0,Pots
52,2020-04-05,3078.0,Pots
53,2020-04-06,4766.0,Pots
54,2020-04-07,9501.0,Pots
55,2020-04-08,4047.0,Pots
56,2020-04-09,1230.0,Pots
57,2020-04-10,1500.0,Pots
58,2020-04-11,1500.0,Pots
59,2020-04-12,1500.0,Pots
60,2020-04-13,781.0,Pots
61,2020-04-14,434.0,Pots
62,2020-04-15,434.0,Pots
63,2020-04-16,393.0,Pots
64,2020-04-17,346.0,Pots
65,2020-04-18,319.0,Pots
66,2020-04-19,319.0,Pots
67,2020-04-20,609.0,Pots
68,2020-04-21,609.0,Pots
69,2020-04-22,2291.0,Pots
70,2020-04-23,5561.0,Pots
71,2020-04-24,5561.0,Pots
72,2020-04-25,5561.0,Pots
73,2020-04-26,5561.0,Pots
74,2020-04-27,18137.0,Pots
75,2020-04-28,18956.0,Pots
76,2020-04-29,18956.0,Pots
77,2020-04-30,18956.0,Pots
78,2020-05-01,18956.0,Pots
79,2020-05-02,18956.0,Pots
80,2020-05-03,18956.0,Pots
81,2020-05-04,41450.0,Pots
82,2020-05-05,34012.0,Pots
83,2020-05-06,36108.0,Pots
84,2020-05-07,43683.0,Pots
85,2020-05-08,43683.0,Pots
86,2020-05-09,43683.0,Pots
87,2020-05-10,4144.0,Pots
88,2020-05-11,4144.0,Pots
89,2020-05-12,14299.0,Pots
90,2020-05-13,14299.0,Pots
91,2020-05-14,1128.0,Pots
92,2020-05-15,1128.0,Pots
93,2020-05-16,1128.0,Pots
94,2020-05-17,2081.0,Pots
95,2020-05-18,2116.0,Pots
96,2020-05-19,1890.0,Pots
97,2020-05-20,1890.0,Pots
98,2020-05-21,826.0,Pots
99,2020-05-22,590.0,Pots
100,2020-05-23,590.0,Pots
101,2020-05-24,590.0,Pots
102,2020-05-25,551.0,Pots
103,2020-05-26,551.0,Pots
104,2020-05-27,544.0,Pots
105,2020-05-28,511.0,Pots
106,2020-05-29,427.0,Pots
107,2020-05-30,339.0,Pots
108,2020-05-31,339.0,Pots
109,2020-06-01,479.0,Pots
110,2020-06-02,470.0,Pots
111,2020-06-03,512.0,Pots
112,2020-06-04,512.0,Pots
113,2020-06-05,512.0,Pots
114,2020-06-06,512.0,Pots
115,2020-06-07,512.0,Pots
116,2020-06-08,415.0,Pots
117,2020-06-09,549.0,Pots
118,2020-06-10,549.0,Pots
119,2020-06-11,487.0,Pots
120,2020-06-12,487.0,Pots
121,2020-06-13,356.0,Pots
122,2020-06-14,356.0,Pots
123,2020-06-15,371.0,Pots
124,2020-06-16,423.0,Pots
125,2020-06-17,493.0,Pots
126,2020-06-18,493.0,Pots
127,2020-06-19,516.0,Pots
128,2020-06-20,516.0,Pots
129,2020-06-21,516.0,Pots
130,2020-06-22,797.0,Pots
131,2020-06-23,784.0,Pots
132,2020-06-24,1196.0,Pots
133,2020-06-25,1946.0,Pots
134,2020-06-26,1946.0,Pots
135,2020-06-27,4854.0,Pots
136,2020-06-28,7242.0,Pots
137,2020-06-29,1602.0,Pots
138,2020-06-30,1602.0,Pots
139,2020-07-01,1602.0,Pots
140,2020-07-02,1234.0,Pots
141,2020-07-03,1234.0,Pots
142,2020-07-04,830.0,Pots
143,2020-07-05,1219.0,Pots
144,2020-07-06,1219.0,Pots
145,2020-07-07,752.0,Pots
146,2020-07-08,752.0,Pots
147,2020-07-09,752.0,Pots
148,2020-07-10,556.0,Pots
149,2020-07-11,556.0,Pots
150,2020-07-12,644.0,Pots
151,2020-07-13,628.0,Pots
152,2020-07-14,628.0,Pots
153,2020-07-15,628.0,Pots
154,2020-07-16,511.0,Pots
155,2020-07-17,511.0,Pots
156,2020-07-18,468.0,Pots
157,2020-07-19,498.0,Pots
158,2020-07-20,531.0,Pots
159,2020-07-21,531.0,Pots
160,2020-07-22,447.0,Pots
161,2020-07-23,447.0,Pots
162,2020-07-24,407.0,Pots
163,2020-07-25,407.0,Pots
164,2020-07-26,427.0,Pots
165,2020-07-27,427.0,Pots
166,2020-07-28,427.0,Pots
167,2020-07-29,464.0,Pots
168,2020-07-30,395.0,Pots
169,2020-07-31,395.0,Pots
170,2020-08-01,397.0,Pots
171,2020-08-02,494.0,Pots
172,2020-08-03,414.0,Pots
173,2020-08-04,414.0,Pots
174,2020-08-05,386.0,Pots
175,2020-08-06,386.0,Pots
176,2020-08-07,394.0,Pots
177,2020-08-08,401.0,Pots
178,2020-08-09,472.0,Pots
179,2020-08-10,472.0,Pots
180,2020-08-11,452.0,Pots
181,2020-08-12,518.0,Pots
182,2020-08-13,518.0,Pots
183,2020-08-14,518.0,Pots
184,2020-08-15,392.0,Pots
185,2020-08-16,392.0,Pots
186,2020-08-17,411.0,Pots
187,2020-08-18,411.0,Pots
188,2020-08-19,411.0,Pots
