,date,value,name_B01MQ4TVDB
0,2018-07-12,1400941.0,LED Bulbs
1,2018-07-13,1400941.0,LED Bulbs
2,2018-07-14,1400941.0,LED Bulbs
3,2018-07-15,1404174.0,LED Bulbs
4,2018-07-16,1404174.0,LED Bulbs
5,2018-07-17,1404174.0,LED Bulbs
6,2018-07-18,1411778.0,LED Bulbs
7,2018-07-19,1411778.0,LED Bulbs
8,2018-07-20,1415133.0,LED Bulbs
9,2018-07-21,1415133.0,LED Bulbs
10,2018-07-22,1416552.0,LED Bulbs
11,2018-07-23,1417924.0,LED Bulbs
12,2018-07-24,1419765.0,LED Bulbs
13,2018-07-25,1421539.0,LED Bulbs
14,2018-07-26,1422603.0,LED Bulbs
15,2018-07-27,1424603.0,LED Bulbs
16,2018-07-28,1424603.0,LED Bulbs
17,2018-07-29,1425553.0,LED Bulbs
18,2018-07-30,1426452.0,LED Bulbs
19,2018-07-31,1428243.0,LED Bulbs
20,2018-08-01,1428243.0,LED Bulbs
21,2018-08-02,1428243.0,LED Bulbs
22,2018-08-03,1429633.0,LED Bulbs
23,2018-08-04,1429633.0,LED Bulbs
24,2018-08-05,1429633.0,LED Bulbs
25,2018-08-06,1429633.0,LED Bulbs
26,2018-08-07,1438112.0,LED Bulbs
27,2018-08-08,1438112.0,LED Bulbs
28,2018-08-09,1441973.0,LED Bulbs
29,2018-08-10,1442408.0,LED Bulbs
30,2018-08-11,1442408.0,LED Bulbs
31,2018-08-12,1442408.0,LED Bulbs
32,2018-08-13,1447099.0,LED Bulbs
33,2018-08-14,1447099.0,LED Bulbs
34,2018-08-15,1448325.0,LED Bulbs
35,2018-08-16,1451261.0,LED Bulbs
36,2018-08-17,1451261.0,LED Bulbs
37,2018-08-18,1451261.0,LED Bulbs
38,2018-08-19,1451261.0,LED Bulbs
39,2018-08-20,239221.0,LED Bulbs
40,2018-08-21,323082.0,LED Bulbs
41,2018-08-22,323082.0,LED Bulbs
42,2018-08-23,245348.0,LED Bulbs
43,2018-08-24,245348.0,LED Bulbs
44,2018-08-25,374719.0,LED Bulbs
45,2018-08-26,374719.0,LED Bulbs
46,2018-08-27,482974.0,LED Bulbs
47,2018-08-28,523230.0,LED Bulbs
48,2018-08-29,523230.0,LED Bulbs
49,2018-08-30,589669.0,LED Bulbs
50,2018-08-31,589669.0,LED Bulbs
51,2018-09-01,633868.0,LED Bulbs
52,2018-09-02,633868.0,LED Bulbs
53,2018-09-03,664318.0,LED Bulbs
54,2018-09-04,683297.0,LED Bulbs
55,2018-09-05,701544.0,LED Bulbs
56,2018-09-06,726331.0,LED Bulbs
57,2018-09-07,726331.0,LED Bulbs
58,2018-09-08,761775.0,LED Bulbs
59,2018-09-09,785586.0,LED Bulbs
60,2018-09-10,814458.0,LED Bulbs
61,2018-09-11,814458.0,LED Bulbs
62,2018-09-12,859656.0,LED Bulbs
63,2018-09-13,859656.0,LED Bulbs
64,2018-09-14,903348.0,LED Bulbs
65,2018-09-15,923265.0,LED Bulbs
66,2018-09-16,939625.0,LED Bulbs
67,2018-09-17,957249.0,LED Bulbs
68,2018-09-18,978601.0,LED Bulbs
69,2018-09-19,978601.0,LED Bulbs
70,2018-09-20,1024200.0,LED Bulbs
71,2018-09-21,1041697.0,LED Bulbs
72,2018-09-22,1054513.0,LED Bulbs
73,2018-09-23,1064219.0,LED Bulbs
74,2018-09-24,1080406.0,LED Bulbs
75,2018-09-25,1106362.0,LED Bulbs
76,2018-09-26,1124076.0,LED Bulbs
77,2018-09-27,1124076.0,LED Bulbs
78,2018-09-28,1124076.0,LED Bulbs
79,2018-09-29,1124076.0,LED Bulbs
80,2018-09-30,1183980.0,LED Bulbs
81,2018-10-01,1202859.0,LED Bulbs
82,2018-10-02,1204964.0,LED Bulbs
83,2018-10-03,1222343.0,LED Bulbs
84,2018-10-04,1237465.0,LED Bulbs
85,2018-10-05,1245893.0,LED Bulbs
86,2018-10-06,1245893.0,LED Bulbs
87,2018-10-07,1265699.0,LED Bulbs
88,2018-10-08,1265699.0,LED Bulbs
89,2018-10-09,1265699.0,LED Bulbs
90,2018-10-10,1265699.0,LED Bulbs
91,2018-10-11,1265699.0,LED Bulbs
92,2018-10-12,1309360.0,LED Bulbs
93,2018-10-13,1314148.0,LED Bulbs
94,2018-10-14,1319916.0,LED Bulbs
95,2018-10-15,1319916.0,LED Bulbs
96,2018-10-16,1319916.0,LED Bulbs
97,2018-10-17,1340464.0,LED Bulbs
