,date,value,name_B086GKNCT8
0,2020-06-28,29981.0,Bath & Shower Grab Bars
1,2020-06-29,32282.0,Bath & Shower Grab Bars
2,2020-06-30,32282.0,Bath & Shower Grab Bars
3,2020-07-01,32282.0,Bath & Shower Grab Bars
4,2020-07-02,25585.0,Bath & Shower Grab Bars
5,2020-07-03,25585.0,Bath & Shower Grab Bars
6,2020-07-04,25585.0,Bath & Shower Grab Bars
7,2020-07-05,25585.0,Bath & Shower Grab Bars
8,2020-07-06,25585.0,Bath & Shower Grab Bars
9,2020-07-07,25585.0,Bath & Shower Grab Bars
10,2020-07-08,25585.0,Bath & Shower Grab Bars
11,2020-07-09,25585.0,Bath & Shower Grab Bars
12,2020-07-10,16682.0,Bath & Shower Grab Bars
13,2020-07-11,16682.0,Bath & Shower Grab Bars
14,2020-07-12,16682.0,Bath & Shower Grab Bars
15,2020-07-13,22217.0,Bath & Shower Grab Bars
16,2020-07-14,22217.0,Bath & Shower Grab Bars
17,2020-07-15,22217.0,Bath & Shower Grab Bars
18,2020-07-16,22217.0,Bath & Shower Grab Bars
19,2020-07-17,20353.0,Bath & Shower Grab Bars
20,2020-07-18,20353.0,Bath & Shower Grab Bars
21,2020-07-19,20353.0,Bath & Shower Grab Bars
22,2020-07-20,27503.0,Bath & Shower Grab Bars
23,2020-07-21,27503.0,Bath & Shower Grab Bars
24,2020-07-22,27503.0,Bath & Shower Grab Bars
25,2020-07-23,27503.0,Bath & Shower Grab Bars
26,2020-07-24,27503.0,Bath & Shower Grab Bars
27,2020-07-25,42318.0,Bath & Shower Grab Bars
28,2020-07-26,42318.0,Bath & Shower Grab Bars
29,2020-07-27,42318.0,Bath & Shower Grab Bars
30,2020-07-28,42318.0,Bath & Shower Grab Bars
31,2020-07-29,52428.0,Bath & Shower Grab Bars
32,2020-07-30,52428.0,Bath & Shower Grab Bars
33,2020-07-31,52428.0,Bath & Shower Grab Bars
34,2020-08-01,52428.0,Bath & Shower Grab Bars
35,2020-08-02,52428.0,Bath & Shower Grab Bars
36,2020-08-03,52428.0,Bath & Shower Grab Bars
37,2020-08-04,52428.0,Bath & Shower Grab Bars
38,2020-08-05,52428.0,Bath & Shower Grab Bars
39,2020-08-06,52428.0,Bath & Shower Grab Bars
40,2020-08-07,52428.0,Bath & Shower Grab Bars
41,2020-08-08,129101.0,Bath & Shower Grab Bars
42,2020-08-09,129101.0,Bath & Shower Grab Bars
43,2020-08-10,129101.0,Bath & Shower Grab Bars
44,2020-08-11,129101.0,Bath & Shower Grab Bars
45,2020-08-12,129101.0,Bath & Shower Grab Bars
46,2020-08-13,129101.0,Bath & Shower Grab Bars
47,2020-08-14,152207.0,Bath & Shower Grab Bars
48,2020-08-15,152207.0,Bath & Shower Grab Bars
49,2020-08-16,152207.0,Bath & Shower Grab Bars
50,2020-08-17,152207.0,Bath & Shower Grab Bars
51,2020-08-18,152207.0,Bath & Shower Grab Bars
52,2020-08-19,152207.0,Bath & Shower Grab Bars
53,2020-08-20,152207.0,Bath & Shower Grab Bars
54,2020-08-21,152207.0,Bath & Shower Grab Bars
55,2020-08-22,152207.0,Bath & Shower Grab Bars
56,2020-08-23,152207.0,Bath & Shower Grab Bars
57,2020-08-24,152207.0,Bath & Shower Grab Bars
58,2020-08-25,152207.0,Bath & Shower Grab Bars
59,2020-08-26,152207.0,Bath & Shower Grab Bars
60,2020-08-27,152207.0,Bath & Shower Grab Bars
61,2020-08-28,152207.0,Bath & Shower Grab Bars
62,2020-08-29,152207.0,Bath & Shower Grab Bars
63,2020-08-30,152207.0,Bath & Shower Grab Bars
64,2020-08-31,38644.0,Bath & Shower Grab Bars
65,2020-09-01,38644.0,Bath & Shower Grab Bars
66,2020-09-02,38644.0,Bath & Shower Grab Bars
67,2020-09-03,38644.0,Bath & Shower Grab Bars
68,2020-09-04,38644.0,Bath & Shower Grab Bars
69,2020-09-05,38644.0,Bath & Shower Grab Bars
70,2020-09-06,36141.0,Bath & Shower Grab Bars
71,2020-09-07,36141.0,Bath & Shower Grab Bars
72,2020-09-08,36141.0,Bath & Shower Grab Bars
73,2020-09-09,28330.0,Bath & Shower Grab Bars
