,date,value,name_B07NZWRYTX
0,2019-02-28,222373.0,Fertilizers & Plant Food
1,2019-03-01,222373.0,Fertilizers & Plant Food
2,2019-03-02,248100.0,Fertilizers & Plant Food
3,2019-03-03,248100.0,Fertilizers & Plant Food
4,2019-03-04,248100.0,Fertilizers & Plant Food
5,2019-03-05,248100.0,Fertilizers & Plant Food
6,2019-03-06,290729.0,Fertilizers & Plant Food
7,2019-03-07,301668.0,Fertilizers & Plant Food
8,2019-03-08,301668.0,Fertilizers & Plant Food
9,2019-03-09,301668.0,Fertilizers & Plant Food
10,2019-03-10,301668.0,Fertilizers & Plant Food
11,2019-03-11,337006.0,Fertilizers & Plant Food
12,2019-03-12,67758.0,Fertilizers & Plant Food
13,2019-03-13,114654.0,Fertilizers & Plant Food
14,2019-03-14,114654.0,Fertilizers & Plant Food
15,2019-03-15,114654.0,Fertilizers & Plant Food
16,2019-03-16,114654.0,Fertilizers & Plant Food
17,2019-03-17,227885.0,Fertilizers & Plant Food
18,2019-03-18,227885.0,Fertilizers & Plant Food
19,2019-03-19,270802.0,Fertilizers & Plant Food
20,2019-03-20,280732.0,Fertilizers & Plant Food
21,2019-03-21,280732.0,Fertilizers & Plant Food
22,2019-03-22,280732.0,Fertilizers & Plant Food
23,2019-03-23,80900.0,Fertilizers & Plant Food
24,2019-03-24,130318.0,Fertilizers & Plant Food
25,2019-03-25,156111.0,Fertilizers & Plant Food
26,2019-03-26,156111.0,Fertilizers & Plant Food
27,2019-03-27,156111.0,Fertilizers & Plant Food
28,2019-03-28,156111.0,Fertilizers & Plant Food
29,2019-03-29,265205.0,Fertilizers & Plant Food
30,2019-03-30,276759.0,Fertilizers & Plant Food
31,2019-03-31,276759.0,Fertilizers & Plant Food
32,2019-04-01,276759.0,Fertilizers & Plant Food
33,2019-04-02,276759.0,Fertilizers & Plant Food
34,2019-04-03,116373.0,Fertilizers & Plant Food
35,2019-04-04,116373.0,Fertilizers & Plant Food
36,2019-04-05,116373.0,Fertilizers & Plant Food
37,2019-04-06,116373.0,Fertilizers & Plant Food
38,2019-04-07,116373.0,Fertilizers & Plant Food
39,2019-04-08,245243.0,Fertilizers & Plant Food
40,2019-04-09,245243.0,Fertilizers & Plant Food
41,2019-04-10,270926.0,Fertilizers & Plant Food
