,date,value,name_B00WX4GAR8
0,2018-07-10,40634.0,Soil Test Kits
1,2018-07-11,45046.0,Soil Test Kits
2,2018-07-12,59180.0,Soil Test Kits
3,2018-07-13,59180.0,Soil Test Kits
4,2018-07-14,25787.0,Soil Test Kits
5,2018-07-15,42306.0,Soil Test Kits
6,2018-07-16,49749.0,Soil Test Kits
7,2018-07-17,24563.0,Soil Test Kits
8,2018-07-18,18338.0,Soil Test Kits
9,2018-07-19,33446.0,Soil Test Kits
10,2018-07-20,45287.0,Soil Test Kits
11,2018-07-21,31613.0,Soil Test Kits
12,2018-07-22,42582.0,Soil Test Kits
13,2018-07-23,57501.0,Soil Test Kits
14,2018-07-24,67080.0,Soil Test Kits
15,2018-07-25,21648.0,Soil Test Kits
16,2018-07-26,31922.0,Soil Test Kits
17,2018-07-27,18113.0,Soil Test Kits
18,2018-07-28,34356.0,Soil Test Kits
19,2018-07-29,27805.0,Soil Test Kits
20,2018-07-30,21301.0,Soil Test Kits
21,2018-07-31,22645.0,Soil Test Kits
22,2018-08-01,33048.0,Soil Test Kits
23,2018-08-02,18802.0,Soil Test Kits
24,2018-08-03,31443.0,Soil Test Kits
25,2018-08-04,48113.0,Soil Test Kits
26,2018-08-05,34231.0,Soil Test Kits
27,2018-08-06,33510.0,Soil Test Kits
28,2018-08-07,33510.0,Soil Test Kits
29,2018-08-08,21325.0,Soil Test Kits
30,2018-08-09,26344.0,Soil Test Kits
31,2018-08-10,42893.0,Soil Test Kits
32,2018-08-11,26143.0,Soil Test Kits
33,2018-08-12,31154.0,Soil Test Kits
34,2018-08-13,30881.0,Soil Test Kits
35,2018-08-14,22795.0,Soil Test Kits
36,2018-08-15,22153.0,Soil Test Kits
37,2018-08-16,27378.0,Soil Test Kits
38,2018-08-17,29500.0,Soil Test Kits
39,2018-08-18,29500.0,Soil Test Kits
40,2018-08-19,21492.0,Soil Test Kits
41,2018-08-20,28122.0,Soil Test Kits
42,2018-08-21,34914.0,Soil Test Kits
43,2018-08-22,44398.0,Soil Test Kits
44,2018-08-23,22592.0,Soil Test Kits
45,2018-08-24,17945.0,Soil Test Kits
46,2018-08-25,17945.0,Soil Test Kits
47,2018-08-26,21926.0,Soil Test Kits
48,2018-08-27,20095.0,Soil Test Kits
49,2018-08-28,14461.0,Soil Test Kits
50,2018-08-29,24190.0,Soil Test Kits
51,2018-08-30,16590.0,Soil Test Kits
52,2018-08-31,20200.0,Soil Test Kits
53,2018-09-01,20200.0,Soil Test Kits
54,2018-09-02,32345.0,Soil Test Kits
55,2018-09-03,33780.0,Soil Test Kits
56,2018-09-04,28107.0,Soil Test Kits
57,2018-09-05,38914.0,Soil Test Kits
58,2018-09-06,38914.0,Soil Test Kits
