,date,value,name_B072P6ZWTG
0,2020-05-25,6648.0,Food
1,2020-05-26,6648.0,Food
2,2020-05-27,6648.0,Food
3,2020-05-28,7584.0,Food
4,2020-05-29,7584.0,Food
5,2020-05-30,7584.0,Food
6,2020-05-31,7584.0,Food
7,2020-06-01,8119.0,Food
8,2020-06-02,8119.0,Food
9,2020-06-03,8119.0,Food
10,2020-06-04,8658.0,Food
11,2020-06-05,8658.0,Food
12,2020-06-06,8658.0,Food
13,2020-06-07,8124.0,Food
14,2020-06-08,8124.0,Food
15,2020-06-09,8124.0,Food
16,2020-06-10,7441.0,Food
17,2020-06-11,7441.0,Food
18,2020-06-12,7441.0,Food
19,2020-06-13,7441.0,Food
20,2020-06-14,7772.0,Food
21,2020-06-15,7772.0,Food
22,2020-06-16,7772.0,Food
23,2020-06-17,7772.0,Food
24,2020-06-18,9225.0,Food
25,2020-06-19,9225.0,Food
26,2020-06-20,9225.0,Food
27,2020-06-21,9139.0,Food
28,2020-06-22,9139.0,Food
29,2020-06-23,9139.0,Food
30,2020-06-24,5668.0,Food
31,2020-06-25,5668.0,Food
32,2020-06-26,5668.0,Food
33,2020-06-27,8463.0,Food
34,2020-06-28,8463.0,Food
35,2020-06-29,8463.0,Food
36,2020-06-30,8463.0,Food
37,2020-07-01,6767.0,Food
38,2020-07-02,6767.0,Food
39,2020-07-03,6767.0,Food
40,2020-07-04,5404.0,Food
41,2020-07-05,5404.0,Food
42,2020-07-06,5404.0,Food
43,2020-07-07,6357.0,Food
44,2020-07-08,6357.0,Food
45,2020-07-09,6357.0,Food
46,2020-07-10,6357.0,Food
47,2020-07-11,7803.0,Food
48,2020-07-12,7803.0,Food
49,2020-07-13,7803.0,Food
50,2020-07-14,7803.0,Food
51,2020-07-15,7071.0,Food
52,2020-07-16,7071.0,Food
53,2020-07-17,7258.0,Food
54,2020-07-18,7258.0,Food
55,2020-07-19,7258.0,Food
56,2020-07-20,7409.0,Food
57,2020-07-21,7409.0,Food
58,2020-07-22,7409.0,Food
59,2020-07-23,6918.0,Food
