,date,value,name_B094FLSWSX
0,2021-05-16,4321.0,Balloons
1,2021-05-17,4321.0,Balloons
2,2021-05-18,3002.0,Balloons
3,2021-05-19,3002.0,Balloons
4,2021-05-20,2392.0,Balloons
5,2021-05-21,1758.0,Balloons
6,2021-05-22,2264.0,Balloons
7,2021-05-23,2264.0,Balloons
8,2021-05-24,2264.0,Balloons
9,2021-05-25,2152.0,Balloons
10,2021-05-26,2854.0,Balloons
11,2021-05-27,2854.0,Balloons
12,2021-05-28,3455.0,Balloons
13,2021-05-29,3455.0,Balloons
14,2021-05-30,4778.0,Balloons
15,2021-05-31,4778.0,Balloons
16,2021-06-01,4778.0,Balloons
17,2021-06-02,4871.0,Balloons
18,2021-06-03,4871.0,Balloons
19,2021-06-04,4046.0,Balloons
20,2021-06-05,4046.0,Balloons
21,2021-06-06,5904.0,Balloons
22,2021-06-07,3726.0,Balloons
23,2021-06-08,4229.0,Balloons
24,2021-06-09,4380.0,Balloons
25,2021-06-10,4380.0,Balloons
26,2021-06-11,4380.0,Balloons
27,2021-06-12,6799.0,Balloons
28,2021-06-13,6799.0,Balloons
29,2021-06-14,9719.0,Balloons
30,2021-06-15,9719.0,Balloons
31,2021-06-16,9719.0,Balloons
32,2021-06-17,5720.0,Balloons
33,2021-06-18,5720.0,Balloons
34,2021-06-19,3865.0,Balloons
35,2021-06-20,4207.0,Balloons
36,2021-06-21,4170.0,Balloons
37,2021-06-22,6071.0,Balloons
38,2021-06-23,6071.0,Balloons
39,2021-06-24,2879.0,Balloons
40,2021-06-25,2879.0,Balloons
41,2021-06-26,1937.0,Balloons
42,2021-06-27,1937.0,Balloons
43,2021-06-28,2702.0,Balloons
44,2021-06-29,2553.0,Balloons
45,2021-06-30,2553.0,Balloons
46,2021-07-01,2499.0,Balloons
47,2021-07-02,2499.0,Balloons
48,2021-07-03,2476.0,Balloons
49,2021-07-04,3280.0,Balloons
50,2021-07-05,4133.0,Balloons
51,2021-07-06,4301.0,Balloons
52,2021-07-07,3551.0,Balloons
53,2021-07-08,3551.0,Balloons
54,2021-07-09,2826.0,Balloons
55,2021-07-10,2900.0,Balloons
