,date,value,name_B0956YMK33
0,2021-05-28,1000.0,Traps
1,2021-05-29,1000.0,Traps
2,2021-05-30,1103.0,Traps
3,2021-05-31,1103.0,Traps
4,2021-06-01,1056.0,Traps
5,2021-06-02,1234.0,Traps
6,2021-06-03,1234.0,Traps
7,2021-06-04,1061.0,Traps
8,2021-06-05,1119.0,Traps
9,2021-06-06,1119.0,Traps
10,2021-06-07,1119.0,Traps
11,2021-06-08,1304.0,Traps
12,2021-06-09,1217.0,Traps
13,2021-06-10,1130.0,Traps
14,2021-06-11,882.0,Traps
15,2021-06-12,882.0,Traps
16,2021-06-13,1103.0,Traps
17,2021-06-14,1103.0,Traps
18,2021-06-15,757.0,Traps
19,2021-06-16,863.0,Traps
20,2021-06-17,907.0,Traps
21,2021-06-18,788.0,Traps
22,2021-06-19,762.0,Traps
23,2021-06-20,762.0,Traps
24,2021-06-21,858.0,Traps
25,2021-06-22,814.0,Traps
26,2021-06-23,814.0,Traps
27,2021-06-24,663.0,Traps
28,2021-06-25,743.0,Traps
29,2021-06-26,743.0,Traps
30,2021-06-27,721.0,Traps
31,2021-06-28,790.0,Traps
32,2021-06-29,790.0,Traps
33,2021-06-30,852.0,Traps
34,2021-07-01,852.0,Traps
35,2021-07-02,673.0,Traps
36,2021-07-03,673.0,Traps
37,2021-07-04,804.0,Traps
38,2021-07-05,804.0,Traps
39,2021-07-06,873.0,Traps
40,2021-07-07,758.0,Traps
41,2021-07-08,713.0,Traps
42,2021-07-09,715.0,Traps
