,date,value,name_B08K8XXY9L
0,2020-10-23,5328.0,Screen Expanders & Magnifiers
1,2020-10-24,5328.0,Screen Expanders & Magnifiers
2,2020-10-25,3597.0,Screen Expanders & Magnifiers
3,2020-10-26,2600.0,Screen Expanders & Magnifiers
4,2020-10-27,2600.0,Screen Expanders & Magnifiers
5,2020-10-28,2600.0,Screen Expanders & Magnifiers
6,2020-10-29,9856.0,Screen Expanders & Magnifiers
7,2020-10-30,9856.0,Screen Expanders & Magnifiers
8,2020-10-31,5492.0,Screen Expanders & Magnifiers
9,2020-11-01,5492.0,Screen Expanders & Magnifiers
10,2020-11-02,5492.0,Screen Expanders & Magnifiers
11,2020-11-03,4396.0,Screen Expanders & Magnifiers
12,2020-11-04,4396.0,Screen Expanders & Magnifiers
13,2020-11-05,4396.0,Screen Expanders & Magnifiers
14,2020-11-06,7423.0,Screen Expanders & Magnifiers
15,2020-11-07,6474.0,Screen Expanders & Magnifiers
16,2020-11-08,6474.0,Screen Expanders & Magnifiers
17,2020-11-09,2265.0,Screen Expanders & Magnifiers
18,2020-11-10,2265.0,Screen Expanders & Magnifiers
19,2020-11-11,2265.0,Screen Expanders & Magnifiers
20,2020-11-12,6224.0,Screen Expanders & Magnifiers
21,2020-11-13,6224.0,Screen Expanders & Magnifiers
22,2020-11-14,6224.0,Screen Expanders & Magnifiers
23,2020-11-15,6224.0,Screen Expanders & Magnifiers
24,2020-11-16,3714.0,Screen Expanders & Magnifiers
25,2020-11-17,3714.0,Screen Expanders & Magnifiers
26,2020-11-18,1995.0,Screen Expanders & Magnifiers
27,2020-11-19,2601.0,Screen Expanders & Magnifiers
28,2020-11-20,2601.0,Screen Expanders & Magnifiers
29,2020-11-21,3352.0,Screen Expanders & Magnifiers
30,2020-11-22,3352.0,Screen Expanders & Magnifiers
31,2020-11-23,3352.0,Screen Expanders & Magnifiers
32,2020-11-24,3127.0,Screen Expanders & Magnifiers
33,2020-11-25,3127.0,Screen Expanders & Magnifiers
34,2020-11-26,2135.0,Screen Expanders & Magnifiers
35,2020-11-27,1316.0,Screen Expanders & Magnifiers
36,2020-11-28,1316.0,Screen Expanders & Magnifiers
37,2020-11-29,1053.0,Screen Expanders & Magnifiers
38,2020-11-30,891.0,Screen Expanders & Magnifiers
39,2020-12-01,891.0,Screen Expanders & Magnifiers
40,2020-12-02,2424.0,Screen Expanders & Magnifiers
41,2020-12-03,2510.0,Screen Expanders & Magnifiers
42,2020-12-04,2634.0,Screen Expanders & Magnifiers
43,2020-12-05,2065.0,Screen Expanders & Magnifiers
44,2020-12-06,2424.0,Screen Expanders & Magnifiers
45,2020-12-07,2103.0,Screen Expanders & Magnifiers
46,2020-12-08,1384.0,Screen Expanders & Magnifiers
47,2020-12-09,1563.0,Screen Expanders & Magnifiers
48,2020-12-10,1563.0,Screen Expanders & Magnifiers
49,2020-12-11,1763.0,Screen Expanders & Magnifiers
50,2020-12-12,944.0,Screen Expanders & Magnifiers
51,2020-12-13,1222.0,Screen Expanders & Magnifiers
52,2020-12-14,924.0,Screen Expanders & Magnifiers
53,2020-12-15,1147.0,Screen Expanders & Magnifiers
54,2020-12-16,1147.0,Screen Expanders & Magnifiers
55,2020-12-17,924.0,Screen Expanders & Magnifiers
56,2020-12-18,924.0,Screen Expanders & Magnifiers
57,2020-12-19,1183.0,Screen Expanders & Magnifiers
58,2020-12-20,1183.0,Screen Expanders & Magnifiers
59,2020-12-21,1183.0,Screen Expanders & Magnifiers
60,2020-12-22,2311.0,Screen Expanders & Magnifiers
61,2020-12-23,2392.0,Screen Expanders & Magnifiers
62,2020-12-24,2276.0,Screen Expanders & Magnifiers
63,2020-12-25,2692.0,Screen Expanders & Magnifiers
64,2020-12-26,2692.0,Screen Expanders & Magnifiers
65,2020-12-27,2692.0,Screen Expanders & Magnifiers
66,2020-12-28,2692.0,Screen Expanders & Magnifiers
67,2020-12-29,3179.0,Screen Expanders & Magnifiers
68,2020-12-30,3338.0,Screen Expanders & Magnifiers
69,2020-12-31,3338.0,Screen Expanders & Magnifiers
70,2021-01-01,2163.0,Screen Expanders & Magnifiers
71,2021-01-02,2163.0,Screen Expanders & Magnifiers
72,2021-01-03,2346.0,Screen Expanders & Magnifiers
73,2021-01-04,1948.0,Screen Expanders & Magnifiers
74,2021-01-05,1948.0,Screen Expanders & Magnifiers
75,2021-01-06,1948.0,Screen Expanders & Magnifiers
76,2021-01-07,1948.0,Screen Expanders & Magnifiers
77,2021-01-08,2739.0,Screen Expanders & Magnifiers
78,2021-01-09,2739.0,Screen Expanders & Magnifiers
79,2021-01-10,2739.0,Screen Expanders & Magnifiers
80,2021-01-11,3349.0,Screen Expanders & Magnifiers
81,2021-01-12,3361.0,Screen Expanders & Magnifiers
82,2021-01-13,3361.0,Screen Expanders & Magnifiers
83,2021-01-14,3230.0,Screen Expanders & Magnifiers
84,2021-01-15,3230.0,Screen Expanders & Magnifiers
85,2021-01-16,3650.0,Screen Expanders & Magnifiers
86,2021-01-17,3650.0,Screen Expanders & Magnifiers
87,2021-01-18,3650.0,Screen Expanders & Magnifiers
88,2021-01-19,4114.0,Screen Expanders & Magnifiers
89,2021-01-20,4435.0,Screen Expanders & Magnifiers
90,2021-01-21,4435.0,Screen Expanders & Magnifiers
91,2021-01-22,4435.0,Screen Expanders & Magnifiers
92,2021-01-23,4519.0,Screen Expanders & Magnifiers
93,2021-01-24,2456.0,Screen Expanders & Magnifiers
94,2021-01-25,2238.0,Screen Expanders & Magnifiers
95,2021-01-26,2781.0,Screen Expanders & Magnifiers
96,2021-01-27,2781.0,Screen Expanders & Magnifiers
97,2021-01-28,3885.0,Screen Expanders & Magnifiers
98,2021-01-29,3885.0,Screen Expanders & Magnifiers
99,2021-01-30,3885.0,Screen Expanders & Magnifiers
100,2021-01-31,3885.0,Screen Expanders & Magnifiers
101,2021-02-01,3885.0,Screen Expanders & Magnifiers
102,2021-02-02,4201.0,Screen Expanders & Magnifiers
103,2021-02-03,4201.0,Screen Expanders & Magnifiers
104,2021-02-04,4201.0,Screen Expanders & Magnifiers
105,2021-02-05,3752.0,Screen Expanders & Magnifiers
106,2021-02-06,3752.0,Screen Expanders & Magnifiers
107,2021-02-07,3752.0,Screen Expanders & Magnifiers
108,2021-02-08,3752.0,Screen Expanders & Magnifiers
109,2021-02-09,3185.0,Screen Expanders & Magnifiers
110,2021-02-10,2790.0,Screen Expanders & Magnifiers
111,2021-02-11,2790.0,Screen Expanders & Magnifiers
112,2021-02-12,2552.0,Screen Expanders & Magnifiers
113,2021-02-13,2552.0,Screen Expanders & Magnifiers
114,2021-02-14,2552.0,Screen Expanders & Magnifiers
115,2021-02-15,2552.0,Screen Expanders & Magnifiers
116,2021-02-16,2706.0,Screen Expanders & Magnifiers
117,2021-02-17,2706.0,Screen Expanders & Magnifiers
118,2021-02-18,2706.0,Screen Expanders & Magnifiers
119,2021-02-19,2628.0,Screen Expanders & Magnifiers
120,2021-02-20,2628.0,Screen Expanders & Magnifiers
121,2021-02-21,2628.0,Screen Expanders & Magnifiers
122,2021-02-22,4226.0,Screen Expanders & Magnifiers
123,2021-02-23,4710.0,Screen Expanders & Magnifiers
124,2021-02-24,4710.0,Screen Expanders & Magnifiers
125,2021-02-25,4710.0,Screen Expanders & Magnifiers
126,2021-02-26,3505.0,Screen Expanders & Magnifiers
127,2021-02-27,3505.0,Screen Expanders & Magnifiers
128,2021-02-28,3505.0,Screen Expanders & Magnifiers
129,2021-03-01,3505.0,Screen Expanders & Magnifiers
130,2021-03-02,3457.0,Screen Expanders & Magnifiers
131,2021-03-03,3457.0,Screen Expanders & Magnifiers
132,2021-03-04,3923.0,Screen Expanders & Magnifiers
133,2021-03-05,3725.0,Screen Expanders & Magnifiers
134,2021-03-06,3725.0,Screen Expanders & Magnifiers
135,2021-03-07,4024.0,Screen Expanders & Magnifiers
136,2021-03-08,3895.0,Screen Expanders & Magnifiers
137,2021-03-09,3895.0,Screen Expanders & Magnifiers
138,2021-03-10,3895.0,Screen Expanders & Magnifiers
139,2021-03-11,5458.0,Screen Expanders & Magnifiers
140,2021-03-12,5458.0,Screen Expanders & Magnifiers
141,2021-03-13,5458.0,Screen Expanders & Magnifiers
142,2021-03-14,5458.0,Screen Expanders & Magnifiers
143,2021-03-15,5458.0,Screen Expanders & Magnifiers
144,2021-03-16,8143.0,Screen Expanders & Magnifiers
145,2021-03-17,5784.0,Screen Expanders & Magnifiers
146,2021-03-18,5784.0,Screen Expanders & Magnifiers
147,2021-03-19,5784.0,Screen Expanders & Magnifiers
148,2021-03-20,5784.0,Screen Expanders & Magnifiers
149,2021-03-21,4918.0,Screen Expanders & Magnifiers
150,2021-03-22,4918.0,Screen Expanders & Magnifiers
151,2021-03-23,4918.0,Screen Expanders & Magnifiers
152,2021-03-24,4918.0,Screen Expanders & Magnifiers
153,2021-03-25,4918.0,Screen Expanders & Magnifiers
154,2021-03-26,5898.0,Screen Expanders & Magnifiers
155,2021-03-27,5898.0,Screen Expanders & Magnifiers
156,2021-03-28,5898.0,Screen Expanders & Magnifiers
157,2021-03-29,5898.0,Screen Expanders & Magnifiers
158,2021-03-30,4773.0,Screen Expanders & Magnifiers
159,2021-03-31,4773.0,Screen Expanders & Magnifiers
160,2021-04-01,4773.0,Screen Expanders & Magnifiers
161,2021-04-02,4773.0,Screen Expanders & Magnifiers
162,2021-04-03,4773.0,Screen Expanders & Magnifiers
163,2021-04-04,4773.0,Screen Expanders & Magnifiers
164,2021-04-05,5399.0,Screen Expanders & Magnifiers
165,2021-04-06,5399.0,Screen Expanders & Magnifiers
166,2021-04-07,5399.0,Screen Expanders & Magnifiers
167,2021-04-08,5399.0,Screen Expanders & Magnifiers
168,2021-04-09,5399.0,Screen Expanders & Magnifiers
169,2021-04-10,5399.0,Screen Expanders & Magnifiers
170,2021-04-11,6563.0,Screen Expanders & Magnifiers
171,2021-04-12,6563.0,Screen Expanders & Magnifiers
172,2021-04-13,5976.0,Screen Expanders & Magnifiers
173,2021-04-14,5976.0,Screen Expanders & Magnifiers
174,2021-04-15,5976.0,Screen Expanders & Magnifiers
175,2021-04-16,5976.0,Screen Expanders & Magnifiers
176,2021-04-17,5976.0,Screen Expanders & Magnifiers
177,2021-04-18,5976.0,Screen Expanders & Magnifiers
178,2021-04-19,5047.0,Screen Expanders & Magnifiers
179,2021-04-20,5047.0,Screen Expanders & Magnifiers
180,2021-04-21,3674.0,Screen Expanders & Magnifiers
181,2021-04-22,3674.0,Screen Expanders & Magnifiers
182,2021-04-23,3674.0,Screen Expanders & Magnifiers
183,2021-04-24,3674.0,Screen Expanders & Magnifiers
184,2021-04-25,3674.0,Screen Expanders & Magnifiers
185,2021-04-26,3674.0,Screen Expanders & Magnifiers
186,2021-04-27,3123.0,Screen Expanders & Magnifiers
187,2021-04-28,3123.0,Screen Expanders & Magnifiers
188,2021-04-29,3123.0,Screen Expanders & Magnifiers
189,2021-04-30,3123.0,Screen Expanders & Magnifiers
190,2021-05-01,3123.0,Screen Expanders & Magnifiers
191,2021-05-02,18675.0,Screen Expanders & Magnifiers
192,2021-05-03,18675.0,Screen Expanders & Magnifiers
193,2021-05-04,18675.0,Screen Expanders & Magnifiers
194,2021-05-05,33606.0,Screen Expanders & Magnifiers
195,2021-05-06,33606.0,Screen Expanders & Magnifiers
196,2021-05-07,37243.0,Screen Expanders & Magnifiers
197,2021-05-08,37243.0,Screen Expanders & Magnifiers
198,2021-05-09,37243.0,Screen Expanders & Magnifiers
199,2021-05-10,37243.0,Screen Expanders & Magnifiers
200,2021-05-11,37243.0,Screen Expanders & Magnifiers
201,2021-05-12,3132.0,Screen Expanders & Magnifiers
202,2021-05-13,3132.0,Screen Expanders & Magnifiers
203,2021-05-14,3132.0,Screen Expanders & Magnifiers
204,2021-05-15,3132.0,Screen Expanders & Magnifiers
205,2021-05-16,3949.0,Screen Expanders & Magnifiers
206,2021-05-17,3949.0,Screen Expanders & Magnifiers
207,2021-05-18,3880.0,Screen Expanders & Magnifiers
208,2021-05-19,3880.0,Screen Expanders & Magnifiers
209,2021-05-20,4956.0,Screen Expanders & Magnifiers
210,2021-05-21,4956.0,Screen Expanders & Magnifiers
211,2021-05-22,4956.0,Screen Expanders & Magnifiers
212,2021-05-23,4956.0,Screen Expanders & Magnifiers
213,2021-05-24,4956.0,Screen Expanders & Magnifiers
214,2021-05-25,4956.0,Screen Expanders & Magnifiers
215,2021-05-26,5431.0,Screen Expanders & Magnifiers
216,2021-05-27,5431.0,Screen Expanders & Magnifiers
217,2021-05-28,5431.0,Screen Expanders & Magnifiers
218,2021-05-29,3684.0,Screen Expanders & Magnifiers
219,2021-05-30,4207.0,Screen Expanders & Magnifiers
220,2021-05-31,4207.0,Screen Expanders & Magnifiers
221,2021-06-01,4207.0,Screen Expanders & Magnifiers
222,2021-06-02,4207.0,Screen Expanders & Magnifiers
223,2021-06-03,4741.0,Screen Expanders & Magnifiers
224,2021-06-04,4741.0,Screen Expanders & Magnifiers
225,2021-06-05,4741.0,Screen Expanders & Magnifiers
226,2021-06-06,3660.0,Screen Expanders & Magnifiers
227,2021-06-07,3660.0,Screen Expanders & Magnifiers
228,2021-06-08,3660.0,Screen Expanders & Magnifiers
229,2021-06-09,3660.0,Screen Expanders & Magnifiers
230,2021-06-10,3660.0,Screen Expanders & Magnifiers
231,2021-06-11,3888.0,Screen Expanders & Magnifiers
232,2021-06-12,3888.0,Screen Expanders & Magnifiers
233,2021-06-13,3888.0,Screen Expanders & Magnifiers
234,2021-06-14,3888.0,Screen Expanders & Magnifiers
235,2021-06-15,2777.0,Screen Expanders & Magnifiers
236,2021-06-16,2777.0,Screen Expanders & Magnifiers
237,2021-06-17,2777.0,Screen Expanders & Magnifiers
238,2021-06-18,3153.0,Screen Expanders & Magnifiers
239,2021-06-19,3153.0,Screen Expanders & Magnifiers
240,2021-06-20,3153.0,Screen Expanders & Magnifiers
241,2021-06-21,2467.0,Screen Expanders & Magnifiers
242,2021-06-22,2467.0,Screen Expanders & Magnifiers
243,2021-06-23,4974.0,Screen Expanders & Magnifiers
244,2021-06-24,4974.0,Screen Expanders & Magnifiers
245,2021-06-25,6193.0,Screen Expanders & Magnifiers
246,2021-06-26,5729.0,Screen Expanders & Magnifiers
247,2021-06-27,5729.0,Screen Expanders & Magnifiers
248,2021-06-28,5729.0,Screen Expanders & Magnifiers
249,2021-06-29,3935.0,Screen Expanders & Magnifiers
250,2021-06-30,3935.0,Screen Expanders & Magnifiers
251,2021-07-01,3935.0,Screen Expanders & Magnifiers
252,2021-07-02,3935.0,Screen Expanders & Magnifiers
253,2021-07-03,3935.0,Screen Expanders & Magnifiers
254,2021-07-04,3935.0,Screen Expanders & Magnifiers
255,2021-07-05,1920.0,Screen Expanders & Magnifiers
256,2021-07-06,1920.0,Screen Expanders & Magnifiers
257,2021-07-07,1920.0,Screen Expanders & Magnifiers
258,2021-07-08,1920.0,Screen Expanders & Magnifiers
259,2021-07-09,4773.0,Screen Expanders & Magnifiers
260,2021-07-10,3738.0,Screen Expanders & Magnifiers
