,date,value,name_B08GFJWLTX
0,2020-10-24,51399.0,Decorative Pillows
1,2020-10-25,51399.0,Decorative Pillows
2,2020-10-26,38309.0,Decorative Pillows
3,2020-10-27,38309.0,Decorative Pillows
4,2020-10-28,38309.0,Decorative Pillows
5,2020-10-29,38839.0,Decorative Pillows
6,2020-10-30,38839.0,Decorative Pillows
7,2020-10-31,38839.0,Decorative Pillows
8,2020-11-01,38839.0,Decorative Pillows
9,2020-11-02,23212.0,Decorative Pillows
10,2020-11-03,23212.0,Decorative Pillows
11,2020-11-04,23212.0,Decorative Pillows
12,2020-11-05,16838.0,Decorative Pillows
13,2020-11-06,16838.0,Decorative Pillows
14,2020-11-07,16838.0,Decorative Pillows
15,2020-11-08,16838.0,Decorative Pillows
16,2020-11-09,18769.0,Decorative Pillows
17,2020-11-10,18769.0,Decorative Pillows
18,2020-11-11,14944.0,Decorative Pillows
19,2020-11-12,14944.0,Decorative Pillows
20,2020-11-13,14944.0,Decorative Pillows
21,2020-11-14,14944.0,Decorative Pillows
22,2020-11-15,14944.0,Decorative Pillows
23,2020-11-16,13901.0,Decorative Pillows
24,2020-11-17,13901.0,Decorative Pillows
25,2020-11-18,13901.0,Decorative Pillows
26,2020-11-19,10511.0,Decorative Pillows
27,2020-11-20,10511.0,Decorative Pillows
28,2020-11-21,10511.0,Decorative Pillows
29,2020-11-22,10511.0,Decorative Pillows
30,2020-11-23,3605.0,Decorative Pillows
31,2020-11-24,3605.0,Decorative Pillows
32,2020-11-25,3605.0,Decorative Pillows
33,2020-11-26,5577.0,Decorative Pillows
34,2020-11-27,5577.0,Decorative Pillows
35,2020-11-28,5577.0,Decorative Pillows
36,2020-11-29,5577.0,Decorative Pillows
37,2020-11-30,2299.0,Decorative Pillows
38,2020-12-01,3543.0,Decorative Pillows
39,2020-12-02,3543.0,Decorative Pillows
40,2020-12-03,3543.0,Decorative Pillows
41,2020-12-04,3980.0,Decorative Pillows
42,2020-12-05,3980.0,Decorative Pillows
43,2020-12-06,3980.0,Decorative Pillows
44,2020-12-07,5646.0,Decorative Pillows
45,2020-12-08,7560.0,Decorative Pillows
46,2020-12-09,5624.0,Decorative Pillows
47,2020-12-10,5576.0,Decorative Pillows
48,2020-12-11,6698.0,Decorative Pillows
49,2020-12-12,5637.0,Decorative Pillows
50,2020-12-13,9168.0,Decorative Pillows
51,2020-12-14,9338.0,Decorative Pillows
52,2020-12-15,9773.0,Decorative Pillows
53,2020-12-16,6963.0,Decorative Pillows
54,2020-12-17,12664.0,Decorative Pillows
55,2020-12-18,7197.0,Decorative Pillows
56,2020-12-19,7197.0,Decorative Pillows
57,2020-12-20,16370.0,Decorative Pillows
58,2020-12-21,16011.0,Decorative Pillows
59,2020-12-22,16011.0,Decorative Pillows
60,2020-12-23,12387.0,Decorative Pillows
61,2020-12-24,13005.0,Decorative Pillows
62,2020-12-25,21280.0,Decorative Pillows
63,2020-12-26,22525.0,Decorative Pillows
64,2020-12-27,18683.0,Decorative Pillows
65,2020-12-28,12026.0,Decorative Pillows
66,2020-12-29,12003.0,Decorative Pillows
67,2020-12-30,7657.0,Decorative Pillows
68,2020-12-31,7965.0,Decorative Pillows
69,2021-01-01,11216.0,Decorative Pillows
70,2021-01-02,13352.0,Decorative Pillows
71,2021-01-03,12100.0,Decorative Pillows
72,2021-01-04,12390.0,Decorative Pillows
73,2021-01-05,8957.0,Decorative Pillows
74,2021-01-06,11283.0,Decorative Pillows
75,2021-01-07,10878.0,Decorative Pillows
76,2021-01-08,12230.0,Decorative Pillows
77,2021-01-09,13271.0,Decorative Pillows
78,2021-01-10,13271.0,Decorative Pillows
79,2021-01-11,13271.0,Decorative Pillows
80,2021-01-12,13271.0,Decorative Pillows
81,2021-01-13,13271.0,Decorative Pillows
82,2021-01-14,14371.0,Decorative Pillows
83,2021-01-15,14371.0,Decorative Pillows
84,2021-01-16,14371.0,Decorative Pillows
85,2021-01-17,14371.0,Decorative Pillows
86,2021-01-18,14371.0,Decorative Pillows
87,2021-01-19,14371.0,Decorative Pillows
88,2021-01-20,35352.0,Decorative Pillows
89,2021-01-21,35352.0,Decorative Pillows
90,2021-01-22,37130.0,Decorative Pillows
91,2021-01-23,37130.0,Decorative Pillows
92,2021-01-24,37130.0,Decorative Pillows
93,2021-01-25,37130.0,Decorative Pillows
94,2021-01-26,37130.0,Decorative Pillows
95,2021-01-27,37130.0,Decorative Pillows
96,2021-01-28,37130.0,Decorative Pillows
97,2021-01-29,37130.0,Decorative Pillows
98,2021-01-30,27675.0,Decorative Pillows
99,2021-01-31,27675.0,Decorative Pillows
100,2021-02-01,27675.0,Decorative Pillows
101,2021-02-02,27675.0,Decorative Pillows
102,2021-02-03,10197.0,Decorative Pillows
103,2021-02-04,10197.0,Decorative Pillows
104,2021-02-05,10197.0,Decorative Pillows
105,2021-02-06,10197.0,Decorative Pillows
106,2021-02-07,10197.0,Decorative Pillows
107,2021-02-08,13853.0,Decorative Pillows
108,2021-02-09,13853.0,Decorative Pillows
109,2021-02-10,13853.0,Decorative Pillows
110,2021-02-11,13853.0,Decorative Pillows
111,2021-02-12,6940.0,Decorative Pillows
112,2021-02-13,6940.0,Decorative Pillows
113,2021-02-14,6940.0,Decorative Pillows
114,2021-02-15,6940.0,Decorative Pillows
115,2021-02-16,6940.0,Decorative Pillows
116,2021-02-17,14386.0,Decorative Pillows
117,2021-02-18,14386.0,Decorative Pillows
118,2021-02-19,14386.0,Decorative Pillows
119,2021-02-20,14386.0,Decorative Pillows
120,2021-02-21,14386.0,Decorative Pillows
121,2021-02-22,10472.0,Decorative Pillows
122,2021-02-23,10472.0,Decorative Pillows
123,2021-02-24,10472.0,Decorative Pillows
124,2021-02-25,5523.0,Decorative Pillows
125,2021-02-26,5523.0,Decorative Pillows
126,2021-02-27,5523.0,Decorative Pillows
127,2021-02-28,5523.0,Decorative Pillows
128,2021-03-01,6059.0,Decorative Pillows
129,2021-03-02,6059.0,Decorative Pillows
130,2021-03-03,6059.0,Decorative Pillows
