,date,value,name_B0788XRGPF
0,2020-05-23,2185.0,Store Sign Holders
1,2020-05-24,3529.0,Store Sign Holders
2,2020-05-25,3529.0,Store Sign Holders
3,2020-05-26,3837.0,Store Sign Holders
4,2020-05-27,3507.0,Store Sign Holders
5,2020-05-28,3507.0,Store Sign Holders
6,2020-05-29,2288.0,Store Sign Holders
7,2020-05-30,2288.0,Store Sign Holders
8,2020-05-31,3102.0,Store Sign Holders
9,2020-06-01,3102.0,Store Sign Holders
10,2020-06-02,3382.0,Store Sign Holders
11,2020-06-03,3382.0,Store Sign Holders
12,2020-06-04,2984.0,Store Sign Holders
13,2020-06-05,2984.0,Store Sign Holders
14,2020-06-06,3500.0,Store Sign Holders
15,2020-06-07,3500.0,Store Sign Holders
16,2020-06-08,4266.0,Store Sign Holders
17,2020-06-09,2525.0,Store Sign Holders
18,2020-06-10,2465.0,Store Sign Holders
19,2020-06-11,2465.0,Store Sign Holders
20,2020-06-12,2278.0,Store Sign Holders
21,2020-06-13,2331.0,Store Sign Holders
22,2020-06-14,3156.0,Store Sign Holders
23,2020-06-15,3298.0,Store Sign Holders
24,2020-06-16,3298.0,Store Sign Holders
25,2020-06-17,2484.0,Store Sign Holders
26,2020-06-18,2484.0,Store Sign Holders
27,2020-06-19,2404.0,Store Sign Holders
28,2020-06-20,2404.0,Store Sign Holders
29,2020-06-21,2939.0,Store Sign Holders
30,2020-06-22,3262.0,Store Sign Holders
31,2020-06-23,3262.0,Store Sign Holders
32,2020-06-24,2617.0,Store Sign Holders
33,2020-06-25,2554.0,Store Sign Holders
34,2020-06-26,2554.0,Store Sign Holders
35,2020-06-27,2330.0,Store Sign Holders
36,2020-06-28,2330.0,Store Sign Holders
37,2020-06-29,4449.0,Store Sign Holders
38,2020-06-30,4449.0,Store Sign Holders
39,2020-07-01,2927.0,Store Sign Holders
40,2020-07-02,2324.0,Store Sign Holders
41,2020-07-03,2670.0,Store Sign Holders
42,2020-07-04,3685.0,Store Sign Holders
43,2020-07-05,3685.0,Store Sign Holders
44,2020-07-06,5981.0,Store Sign Holders
45,2020-07-07,5981.0,Store Sign Holders
46,2020-07-08,3116.0,Store Sign Holders
47,2020-07-09,3296.0,Store Sign Holders
48,2020-07-10,3296.0,Store Sign Holders
49,2020-07-11,3254.0,Store Sign Holders
50,2020-07-12,3254.0,Store Sign Holders
51,2020-07-13,5474.0,Store Sign Holders
52,2020-07-14,3814.0,Store Sign Holders
53,2020-07-15,3814.0,Store Sign Holders
54,2020-07-16,3464.0,Store Sign Holders
55,2020-07-17,3414.0,Store Sign Holders
56,2020-07-18,3414.0,Store Sign Holders
57,2020-07-19,3766.0,Store Sign Holders
58,2020-07-20,3766.0,Store Sign Holders
59,2020-07-21,3156.0,Store Sign Holders
60,2020-07-22,3558.0,Store Sign Holders
61,2020-07-23,2909.0,Store Sign Holders
62,2020-07-24,2909.0,Store Sign Holders
63,2020-07-25,3644.0,Store Sign Holders
64,2020-07-26,3644.0,Store Sign Holders
65,2020-07-27,4508.0,Store Sign Holders
66,2020-07-28,4508.0,Store Sign Holders
67,2020-07-29,2902.0,Store Sign Holders
68,2020-07-30,2902.0,Store Sign Holders
69,2020-07-31,3350.0,Store Sign Holders
70,2020-08-01,3350.0,Store Sign Holders
71,2020-08-02,6612.0,Store Sign Holders
72,2020-08-03,6612.0,Store Sign Holders
73,2020-08-04,4725.0,Store Sign Holders
74,2020-08-05,4725.0,Store Sign Holders
75,2020-08-06,3254.0,Store Sign Holders
76,2020-08-07,3254.0,Store Sign Holders
77,2020-08-08,4775.0,Store Sign Holders
78,2020-08-09,4775.0,Store Sign Holders
79,2020-08-10,4203.0,Store Sign Holders
80,2020-08-11,4203.0,Store Sign Holders
81,2020-08-12,4692.0,Store Sign Holders
82,2020-08-13,3841.0,Store Sign Holders
83,2020-08-14,3841.0,Store Sign Holders
84,2020-08-15,3191.0,Store Sign Holders
85,2020-08-16,3191.0,Store Sign Holders
86,2020-08-17,4273.0,Store Sign Holders
87,2020-08-18,4273.0,Store Sign Holders
88,2020-08-19,4595.0,Store Sign Holders
89,2020-08-20,4595.0,Store Sign Holders
90,2020-08-21,4433.0,Store Sign Holders
91,2020-08-22,4433.0,Store Sign Holders
92,2020-08-23,5097.0,Store Sign Holders
93,2020-08-24,5742.0,Store Sign Holders
94,2020-08-25,5742.0,Store Sign Holders
95,2020-08-26,3934.0,Store Sign Holders
96,2020-08-27,4362.0,Store Sign Holders
97,2020-08-28,4016.0,Store Sign Holders
98,2020-08-29,4016.0,Store Sign Holders
99,2020-08-30,4827.0,Store Sign Holders
100,2020-08-31,5881.0,Store Sign Holders
101,2020-09-01,5881.0,Store Sign Holders
102,2020-09-02,3567.0,Store Sign Holders
103,2020-09-03,4303.0,Store Sign Holders
104,2020-09-04,4303.0,Store Sign Holders
105,2020-09-05,3888.0,Store Sign Holders
106,2020-09-06,3888.0,Store Sign Holders
107,2020-09-07,6091.0,Store Sign Holders
108,2020-09-08,6792.0,Store Sign Holders
109,2020-09-09,6792.0,Store Sign Holders
110,2020-09-10,3496.0,Store Sign Holders
111,2020-09-11,3413.0,Store Sign Holders
112,2020-09-12,3413.0,Store Sign Holders
113,2020-09-13,4735.0,Store Sign Holders
114,2020-09-14,5286.0,Store Sign Holders
115,2020-09-15,5286.0,Store Sign Holders
116,2020-09-16,3511.0,Store Sign Holders
117,2020-09-17,3511.0,Store Sign Holders
118,2020-09-18,2618.0,Store Sign Holders
119,2020-09-19,2622.0,Store Sign Holders
120,2020-09-20,2622.0,Store Sign Holders
121,2020-09-21,5752.0,Store Sign Holders
122,2020-09-22,3467.0,Store Sign Holders
123,2020-09-23,2959.0,Store Sign Holders
124,2020-09-24,2872.0,Store Sign Holders
125,2020-09-25,2925.0,Store Sign Holders
126,2020-09-26,3468.0,Store Sign Holders
127,2020-09-27,5528.0,Store Sign Holders
128,2020-09-28,5580.0,Store Sign Holders
129,2020-09-29,4861.0,Store Sign Holders
130,2020-09-30,4861.0,Store Sign Holders
131,2020-10-01,4599.0,Store Sign Holders
132,2020-10-02,3780.0,Store Sign Holders
133,2020-10-03,4139.0,Store Sign Holders
134,2020-10-04,4139.0,Store Sign Holders
135,2020-10-05,6644.0,Store Sign Holders
136,2020-10-06,6266.0,Store Sign Holders
137,2020-10-07,5532.0,Store Sign Holders
138,2020-10-08,5532.0,Store Sign Holders
139,2020-10-09,5409.0,Store Sign Holders
140,2020-10-10,5409.0,Store Sign Holders
141,2020-10-11,5562.0,Store Sign Holders
142,2020-10-12,5562.0,Store Sign Holders
143,2020-10-13,4161.0,Store Sign Holders
144,2020-10-14,4161.0,Store Sign Holders
145,2020-10-15,4751.0,Store Sign Holders
146,2020-10-16,4751.0,Store Sign Holders
147,2020-10-17,4308.0,Store Sign Holders
148,2020-10-18,4308.0,Store Sign Holders
149,2020-10-19,8267.0,Store Sign Holders
150,2020-10-20,8267.0,Store Sign Holders
151,2020-10-21,3908.0,Store Sign Holders
152,2020-10-22,3298.0,Store Sign Holders
153,2020-10-23,3298.0,Store Sign Holders
154,2020-10-24,3388.0,Store Sign Holders
155,2020-10-25,3388.0,Store Sign Holders
156,2020-10-26,5211.0,Store Sign Holders
157,2020-10-27,4231.0,Store Sign Holders
158,2020-10-28,3746.0,Store Sign Holders
159,2020-10-29,3133.0,Store Sign Holders
160,2020-10-30,3133.0,Store Sign Holders
161,2020-10-31,3684.0,Store Sign Holders
162,2020-11-01,3684.0,Store Sign Holders
163,2020-11-02,3684.0,Store Sign Holders
164,2020-11-03,3103.0,Store Sign Holders
165,2020-11-04,3103.0,Store Sign Holders
166,2020-11-05,3301.0,Store Sign Holders
167,2020-11-06,3301.0,Store Sign Holders
168,2020-11-07,3653.0,Store Sign Holders
169,2020-11-08,3653.0,Store Sign Holders
170,2020-11-09,6345.0,Store Sign Holders
171,2020-11-10,6345.0,Store Sign Holders
172,2020-11-11,3568.0,Store Sign Holders
173,2020-11-12,3568.0,Store Sign Holders
174,2020-11-13,2944.0,Store Sign Holders
175,2020-11-14,2944.0,Store Sign Holders
