,date,value,name_B091MLHF3S
0,2021-04-06,32450.0,Closet Systems
1,2021-04-07,40440.0,Closet Systems
2,2021-04-08,40440.0,Closet Systems
3,2021-04-09,35639.0,Closet Systems
4,2021-04-10,49366.0,Closet Systems
5,2021-04-11,49366.0,Closet Systems
6,2021-04-12,10239.0,Closet Systems
7,2021-04-13,9207.0,Closet Systems
8,2021-04-14,13106.0,Closet Systems
9,2021-04-15,13106.0,Closet Systems
10,2021-04-16,20425.0,Closet Systems
11,2021-04-17,20425.0,Closet Systems
12,2021-04-18,20402.0,Closet Systems
13,2021-04-19,23774.0,Closet Systems
14,2021-04-20,23774.0,Closet Systems
15,2021-04-21,1307.0,Closet Systems
16,2021-04-22,780.0,Closet Systems
17,2021-04-23,780.0,Closet Systems
18,2021-04-24,753.0,Closet Systems
19,2021-04-25,753.0,Closet Systems
20,2021-04-26,374.0,Closet Systems
21,2021-04-27,229.0,Closet Systems
22,2021-04-28,438.0,Closet Systems
23,2021-04-29,636.0,Closet Systems
24,2021-04-30,636.0,Closet Systems
25,2021-05-01,788.0,Closet Systems
26,2021-05-02,788.0,Closet Systems
27,2021-05-03,879.0,Closet Systems
28,2021-05-04,822.0,Closet Systems
29,2021-05-05,822.0,Closet Systems
30,2021-05-06,1453.0,Closet Systems
31,2021-05-07,1453.0,Closet Systems
32,2021-05-08,1754.0,Closet Systems
33,2021-05-09,985.0,Closet Systems
34,2021-05-10,793.0,Closet Systems
35,2021-05-11,663.0,Closet Systems
36,2021-05-12,927.0,Closet Systems
37,2021-05-13,1138.0,Closet Systems
38,2021-05-14,1138.0,Closet Systems
39,2021-05-15,1705.0,Closet Systems
40,2021-05-16,1705.0,Closet Systems
41,2021-05-17,1644.0,Closet Systems
42,2021-05-18,2028.0,Closet Systems
43,2021-05-19,2391.0,Closet Systems
44,2021-05-20,2545.0,Closet Systems
45,2021-05-21,2545.0,Closet Systems
46,2021-05-22,2688.0,Closet Systems
47,2021-05-23,2688.0,Closet Systems
48,2021-05-24,2607.0,Closet Systems
49,2021-05-25,2607.0,Closet Systems
50,2021-05-26,3127.0,Closet Systems
51,2021-05-27,3000.0,Closet Systems
52,2021-05-28,1344.0,Closet Systems
53,2021-05-29,1945.0,Closet Systems
54,2021-05-30,1945.0,Closet Systems
55,2021-05-31,1320.0,Closet Systems
56,2021-06-01,1820.0,Closet Systems
57,2021-06-02,2225.0,Closet Systems
58,2021-06-03,2225.0,Closet Systems
59,2021-06-04,2438.0,Closet Systems
60,2021-06-05,2438.0,Closet Systems
61,2021-06-06,1367.0,Closet Systems
62,2021-06-07,1680.0,Closet Systems
63,2021-06-08,1716.0,Closet Systems
64,2021-06-09,2289.0,Closet Systems
65,2021-06-10,2570.0,Closet Systems
66,2021-06-11,3445.0,Closet Systems
67,2021-06-12,3445.0,Closet Systems
68,2021-06-13,3073.0,Closet Systems
69,2021-06-14,1157.0,Closet Systems
70,2021-06-15,481.0,Closet Systems
71,2021-06-16,661.0,Closet Systems
72,2021-06-17,764.0,Closet Systems
73,2021-06-18,656.0,Closet Systems
74,2021-06-19,656.0,Closet Systems
75,2021-06-20,725.0,Closet Systems
76,2021-06-21,725.0,Closet Systems
77,2021-06-22,791.0,Closet Systems
78,2021-06-23,791.0,Closet Systems
79,2021-06-24,791.0,Closet Systems
80,2021-06-25,714.0,Closet Systems
81,2021-06-26,669.0,Closet Systems
82,2021-06-27,689.0,Closet Systems
83,2021-06-28,1033.0,Closet Systems
84,2021-06-29,1349.0,Closet Systems
85,2021-06-30,1702.0,Closet Systems
86,2021-07-01,1834.0,Closet Systems
87,2021-07-02,1834.0,Closet Systems
88,2021-07-03,1834.0,Closet Systems
89,2021-07-04,932.0,Closet Systems
90,2021-07-05,1078.0,Closet Systems
91,2021-07-06,896.0,Closet Systems
92,2021-07-07,620.0,Closet Systems
93,2021-07-08,620.0,Closet Systems
94,2021-07-09,479.0,Closet Systems
95,2021-07-10,479.0,Closet Systems
96,2021-07-11,478.0,Closet Systems
