,date,value,name_B07XFT5F62
0,2019-09-03,451.0,Insoles
1,2019-09-04,9741.0,Insoles
2,2019-09-05,9741.0,Insoles
3,2019-09-06,17419.0,Insoles
4,2019-09-07,27577.0,Insoles
5,2019-09-08,26592.0,Insoles
6,2019-09-09,14427.0,Insoles
7,2019-09-10,20424.0,Insoles
8,2019-09-11,21613.0,Insoles
9,2019-09-12,24067.0,Insoles
10,2019-09-13,18023.0,Insoles
11,2019-09-14,16117.0,Insoles
12,2019-09-15,15526.0,Insoles
13,2019-09-16,23459.0,Insoles
14,2019-09-17,20708.0,Insoles
15,2019-09-18,19188.0,Insoles
16,2019-09-19,16612.0,Insoles
17,2019-09-20,15950.0,Insoles
18,2019-09-21,15181.0,Insoles
19,2019-09-22,16710.0,Insoles
20,2019-09-23,17439.0,Insoles
21,2019-09-24,12199.0,Insoles
22,2019-09-25,12603.0,Insoles
23,2019-09-26,11060.0,Insoles
24,2019-09-27,9633.0,Insoles
25,2019-09-28,9293.0,Insoles
26,2019-09-29,9981.0,Insoles
27,2019-09-30,11539.0,Insoles
28,2019-10-01,8889.0,Insoles
29,2019-10-02,9793.0,Insoles
30,2019-10-03,8316.0,Insoles
31,2019-10-04,9484.0,Insoles
32,2019-10-05,9484.0,Insoles
33,2019-10-06,9484.0,Insoles
34,2019-10-07,13704.0,Insoles
35,2019-10-08,17677.0,Insoles
36,2019-10-09,17677.0,Insoles
37,2019-10-10,11102.0,Insoles
38,2019-10-11,11102.0,Insoles
39,2019-10-12,12859.0,Insoles
40,2019-10-13,13790.0,Insoles
41,2019-10-14,10245.0,Insoles
42,2019-10-15,10245.0,Insoles
43,2019-10-16,10943.0,Insoles
44,2019-10-17,10943.0,Insoles
45,2019-10-18,12579.0,Insoles
46,2019-10-19,9401.0,Insoles
47,2019-10-20,10056.0,Insoles
48,2019-10-21,11658.0,Insoles
49,2019-10-22,11965.0,Insoles
50,2019-10-23,11565.0,Insoles
51,2019-10-24,11573.0,Insoles
52,2019-10-25,11254.0,Insoles
53,2019-10-26,11254.0,Insoles
54,2019-10-27,12036.0,Insoles
55,2019-10-28,13784.0,Insoles
56,2019-10-29,9678.0,Insoles
57,2019-10-30,7345.0,Insoles
58,2019-10-31,6296.0,Insoles
59,2019-11-01,5837.0,Insoles
60,2019-11-02,4996.0,Insoles
61,2019-11-03,6910.0,Insoles
62,2019-11-04,6243.0,Insoles
63,2019-11-05,6152.0,Insoles
64,2019-11-06,5709.0,Insoles
65,2019-11-07,6786.0,Insoles
66,2019-11-08,6786.0,Insoles
67,2019-11-09,6786.0,Insoles
68,2019-11-10,6786.0,Insoles
69,2019-11-11,12966.0,Insoles
70,2019-11-12,12966.0,Insoles
71,2019-11-13,12966.0,Insoles
72,2019-11-14,12966.0,Insoles
73,2019-11-15,12966.0,Insoles
74,2019-11-16,12966.0,Insoles
75,2019-11-17,12554.0,Insoles
76,2019-11-18,11827.0,Insoles
77,2019-11-19,10268.0,Insoles
78,2019-11-20,10268.0,Insoles
79,2019-11-21,10268.0,Insoles
80,2019-11-22,9440.0,Insoles
81,2019-11-23,9440.0,Insoles
82,2019-11-24,9440.0,Insoles
83,2019-11-25,9440.0,Insoles
84,2019-11-26,9440.0,Insoles
85,2019-11-27,9440.0,Insoles
86,2019-11-28,9440.0,Insoles
87,2019-11-29,18339.0,Insoles
88,2019-11-30,18339.0,Insoles
89,2019-12-01,18339.0,Insoles
90,2019-12-02,18339.0,Insoles
91,2019-12-03,26839.0,Insoles
92,2019-12-04,26839.0,Insoles
93,2019-12-05,16070.0,Insoles
94,2019-12-06,16070.0,Insoles
95,2019-12-07,16070.0,Insoles
96,2019-12-08,16070.0,Insoles
97,2019-12-09,20716.0,Insoles
98,2019-12-10,20716.0,Insoles
99,2019-12-11,20716.0,Insoles
100,2019-12-12,18502.0,Insoles
101,2019-12-13,22450.0,Insoles
102,2019-12-14,22450.0,Insoles
103,2019-12-15,22450.0,Insoles
104,2019-12-16,25297.0,Insoles
105,2019-12-17,28087.0,Insoles
106,2019-12-18,28087.0,Insoles
107,2019-12-19,29157.0,Insoles
108,2019-12-20,29157.0,Insoles
109,2019-12-21,29157.0,Insoles
110,2019-12-22,29157.0,Insoles
111,2019-12-23,28485.0,Insoles
112,2019-12-24,23285.0,Insoles
113,2019-12-25,20744.0,Insoles
114,2019-12-26,20744.0,Insoles
115,2019-12-27,20744.0,Insoles
116,2019-12-28,10002.0,Insoles
117,2019-12-29,10002.0,Insoles
118,2019-12-30,10002.0,Insoles
119,2019-12-31,10002.0,Insoles
120,2020-01-01,10002.0,Insoles
121,2020-01-02,7451.0,Insoles
122,2020-01-03,7451.0,Insoles
123,2020-01-04,7451.0,Insoles
124,2020-01-05,6965.0,Insoles
125,2020-01-06,6965.0,Insoles
126,2020-01-07,6965.0,Insoles
127,2020-01-08,6965.0,Insoles
128,2020-01-09,6965.0,Insoles
129,2020-01-10,5073.0,Insoles
130,2020-01-11,5073.0,Insoles
131,2020-01-12,5073.0,Insoles
132,2020-01-13,5073.0,Insoles
133,2020-01-14,6040.0,Insoles
134,2020-01-15,6040.0,Insoles
135,2020-01-16,5026.0,Insoles
136,2020-01-17,6732.0,Insoles
137,2020-01-18,6732.0,Insoles
138,2020-01-19,6732.0,Insoles
139,2020-01-20,6732.0,Insoles
140,2020-01-21,8390.0,Insoles
141,2020-01-22,8390.0,Insoles
142,2020-01-23,8390.0,Insoles
143,2020-01-24,8390.0,Insoles
144,2020-01-25,8390.0,Insoles
145,2020-01-26,8390.0,Insoles
146,2020-01-27,9676.0,Insoles
147,2020-01-28,6386.0,Insoles
148,2020-01-29,6386.0,Insoles
149,2020-01-30,6386.0,Insoles
150,2020-01-31,6386.0,Insoles
151,2020-02-01,6386.0,Insoles
152,2020-02-02,6386.0,Insoles
153,2020-02-03,6792.0,Insoles
154,2020-02-04,5687.0,Insoles
155,2020-02-05,6485.0,Insoles
156,2020-02-06,6485.0,Insoles
157,2020-02-07,6485.0,Insoles
158,2020-02-08,6485.0,Insoles
159,2020-02-09,6485.0,Insoles
160,2020-02-10,6188.0,Insoles
161,2020-02-11,6188.0,Insoles
162,2020-02-12,6188.0,Insoles
163,2020-02-13,6081.0,Insoles
164,2020-02-14,6081.0,Insoles
165,2020-02-15,6081.0,Insoles
166,2020-02-16,6081.0,Insoles
167,2020-02-17,5607.0,Insoles
168,2020-02-18,5607.0,Insoles
169,2020-02-19,5607.0,Insoles
170,2020-02-20,5607.0,Insoles
171,2020-02-21,3994.0,Insoles
172,2020-02-22,3994.0,Insoles
173,2020-02-23,3994.0,Insoles
174,2020-02-24,5083.0,Insoles
175,2020-02-25,4224.0,Insoles
176,2020-02-26,4224.0,Insoles
177,2020-02-27,4224.0,Insoles
178,2020-02-28,3848.0,Insoles
179,2020-02-29,4830.0,Insoles
180,2020-03-01,4170.0,Insoles
181,2020-03-02,4170.0,Insoles
182,2020-03-03,5034.0,Insoles
183,2020-03-04,5034.0,Insoles
184,2020-03-05,5034.0,Insoles
185,2020-03-06,3500.0,Insoles
186,2020-03-07,-1.0,Insoles
