,date,value,name_B08HYRQQ7H
0,2020-11-14,200352.0,Sofa Slipcovers
1,2020-11-15,200352.0,Sofa Slipcovers
2,2020-11-16,151855.0,Sofa Slipcovers
3,2020-11-17,151855.0,Sofa Slipcovers
4,2020-11-18,159711.0,Sofa Slipcovers
5,2020-11-19,159711.0,Sofa Slipcovers
6,2020-11-20,159711.0,Sofa Slipcovers
7,2020-11-21,159711.0,Sofa Slipcovers
8,2020-11-22,159711.0,Sofa Slipcovers
9,2020-11-23,159711.0,Sofa Slipcovers
10,2020-11-24,47996.0,Sofa Slipcovers
11,2020-11-25,53945.0,Sofa Slipcovers
12,2020-11-26,53945.0,Sofa Slipcovers
13,2020-11-27,55088.0,Sofa Slipcovers
14,2020-11-28,44436.0,Sofa Slipcovers
15,2020-11-29,33666.0,Sofa Slipcovers
16,2020-11-30,37497.0,Sofa Slipcovers
17,2020-12-01,34986.0,Sofa Slipcovers
18,2020-12-02,33726.0,Sofa Slipcovers
19,2020-12-03,33145.0,Sofa Slipcovers
20,2020-12-04,28759.0,Sofa Slipcovers
21,2020-12-05,33985.0,Sofa Slipcovers
22,2020-12-06,32673.0,Sofa Slipcovers
23,2020-12-07,32673.0,Sofa Slipcovers
24,2020-12-08,32174.0,Sofa Slipcovers
25,2020-12-09,32174.0,Sofa Slipcovers
26,2020-12-10,39171.0,Sofa Slipcovers
27,2020-12-11,39171.0,Sofa Slipcovers
28,2020-12-12,39171.0,Sofa Slipcovers
29,2020-12-13,39171.0,Sofa Slipcovers
30,2020-12-14,32482.0,Sofa Slipcovers
31,2020-12-15,34251.0,Sofa Slipcovers
32,2020-12-16,21412.0,Sofa Slipcovers
33,2020-12-17,21412.0,Sofa Slipcovers
34,2020-12-18,26629.0,Sofa Slipcovers
35,2020-12-19,28423.0,Sofa Slipcovers
36,2020-12-20,28423.0,Sofa Slipcovers
37,2020-12-21,20008.0,Sofa Slipcovers
38,2020-12-22,20008.0,Sofa Slipcovers
39,2020-12-23,16096.0,Sofa Slipcovers
40,2020-12-24,29647.0,Sofa Slipcovers
41,2020-12-25,26581.0,Sofa Slipcovers
42,2020-12-26,38406.0,Sofa Slipcovers
43,2020-12-27,49156.0,Sofa Slipcovers
44,2020-12-28,41373.0,Sofa Slipcovers
45,2020-12-29,32879.0,Sofa Slipcovers
46,2020-12-30,32674.0,Sofa Slipcovers
47,2020-12-31,45782.0,Sofa Slipcovers
48,2021-01-01,28326.0,Sofa Slipcovers
49,2021-01-02,27655.0,Sofa Slipcovers
50,2021-01-03,31480.0,Sofa Slipcovers
51,2021-01-04,30120.0,Sofa Slipcovers
52,2021-01-05,28810.0,Sofa Slipcovers
53,2021-01-06,40260.0,Sofa Slipcovers
54,2021-01-07,49109.0,Sofa Slipcovers
55,2021-01-08,57380.0,Sofa Slipcovers
56,2021-01-09,30764.0,Sofa Slipcovers
57,2021-01-10,37060.0,Sofa Slipcovers
58,2021-01-11,74532.0,Sofa Slipcovers
59,2021-01-12,60569.0,Sofa Slipcovers
60,2021-01-13,73191.0,Sofa Slipcovers
61,2021-01-14,92481.0,Sofa Slipcovers
62,2021-01-15,92481.0,Sofa Slipcovers
63,2021-01-16,75721.0,Sofa Slipcovers
64,2021-01-17,75721.0,Sofa Slipcovers
65,2021-01-18,75721.0,Sofa Slipcovers
66,2021-01-19,75721.0,Sofa Slipcovers
67,2021-01-20,75721.0,Sofa Slipcovers
68,2021-01-21,82755.0,Sofa Slipcovers
69,2021-01-22,82755.0,Sofa Slipcovers
70,2021-01-23,82755.0,Sofa Slipcovers
71,2021-01-24,82755.0,Sofa Slipcovers
72,2021-01-25,82755.0,Sofa Slipcovers
73,2021-01-26,110890.0,Sofa Slipcovers
74,2021-01-27,72486.0,Sofa Slipcovers
75,2021-01-28,78764.0,Sofa Slipcovers
76,2021-01-29,78764.0,Sofa Slipcovers
77,2021-01-30,78764.0,Sofa Slipcovers
78,2021-01-31,120633.0,Sofa Slipcovers
79,2021-02-01,120633.0,Sofa Slipcovers
80,2021-02-02,120633.0,Sofa Slipcovers
81,2021-02-03,41605.0,Sofa Slipcovers
82,2021-02-04,41605.0,Sofa Slipcovers
83,2021-02-05,48181.0,Sofa Slipcovers
84,2021-02-06,33776.0,Sofa Slipcovers
85,2021-02-07,33776.0,Sofa Slipcovers
86,2021-02-08,33776.0,Sofa Slipcovers
87,2021-02-09,26338.0,Sofa Slipcovers
88,2021-02-10,26338.0,Sofa Slipcovers
89,2021-02-11,26338.0,Sofa Slipcovers
90,2021-02-12,26338.0,Sofa Slipcovers
91,2021-02-13,26338.0,Sofa Slipcovers
92,2021-02-14,26338.0,Sofa Slipcovers
93,2021-02-15,26338.0,Sofa Slipcovers
94,2021-02-16,26338.0,Sofa Slipcovers
95,2021-02-17,26338.0,Sofa Slipcovers
96,2021-02-18,30429.0,Sofa Slipcovers
97,2021-02-19,30429.0,Sofa Slipcovers
98,2021-02-20,30429.0,Sofa Slipcovers
99,2021-02-21,23178.0,Sofa Slipcovers
