,date,value,name_B07HW1BGCR
0,2018-10-03,124729.0,Floating Shelves
1,2018-10-04,124729.0,Floating Shelves
2,2018-10-05,88627.0,Floating Shelves
3,2018-10-06,146774.0,Floating Shelves
4,2018-10-07,146774.0,Floating Shelves
5,2018-10-08,47815.0,Floating Shelves
6,2018-10-09,47815.0,Floating Shelves
7,2018-10-10,47815.0,Floating Shelves
8,2018-10-11,47815.0,Floating Shelves
9,2018-10-12,62667.0,Floating Shelves
10,2018-10-13,62667.0,Floating Shelves
11,2018-10-14,35945.0,Floating Shelves
12,2018-10-15,35945.0,Floating Shelves
13,2018-10-16,35945.0,Floating Shelves
14,2018-10-17,35945.0,Floating Shelves
15,2018-10-18,56454.0,Floating Shelves
16,2018-10-19,56454.0,Floating Shelves
17,2018-10-20,56454.0,Floating Shelves
18,2018-10-21,68311.0,Floating Shelves
19,2018-10-22,68311.0,Floating Shelves
20,2018-10-23,68311.0,Floating Shelves
21,2018-10-24,37326.0,Floating Shelves
22,2018-10-25,37326.0,Floating Shelves
23,2018-10-26,43772.0,Floating Shelves
24,2018-10-27,38054.0,Floating Shelves
25,2018-10-28,68243.0,Floating Shelves
26,2018-10-29,79228.0,Floating Shelves
27,2018-10-30,50244.0,Floating Shelves
28,2018-10-31,50244.0,Floating Shelves
29,2018-11-01,50244.0,Floating Shelves
30,2018-11-02,50244.0,Floating Shelves
31,2018-11-03,123995.0,Floating Shelves
32,2018-11-04,123995.0,Floating Shelves
33,2018-11-05,123995.0,Floating Shelves
34,2018-11-06,123995.0,Floating Shelves
35,2018-11-07,91953.0,Floating Shelves
36,2018-11-08,91953.0,Floating Shelves
37,2018-11-09,91953.0,Floating Shelves
38,2018-11-10,91953.0,Floating Shelves
39,2018-11-11,57663.0,Floating Shelves
40,2018-11-12,57663.0,Floating Shelves
41,2018-11-13,48320.0,Floating Shelves
42,2018-11-14,37334.0,Floating Shelves
43,2018-11-15,37433.0,Floating Shelves
44,2018-11-16,40244.0,Floating Shelves
45,2018-11-17,40244.0,Floating Shelves
46,2018-11-18,40244.0,Floating Shelves
47,2018-11-19,40244.0,Floating Shelves
48,2018-11-20,40244.0,Floating Shelves
49,2018-11-21,40244.0,Floating Shelves
50,2018-11-22,106120.0,Floating Shelves
51,2018-11-23,124725.0,Floating Shelves
52,2018-11-24,124725.0,Floating Shelves
53,2018-11-25,124725.0,Floating Shelves
54,2018-11-26,124725.0,Floating Shelves
55,2018-11-27,72409.0,Floating Shelves
56,2018-11-28,56538.0,Floating Shelves
57,2018-11-29,79844.0,Floating Shelves
58,2018-11-30,79844.0,Floating Shelves
59,2018-12-01,207408.0,Floating Shelves
60,2018-12-02,207408.0,Floating Shelves
61,2018-12-03,235842.0,Floating Shelves
62,2018-12-04,235842.0,Floating Shelves
63,2018-12-05,219191.0,Floating Shelves
64,2018-12-06,219191.0,Floating Shelves
65,2018-12-07,219191.0,Floating Shelves
66,2018-12-08,218340.0,Floating Shelves
67,2018-12-09,218340.0,Floating Shelves
68,2018-12-10,218340.0,Floating Shelves
69,2018-12-11,197699.0,Floating Shelves
70,2018-12-12,197699.0,Floating Shelves
71,2018-12-13,197699.0,Floating Shelves
72,2018-12-14,82065.0,Floating Shelves
73,2018-12-15,82065.0,Floating Shelves
74,2018-12-16,113915.0,Floating Shelves
75,2018-12-17,113915.0,Floating Shelves
76,2018-12-18,113915.0,Floating Shelves
77,2018-12-19,170877.0,Floating Shelves
78,2018-12-20,165049.0,Floating Shelves
79,2018-12-21,165049.0,Floating Shelves
80,2018-12-22,165049.0,Floating Shelves
81,2018-12-23,181189.0,Floating Shelves
82,2018-12-24,181189.0,Floating Shelves
83,2018-12-25,158856.0,Floating Shelves
84,2018-12-26,158856.0,Floating Shelves
85,2018-12-27,96582.0,Floating Shelves
86,2018-12-28,96582.0,Floating Shelves
87,2018-12-29,129183.0,Floating Shelves
