,date,value,name_B081WZN43N
0,2019-11-27,12842.0,Rain Gauges
1,2019-11-28,8588.0,Rain Gauges
2,2019-11-29,9464.0,Rain Gauges
3,2019-11-30,9464.0,Rain Gauges
4,2019-12-01,8603.0,Rain Gauges
5,2019-12-02,7377.0,Rain Gauges
6,2019-12-03,7889.0,Rain Gauges
7,2019-12-04,7514.0,Rain Gauges
8,2019-12-05,7421.0,Rain Gauges
9,2019-12-06,8267.0,Rain Gauges
10,2019-12-07,9238.0,Rain Gauges
11,2019-12-08,7227.0,Rain Gauges
12,2019-12-09,7673.0,Rain Gauges
13,2019-12-10,7095.0,Rain Gauges
14,2019-12-11,5357.0,Rain Gauges
15,2019-12-12,6046.0,Rain Gauges
16,2019-12-13,6046.0,Rain Gauges
17,2019-12-14,6046.0,Rain Gauges
18,2019-12-15,4454.0,Rain Gauges
19,2019-12-16,5115.0,Rain Gauges
20,2019-12-17,5450.0,Rain Gauges
21,2019-12-18,5450.0,Rain Gauges
22,2019-12-19,5450.0,Rain Gauges
23,2019-12-20,5450.0,Rain Gauges
24,2019-12-21,5931.0,Rain Gauges
25,2019-12-22,5931.0,Rain Gauges
26,2019-12-23,5931.0,Rain Gauges
27,2019-12-24,6629.0,Rain Gauges
28,2019-12-25,6629.0,Rain Gauges
29,2019-12-26,6629.0,Rain Gauges
30,2019-12-27,6629.0,Rain Gauges
31,2019-12-28,13608.0,Rain Gauges
32,2019-12-29,13608.0,Rain Gauges
33,2019-12-30,13608.0,Rain Gauges
34,2019-12-31,13608.0,Rain Gauges
35,2020-01-01,13608.0,Rain Gauges
36,2020-01-02,19046.0,Rain Gauges
37,2020-01-03,19046.0,Rain Gauges
38,2020-01-04,19046.0,Rain Gauges
39,2020-01-05,19046.0,Rain Gauges
40,2020-01-06,19046.0,Rain Gauges
41,2020-01-07,18315.0,Rain Gauges
42,2020-01-08,18315.0,Rain Gauges
43,2020-01-09,18315.0,Rain Gauges
44,2020-01-10,20378.0,Rain Gauges
45,2020-01-11,20378.0,Rain Gauges
46,2020-01-12,20378.0,Rain Gauges
47,2020-01-13,20378.0,Rain Gauges
48,2020-01-14,20378.0,Rain Gauges
49,2020-01-15,13944.0,Rain Gauges
50,2020-01-16,13944.0,Rain Gauges
51,2020-01-17,13944.0,Rain Gauges
52,2020-01-18,13944.0,Rain Gauges
53,2020-01-19,13944.0,Rain Gauges
54,2020-01-20,19409.0,Rain Gauges
55,2020-01-21,19409.0,Rain Gauges
56,2020-01-22,19409.0,Rain Gauges
57,2020-01-23,19409.0,Rain Gauges
58,2020-01-24,19409.0,Rain Gauges
59,2020-01-25,19409.0,Rain Gauges
60,2020-01-26,18106.0,Rain Gauges
61,2020-01-27,18106.0,Rain Gauges
62,2020-01-28,18106.0,Rain Gauges
63,2020-01-29,18106.0,Rain Gauges
64,2020-01-30,21289.0,Rain Gauges
65,2020-01-31,21289.0,Rain Gauges
66,2020-02-01,29099.0,Rain Gauges
67,2020-02-02,29099.0,Rain Gauges
68,2020-02-03,29099.0,Rain Gauges
69,2020-02-04,29099.0,Rain Gauges
70,2020-02-05,25882.0,Rain Gauges
71,2020-02-06,25882.0,Rain Gauges
72,2020-02-07,25882.0,Rain Gauges
73,2020-02-08,25882.0,Rain Gauges
74,2020-02-09,24019.0,Rain Gauges
75,2020-02-10,24019.0,Rain Gauges
76,2020-02-11,13957.0,Rain Gauges
77,2020-02-12,13957.0,Rain Gauges
78,2020-02-13,13957.0,Rain Gauges
79,2020-02-14,13803.0,Rain Gauges
80,2020-02-15,13803.0,Rain Gauges
81,2020-02-16,17082.0,Rain Gauges
82,2020-02-17,17082.0,Rain Gauges
83,2020-02-18,18682.0,Rain Gauges
84,2020-02-19,18682.0,Rain Gauges
85,2020-02-20,25202.0,Rain Gauges
86,2020-02-21,25202.0,Rain Gauges
87,2020-02-22,4685.0,Rain Gauges
88,2020-02-23,4685.0,Rain Gauges
89,2020-02-24,4193.0,Rain Gauges
90,2020-02-25,4193.0,Rain Gauges
91,2020-02-26,4193.0,Rain Gauges
92,2020-02-27,4193.0,Rain Gauges
93,2020-02-28,4193.0,Rain Gauges
94,2020-02-29,4193.0,Rain Gauges
95,2020-03-01,49433.0,Rain Gauges
96,2020-03-02,49433.0,Rain Gauges
97,2020-03-03,49433.0,Rain Gauges
98,2020-03-04,49433.0,Rain Gauges
99,2020-03-05,23830.0,Rain Gauges
100,2020-03-06,23830.0,Rain Gauges
101,2020-03-07,23830.0,Rain Gauges
102,2020-03-08,23830.0,Rain Gauges
103,2020-03-09,35026.0,Rain Gauges
104,2020-03-10,35026.0,Rain Gauges
105,2020-03-11,35026.0,Rain Gauges
106,2020-03-12,35026.0,Rain Gauges
107,2020-03-13,35026.0,Rain Gauges
108,2020-03-14,-1.0,Rain Gauges
