,date,value,name_B084FKSYFJ
0,2020-05-30,25912.0,Collagen
1,2020-05-31,25912.0,Collagen
2,2020-06-01,25912.0,Collagen
3,2020-06-02,25912.0,Collagen
4,2020-06-03,25912.0,Collagen
5,2020-06-04,25912.0,Collagen
6,2020-06-05,25912.0,Collagen
7,2020-06-06,25912.0,Collagen
8,2020-06-07,25912.0,Collagen
9,2020-06-08,34525.0,Collagen
10,2020-06-09,34525.0,Collagen
11,2020-06-10,34525.0,Collagen
12,2020-06-11,27250.0,Collagen
13,2020-06-12,27250.0,Collagen
14,2020-06-13,27250.0,Collagen
15,2020-06-14,22507.0,Collagen
16,2020-06-15,22507.0,Collagen
17,2020-06-16,22507.0,Collagen
18,2020-06-17,26347.0,Collagen
19,2020-06-18,32623.0,Collagen
20,2020-06-19,32623.0,Collagen
21,2020-06-20,59185.0,Collagen
22,2020-06-21,59185.0,Collagen
23,2020-06-22,59185.0,Collagen
24,2020-06-23,59185.0,Collagen
25,2020-06-24,59185.0,Collagen
26,2020-06-25,96132.0,Collagen
27,2020-06-26,96132.0,Collagen
28,2020-06-27,96132.0,Collagen
29,2020-06-28,127933.0,Collagen
30,2020-06-29,127933.0,Collagen
31,2020-06-30,127933.0,Collagen
32,2020-07-01,127933.0,Collagen
33,2020-07-02,127933.0,Collagen
34,2020-07-03,127933.0,Collagen
35,2020-07-04,129696.0,Collagen
36,2020-07-05,129696.0,Collagen
37,2020-07-06,129696.0,Collagen
38,2020-07-07,129696.0,Collagen
39,2020-07-08,156328.0,Collagen
40,2020-07-09,156328.0,Collagen
41,2020-07-10,27860.0,Collagen
42,2020-07-11,27860.0,Collagen
43,2020-07-12,27860.0,Collagen
44,2020-07-13,31840.0,Collagen
45,2020-07-14,31840.0,Collagen
46,2020-07-15,31840.0,Collagen
47,2020-07-16,31840.0,Collagen
48,2020-07-17,31840.0,Collagen
49,2020-07-18,24862.0,Collagen
50,2020-07-19,24862.0,Collagen
51,2020-07-20,24862.0,Collagen
52,2020-07-21,24862.0,Collagen
