,date,value,name_B08H4JLS94
0,2020-10-20,38383.0,Traps
1,2020-10-21,38383.0,Traps
2,2020-10-22,38383.0,Traps
3,2020-10-23,38383.0,Traps
4,2020-10-24,38383.0,Traps
5,2020-10-25,31975.0,Traps
6,2020-10-26,31975.0,Traps
7,2020-10-27,31975.0,Traps
8,2020-10-28,31975.0,Traps
9,2020-10-29,31975.0,Traps
10,2020-10-30,38642.0,Traps
11,2020-10-31,38642.0,Traps
12,2020-11-01,38642.0,Traps
13,2020-11-02,49295.0,Traps
14,2020-11-03,49295.0,Traps
15,2020-11-04,49295.0,Traps
16,2020-11-05,26961.0,Traps
17,2020-11-06,26961.0,Traps
18,2020-11-07,26961.0,Traps
19,2020-11-08,29858.0,Traps
20,2020-11-09,29858.0,Traps
21,2020-11-10,53484.0,Traps
22,2020-11-11,53484.0,Traps
23,2020-11-12,53484.0,Traps
24,2020-11-13,53484.0,Traps
25,2020-11-14,39933.0,Traps
26,2020-11-15,39933.0,Traps
27,2020-11-16,39933.0,Traps
28,2020-11-17,39933.0,Traps
29,2020-11-18,22999.0,Traps
30,2020-11-19,22999.0,Traps
31,2020-11-20,19546.0,Traps
32,2020-11-21,19546.0,Traps
33,2020-11-22,19546.0,Traps
34,2020-11-23,36514.0,Traps
35,2020-11-24,36514.0,Traps
36,2020-11-25,36514.0,Traps
37,2020-11-26,36514.0,Traps
38,2020-11-27,36514.0,Traps
39,2020-11-28,21933.0,Traps
40,2020-11-29,21933.0,Traps
41,2020-11-30,21933.0,Traps
42,2020-12-01,21933.0,Traps
43,2020-12-02,21933.0,Traps
44,2020-12-03,21933.0,Traps
45,2020-12-04,27324.0,Traps
46,2020-12-05,27324.0,Traps
47,2020-12-06,27324.0,Traps
48,2020-12-07,14011.0,Traps
49,2020-12-08,14011.0,Traps
50,2020-12-09,14011.0,Traps
51,2020-12-10,16156.0,Traps
52,2020-12-11,16156.0,Traps
53,2020-12-12,16156.0,Traps
54,2020-12-13,16156.0,Traps
55,2020-12-14,16156.0,Traps
56,2020-12-15,8277.0,Traps
57,2020-12-16,8277.0,Traps
58,2020-12-17,7352.0,Traps
59,2020-12-18,7352.0,Traps
60,2020-12-19,7352.0,Traps
61,2020-12-20,7352.0,Traps
62,2020-12-21,7352.0,Traps
63,2020-12-22,11657.0,Traps
64,2020-12-23,11657.0,Traps
65,2020-12-24,11657.0,Traps
66,2020-12-25,11246.0,Traps
67,2020-12-26,11246.0,Traps
68,2020-12-27,11246.0,Traps
69,2020-12-28,6891.0,Traps
70,2020-12-29,6891.0,Traps
71,2020-12-30,6891.0,Traps
72,2020-12-31,2054.0,Traps
73,2021-01-01,2054.0,Traps
74,2021-01-02,2054.0,Traps
75,2021-01-03,3527.0,Traps
76,2021-01-04,3337.0,Traps
77,2021-01-05,4621.0,Traps
78,2021-01-06,5384.0,Traps
79,2021-01-07,6962.0,Traps
80,2021-01-08,6962.0,Traps
81,2021-01-09,14759.0,Traps
82,2021-01-10,14759.0,Traps
83,2021-01-11,14759.0,Traps
84,2021-01-12,4220.0,Traps
85,2021-01-13,6162.0,Traps
86,2021-01-14,7085.0,Traps
87,2021-01-15,4839.0,Traps
88,2021-01-16,4839.0,Traps
89,2021-01-17,4839.0,Traps
90,2021-01-18,5242.0,Traps
91,2021-01-19,5242.0,Traps
92,2021-01-20,5242.0,Traps
93,2021-01-21,5242.0,Traps
94,2021-01-22,6909.0,Traps
95,2021-01-23,6909.0,Traps
96,2021-01-24,6909.0,Traps
97,2021-01-25,2573.0,Traps
98,2021-01-26,2573.0,Traps
99,2021-01-27,2573.0,Traps
100,2021-01-28,3905.0,Traps
101,2021-01-29,3905.0,Traps
102,2021-01-30,3905.0,Traps
103,2021-01-31,5410.0,Traps
104,2021-02-01,5410.0,Traps
105,2021-02-02,2517.0,Traps
106,2021-02-03,4207.0,Traps
107,2021-02-04,4207.0,Traps
108,2021-02-05,2164.0,Traps
109,2021-02-06,2164.0,Traps
110,2021-02-07,2164.0,Traps
111,2021-02-08,9288.0,Traps
112,2021-02-09,9288.0,Traps
113,2021-02-10,9288.0,Traps
114,2021-02-11,2849.0,Traps
115,2021-02-12,1979.0,Traps
116,2021-02-13,1979.0,Traps
117,2021-02-14,1979.0,Traps
118,2021-02-15,2627.0,Traps
119,2021-02-16,2627.0,Traps
120,2021-02-17,2627.0,Traps
121,2021-02-18,4107.0,Traps
122,2021-02-19,4107.0,Traps
123,2021-02-20,4889.0,Traps
124,2021-02-21,4889.0,Traps
125,2021-02-22,4889.0,Traps
126,2021-02-23,1828.0,Traps
127,2021-02-24,1828.0,Traps
128,2021-02-25,3559.0,Traps
129,2021-02-26,3559.0,Traps
130,2021-02-27,3559.0,Traps
131,2021-02-28,3559.0,Traps
132,2021-03-01,3367.0,Traps
133,2021-03-02,3205.0,Traps
134,2021-03-03,2172.0,Traps
135,2021-03-04,2172.0,Traps
136,2021-03-05,2172.0,Traps
137,2021-03-06,2697.0,Traps
138,2021-03-07,2697.0,Traps
139,2021-03-08,3673.0,Traps
140,2021-03-09,3574.0,Traps
141,2021-03-10,3574.0,Traps
142,2021-03-11,3582.0,Traps
143,2021-03-12,3582.0,Traps
144,2021-03-13,6150.0,Traps
145,2021-03-14,6150.0,Traps
146,2021-03-15,6150.0,Traps
147,2021-03-16,7833.0,Traps
148,2021-03-17,7833.0,Traps
149,2021-03-18,7833.0,Traps
150,2021-03-19,7833.0,Traps
151,2021-03-20,12390.0,Traps
152,2021-03-21,12390.0,Traps
153,2021-03-22,12390.0,Traps
154,2021-03-23,20641.0,Traps
155,2021-03-24,20641.0,Traps
156,2021-03-25,20641.0,Traps
157,2021-03-26,5835.0,Traps
158,2021-03-27,5835.0,Traps
159,2021-03-28,5835.0,Traps
160,2021-03-29,4613.0,Traps
161,2021-03-30,3036.0,Traps
162,2021-03-31,3036.0,Traps
163,2021-04-01,3036.0,Traps
164,2021-04-02,2917.0,Traps
165,2021-04-03,3397.0,Traps
166,2021-04-04,3397.0,Traps
167,2021-04-05,3397.0,Traps
168,2021-04-06,6469.0,Traps
169,2021-04-07,8386.0,Traps
170,2021-04-08,8386.0,Traps
171,2021-04-09,4589.0,Traps
172,2021-04-10,4589.0,Traps
173,2021-04-11,4589.0,Traps
174,2021-04-12,4950.0,Traps
175,2021-04-13,4950.0,Traps
176,2021-04-14,4454.0,Traps
177,2021-04-15,4454.0,Traps
178,2021-04-16,4454.0,Traps
179,2021-04-17,4454.0,Traps
180,2021-04-18,4454.0,Traps
181,2021-04-19,4454.0,Traps
182,2021-04-20,261634.0,Traps
183,2021-04-21,261634.0,Traps
184,2021-04-22,261634.0,Traps
185,2021-04-23,261634.0,Traps
186,2021-04-24,261634.0,Traps
187,2021-04-25,261634.0,Traps
188,2021-04-26,261634.0,Traps
189,2021-04-27,37394.0,Traps
190,2021-04-28,37394.0,Traps
191,2021-04-29,4612.0,Traps
192,2021-04-30,6194.0,Traps
193,2021-05-01,6194.0,Traps
194,2021-05-02,6194.0,Traps
195,2021-05-03,6194.0,Traps
196,2021-05-04,6194.0,Traps
197,2021-05-05,7895.0,Traps
198,2021-05-06,7895.0,Traps
199,2021-05-07,7895.0,Traps
200,2021-05-08,8883.0,Traps
201,2021-05-09,8883.0,Traps
202,2021-05-10,8883.0,Traps
203,2021-05-11,7999.0,Traps
204,2021-05-12,7623.0,Traps
205,2021-05-13,7623.0,Traps
206,2021-05-14,7623.0,Traps
207,2021-05-15,7623.0,Traps
208,2021-05-16,7623.0,Traps
209,2021-05-17,10574.0,Traps
210,2021-05-18,10574.0,Traps
211,2021-05-19,10574.0,Traps
212,2021-05-20,8736.0,Traps
213,2021-05-21,8736.0,Traps
214,2021-05-22,8736.0,Traps
215,2021-05-23,8736.0,Traps
216,2021-05-24,14729.0,Traps
217,2021-05-25,14729.0,Traps
218,2021-05-26,10924.0,Traps
219,2021-05-27,12861.0,Traps
220,2021-05-28,12861.0,Traps
221,2021-05-29,10171.0,Traps
222,2021-05-30,10171.0,Traps
223,2021-05-31,10735.0,Traps
224,2021-06-01,12024.0,Traps
225,2021-06-02,9897.0,Traps
226,2021-06-03,10151.0,Traps
227,2021-06-04,10151.0,Traps
228,2021-06-05,10149.0,Traps
229,2021-06-06,11939.0,Traps
230,2021-06-07,12511.0,Traps
231,2021-06-08,12511.0,Traps
232,2021-06-09,6995.0,Traps
233,2021-06-10,8608.0,Traps
234,2021-06-11,8608.0,Traps
235,2021-06-12,8608.0,Traps
236,2021-06-13,8608.0,Traps
237,2021-06-14,8608.0,Traps
238,2021-06-15,9575.0,Traps
239,2021-06-16,9575.0,Traps
240,2021-06-17,11547.0,Traps
241,2021-06-18,9068.0,Traps
242,2021-06-19,9068.0,Traps
243,2021-06-20,11061.0,Traps
244,2021-06-21,11061.0,Traps
245,2021-06-22,5584.0,Traps
246,2021-06-23,5584.0,Traps
247,2021-06-24,5584.0,Traps
248,2021-06-25,8929.0,Traps
249,2021-06-26,8929.0,Traps
250,2021-06-27,19974.0,Traps
251,2021-06-28,22367.0,Traps
252,2021-06-29,22367.0,Traps
253,2021-06-30,27733.0,Traps
254,2021-07-01,25182.0,Traps
255,2021-07-02,25182.0,Traps
256,2021-07-03,25182.0,Traps
257,2021-07-04,24152.0,Traps
258,2021-07-05,24152.0,Traps
259,2021-07-06,24152.0,Traps
260,2021-07-07,34485.0,Traps
261,2021-07-08,34485.0,Traps
262,2021-07-09,28704.0,Traps
263,2021-07-10,28704.0,Traps
264,2021-07-11,58495.0,Traps
