,date,value,name_B07PRYHKCY
0,2019-04-20,127117.0,Sheet & Pillowcase Sets
1,2019-04-21,127117.0,Sheet & Pillowcase Sets
2,2019-04-22,127117.0,Sheet & Pillowcase Sets
3,2019-04-23,102832.0,Sheet & Pillowcase Sets
4,2019-04-24,102832.0,Sheet & Pillowcase Sets
5,2019-04-25,102832.0,Sheet & Pillowcase Sets
6,2019-04-26,97814.0,Sheet & Pillowcase Sets
7,2019-04-27,97814.0,Sheet & Pillowcase Sets
8,2019-04-28,97814.0,Sheet & Pillowcase Sets
9,2019-04-29,66348.0,Sheet & Pillowcase Sets
10,2019-04-30,66348.0,Sheet & Pillowcase Sets
11,2019-05-01,66348.0,Sheet & Pillowcase Sets
12,2019-05-02,46852.0,Sheet & Pillowcase Sets
13,2019-05-03,46852.0,Sheet & Pillowcase Sets
14,2019-05-04,44710.0,Sheet & Pillowcase Sets
15,2019-05-05,44710.0,Sheet & Pillowcase Sets
16,2019-05-06,44710.0,Sheet & Pillowcase Sets
17,2019-05-07,44710.0,Sheet & Pillowcase Sets
18,2019-05-08,44710.0,Sheet & Pillowcase Sets
19,2019-05-09,44710.0,Sheet & Pillowcase Sets
20,2019-05-10,44710.0,Sheet & Pillowcase Sets
21,2019-05-11,44710.0,Sheet & Pillowcase Sets
22,2019-05-12,44710.0,Sheet & Pillowcase Sets
23,2019-05-13,44710.0,Sheet & Pillowcase Sets
24,2019-05-14,44710.0,Sheet & Pillowcase Sets
25,2019-05-15,44710.0,Sheet & Pillowcase Sets
26,2019-05-16,44710.0,Sheet & Pillowcase Sets
27,2019-05-17,44710.0,Sheet & Pillowcase Sets
28,2019-05-18,9084.0,Sheet & Pillowcase Sets
29,2019-05-19,9084.0,Sheet & Pillowcase Sets
30,2019-05-20,15174.0,Sheet & Pillowcase Sets
31,2019-05-21,18649.0,Sheet & Pillowcase Sets
32,2019-05-22,18649.0,Sheet & Pillowcase Sets
33,2019-05-23,14190.0,Sheet & Pillowcase Sets
34,2019-05-24,14190.0,Sheet & Pillowcase Sets
35,2019-05-25,14190.0,Sheet & Pillowcase Sets
36,2019-05-26,14190.0,Sheet & Pillowcase Sets
37,2019-05-27,14190.0,Sheet & Pillowcase Sets
38,2019-05-28,14190.0,Sheet & Pillowcase Sets
39,2019-05-29,14998.0,Sheet & Pillowcase Sets
40,2019-05-30,14998.0,Sheet & Pillowcase Sets
41,2019-05-31,7479.0,Sheet & Pillowcase Sets
42,2019-06-01,9352.0,Sheet & Pillowcase Sets
43,2019-06-02,9352.0,Sheet & Pillowcase Sets
44,2019-06-03,11344.0,Sheet & Pillowcase Sets
45,2019-06-04,6193.0,Sheet & Pillowcase Sets
46,2019-06-05,10809.0,Sheet & Pillowcase Sets
47,2019-06-06,10809.0,Sheet & Pillowcase Sets
48,2019-06-07,10809.0,Sheet & Pillowcase Sets
49,2019-06-08,10809.0,Sheet & Pillowcase Sets
50,2019-06-09,10809.0,Sheet & Pillowcase Sets
51,2019-06-10,13961.0,Sheet & Pillowcase Sets
52,2019-06-11,10601.0,Sheet & Pillowcase Sets
53,2019-06-12,10601.0,Sheet & Pillowcase Sets
54,2019-06-13,10601.0,Sheet & Pillowcase Sets
55,2019-06-14,15501.0,Sheet & Pillowcase Sets
56,2019-06-15,15501.0,Sheet & Pillowcase Sets
57,2019-06-16,15501.0,Sheet & Pillowcase Sets
58,2019-06-17,21686.0,Sheet & Pillowcase Sets
59,2019-06-18,20359.0,Sheet & Pillowcase Sets
60,2019-06-19,19528.0,Sheet & Pillowcase Sets
61,2019-06-20,18512.0,Sheet & Pillowcase Sets
62,2019-06-21,12135.0,Sheet & Pillowcase Sets
63,2019-06-22,12135.0,Sheet & Pillowcase Sets
64,2019-06-23,6870.0,Sheet & Pillowcase Sets
65,2019-06-24,6870.0,Sheet & Pillowcase Sets
66,2019-06-25,14057.0,Sheet & Pillowcase Sets
67,2019-06-26,14057.0,Sheet & Pillowcase Sets
68,2019-06-27,18037.0,Sheet & Pillowcase Sets
69,2019-06-28,18037.0,Sheet & Pillowcase Sets
70,2019-06-29,18037.0,Sheet & Pillowcase Sets
71,2019-06-30,18037.0,Sheet & Pillowcase Sets
72,2019-07-01,18037.0,Sheet & Pillowcase Sets
73,2019-07-02,18692.0,Sheet & Pillowcase Sets
74,2019-07-03,18692.0,Sheet & Pillowcase Sets
75,2019-07-04,18692.0,Sheet & Pillowcase Sets
76,2019-07-05,18692.0,Sheet & Pillowcase Sets
77,2019-07-06,18692.0,Sheet & Pillowcase Sets
78,2019-07-07,18692.0,Sheet & Pillowcase Sets
79,2019-07-08,18692.0,Sheet & Pillowcase Sets
80,2019-07-09,13320.0,Sheet & Pillowcase Sets
81,2019-07-10,13320.0,Sheet & Pillowcase Sets
82,2019-07-11,13320.0,Sheet & Pillowcase Sets
83,2019-07-12,13320.0,Sheet & Pillowcase Sets
84,2019-07-13,13320.0,Sheet & Pillowcase Sets
85,2019-07-14,13320.0,Sheet & Pillowcase Sets
86,2019-07-15,13320.0,Sheet & Pillowcase Sets
87,2019-07-16,13320.0,Sheet & Pillowcase Sets
88,2019-07-17,15860.0,Sheet & Pillowcase Sets
89,2019-07-18,15860.0,Sheet & Pillowcase Sets
90,2019-07-19,15860.0,Sheet & Pillowcase Sets
91,2019-07-20,15860.0,Sheet & Pillowcase Sets
92,2019-07-21,15860.0,Sheet & Pillowcase Sets
93,2019-07-22,15860.0,Sheet & Pillowcase Sets
94,2019-07-23,15860.0,Sheet & Pillowcase Sets
95,2019-07-24,15860.0,Sheet & Pillowcase Sets
96,2019-07-25,15860.0,Sheet & Pillowcase Sets
97,2019-07-26,12296.0,Sheet & Pillowcase Sets
98,2019-07-27,12296.0,Sheet & Pillowcase Sets
99,2019-07-28,10970.0,Sheet & Pillowcase Sets
100,2019-07-29,10970.0,Sheet & Pillowcase Sets
101,2019-07-30,11791.0,Sheet & Pillowcase Sets
102,2019-07-31,9704.0,Sheet & Pillowcase Sets
103,2019-08-01,8982.0,Sheet & Pillowcase Sets
104,2019-08-02,8536.0,Sheet & Pillowcase Sets
105,2019-08-03,10766.0,Sheet & Pillowcase Sets
106,2019-08-04,9462.0,Sheet & Pillowcase Sets
107,2019-08-05,9462.0,Sheet & Pillowcase Sets
108,2019-08-06,9745.0,Sheet & Pillowcase Sets
109,2019-08-07,9901.0,Sheet & Pillowcase Sets
110,2019-08-08,9901.0,Sheet & Pillowcase Sets
111,2019-08-09,9901.0,Sheet & Pillowcase Sets
112,2019-08-10,7360.0,Sheet & Pillowcase Sets
113,2019-08-11,11195.0,Sheet & Pillowcase Sets
114,2019-08-12,5205.0,Sheet & Pillowcase Sets
115,2019-08-13,8367.0,Sheet & Pillowcase Sets
116,2019-08-14,8367.0,Sheet & Pillowcase Sets
