,date,value,name_B08KF2XD2B
0,2020-10-04,4311.0,Lines & Spools
1,2020-10-05,4311.0,Lines & Spools
2,2020-10-06,4311.0,Lines & Spools
3,2020-10-07,4152.0,Lines & Spools
4,2020-10-08,4152.0,Lines & Spools
5,2020-10-09,4152.0,Lines & Spools
6,2020-10-10,4314.0,Lines & Spools
7,2020-10-11,4314.0,Lines & Spools
8,2020-10-12,4314.0,Lines & Spools
9,2020-10-13,6977.0,Lines & Spools
10,2020-10-14,6977.0,Lines & Spools
11,2020-10-15,6977.0,Lines & Spools
12,2020-10-16,6977.0,Lines & Spools
13,2020-10-17,5965.0,Lines & Spools
14,2020-10-18,1781.0,Lines & Spools
15,2020-10-19,1781.0,Lines & Spools
16,2020-10-20,1781.0,Lines & Spools
17,2020-10-21,1886.0,Lines & Spools
18,2020-10-22,1892.0,Lines & Spools
19,2020-10-23,1892.0,Lines & Spools
20,2020-10-24,1892.0,Lines & Spools
21,2020-10-25,1978.0,Lines & Spools
22,2020-10-26,1978.0,Lines & Spools
23,2020-10-27,2816.0,Lines & Spools
24,2020-10-28,2778.0,Lines & Spools
25,2020-10-29,2778.0,Lines & Spools
26,2020-10-30,2778.0,Lines & Spools
27,2020-10-31,3077.0,Lines & Spools
28,2020-11-01,3077.0,Lines & Spools
29,2020-11-02,2836.0,Lines & Spools
30,2020-11-03,2836.0,Lines & Spools
31,2020-11-04,2836.0,Lines & Spools
32,2020-11-05,3096.0,Lines & Spools
33,2020-11-06,3564.0,Lines & Spools
34,2020-11-07,3564.0,Lines & Spools
35,2020-11-08,3564.0,Lines & Spools
36,2020-11-09,2574.0,Lines & Spools
37,2020-11-10,2574.0,Lines & Spools
38,2020-11-11,3104.0,Lines & Spools
39,2020-11-12,3477.0,Lines & Spools
40,2020-11-13,3477.0,Lines & Spools
41,2020-11-14,255.0,Lines & Spools
42,2020-11-15,107.0,Lines & Spools
43,2020-11-16,213.0,Lines & Spools
44,2020-11-17,232.0,Lines & Spools
45,2020-11-18,614.0,Lines & Spools
46,2020-11-19,898.0,Lines & Spools
47,2020-11-20,898.0,Lines & Spools
48,2020-11-21,898.0,Lines & Spools
49,2020-11-22,898.0,Lines & Spools
50,2020-11-23,3419.0,Lines & Spools
51,2020-11-24,2915.0,Lines & Spools
52,2020-11-25,3784.0,Lines & Spools
53,2020-11-26,2448.0,Lines & Spools
54,2020-11-27,3879.0,Lines & Spools
55,2020-11-28,3879.0,Lines & Spools
56,2020-11-29,5348.0,Lines & Spools
57,2020-11-30,5348.0,Lines & Spools
58,2020-12-01,6833.0,Lines & Spools
59,2020-12-02,6833.0,Lines & Spools
60,2020-12-03,6833.0,Lines & Spools
61,2020-12-04,6833.0,Lines & Spools
62,2020-12-05,5922.0,Lines & Spools
63,2020-12-06,5922.0,Lines & Spools
64,2020-12-07,7502.0,Lines & Spools
65,2020-12-08,5858.0,Lines & Spools
66,2020-12-09,5858.0,Lines & Spools
67,2020-12-10,4052.0,Lines & Spools
68,2020-12-11,4730.0,Lines & Spools
69,2020-12-12,5988.0,Lines & Spools
70,2020-12-13,6038.0,Lines & Spools
71,2020-12-14,5732.0,Lines & Spools
72,2020-12-15,6913.0,Lines & Spools
73,2020-12-16,8794.0,Lines & Spools
74,2020-12-17,10219.0,Lines & Spools
75,2020-12-18,12849.0,Lines & Spools
76,2020-12-19,12849.0,Lines & Spools
77,2020-12-20,8158.0,Lines & Spools
78,2020-12-21,6597.0,Lines & Spools
79,2020-12-22,6597.0,Lines & Spools
80,2020-12-23,6983.0,Lines & Spools
