,date,value,name_B01M98YYA9
0,2020-05-26,11029.0,Vest Harnesses
1,2020-05-27,8350.0,Vest Harnesses
2,2020-05-28,8350.0,Vest Harnesses
3,2020-05-29,8350.0,Vest Harnesses
4,2020-05-30,8350.0,Vest Harnesses
5,2020-05-31,8350.0,Vest Harnesses
6,2020-06-01,8350.0,Vest Harnesses
7,2020-06-02,6260.0,Vest Harnesses
8,2020-06-03,6260.0,Vest Harnesses
9,2020-06-04,6260.0,Vest Harnesses
10,2020-06-05,6248.0,Vest Harnesses
11,2020-06-06,6248.0,Vest Harnesses
12,2020-06-07,6248.0,Vest Harnesses
13,2020-06-08,6248.0,Vest Harnesses
14,2020-06-09,6248.0,Vest Harnesses
15,2020-06-10,4934.0,Vest Harnesses
16,2020-06-11,4934.0,Vest Harnesses
17,2020-06-12,4649.0,Vest Harnesses
18,2020-06-13,4297.0,Vest Harnesses
19,2020-06-14,4297.0,Vest Harnesses
20,2020-06-15,4297.0,Vest Harnesses
21,2020-06-16,4297.0,Vest Harnesses
22,2020-06-17,4878.0,Vest Harnesses
23,2020-06-18,4494.0,Vest Harnesses
24,2020-06-19,4494.0,Vest Harnesses
25,2020-06-20,4494.0,Vest Harnesses
26,2020-06-21,4325.0,Vest Harnesses
27,2020-06-22,4325.0,Vest Harnesses
28,2020-06-23,5040.0,Vest Harnesses
29,2020-06-24,5040.0,Vest Harnesses
30,2020-06-25,5040.0,Vest Harnesses
31,2020-06-26,4059.0,Vest Harnesses
32,2020-06-27,4059.0,Vest Harnesses
33,2020-06-28,4059.0,Vest Harnesses
34,2020-06-29,4366.0,Vest Harnesses
35,2020-06-30,3935.0,Vest Harnesses
36,2020-07-01,3935.0,Vest Harnesses
37,2020-07-02,4190.0,Vest Harnesses
38,2020-07-03,5846.0,Vest Harnesses
39,2020-07-04,5846.0,Vest Harnesses
40,2020-07-05,7062.0,Vest Harnesses
41,2020-07-06,6276.0,Vest Harnesses
42,2020-07-07,5859.0,Vest Harnesses
43,2020-07-08,4427.0,Vest Harnesses
44,2020-07-09,4427.0,Vest Harnesses
45,2020-07-10,6178.0,Vest Harnesses
46,2020-07-11,6789.0,Vest Harnesses
47,2020-07-12,5690.0,Vest Harnesses
