,date,value,name_B08DS8FWTJ
0,2020-09-03,14243.0,Play Tents & Tunnels
1,2020-09-04,14243.0,Play Tents & Tunnels
2,2020-09-05,14243.0,Play Tents & Tunnels
3,2020-09-06,17810.0,Play Tents & Tunnels
4,2020-09-07,17810.0,Play Tents & Tunnels
5,2020-09-08,17810.0,Play Tents & Tunnels
6,2020-09-09,17810.0,Play Tents & Tunnels
7,2020-09-10,16761.0,Play Tents & Tunnels
8,2020-09-11,30918.0,Play Tents & Tunnels
9,2020-09-12,30918.0,Play Tents & Tunnels
10,2020-09-13,30918.0,Play Tents & Tunnels
11,2020-09-14,14877.0,Play Tents & Tunnels
12,2020-09-15,14877.0,Play Tents & Tunnels
13,2020-09-16,9434.0,Play Tents & Tunnels
14,2020-09-17,30205.0,Play Tents & Tunnels
15,2020-09-18,30205.0,Play Tents & Tunnels
16,2020-09-19,30205.0,Play Tents & Tunnels
17,2020-09-20,30205.0,Play Tents & Tunnels
18,2020-09-21,30205.0,Play Tents & Tunnels
19,2020-09-22,30205.0,Play Tents & Tunnels
20,2020-09-23,30205.0,Play Tents & Tunnels
21,2020-09-24,32921.0,Play Tents & Tunnels
22,2020-09-25,32921.0,Play Tents & Tunnels
23,2020-09-26,32921.0,Play Tents & Tunnels
24,2020-09-27,19212.0,Play Tents & Tunnels
25,2020-09-28,19212.0,Play Tents & Tunnels
26,2020-09-29,19212.0,Play Tents & Tunnels
27,2020-09-30,15452.0,Play Tents & Tunnels
28,2020-10-01,18171.0,Play Tents & Tunnels
29,2020-10-02,18171.0,Play Tents & Tunnels
30,2020-10-03,18171.0,Play Tents & Tunnels
31,2020-10-04,25823.0,Play Tents & Tunnels
32,2020-10-05,25823.0,Play Tents & Tunnels
33,2020-10-06,25823.0,Play Tents & Tunnels
34,2020-10-07,22416.0,Play Tents & Tunnels
35,2020-10-08,22416.0,Play Tents & Tunnels
36,2020-10-09,22416.0,Play Tents & Tunnels
37,2020-10-10,22416.0,Play Tents & Tunnels
38,2020-10-11,14128.0,Play Tents & Tunnels
39,2020-10-12,14128.0,Play Tents & Tunnels
40,2020-10-13,22381.0,Play Tents & Tunnels
41,2020-10-14,22381.0,Play Tents & Tunnels
42,2020-10-15,15042.0,Play Tents & Tunnels
43,2020-10-16,15042.0,Play Tents & Tunnels
44,2020-10-17,15042.0,Play Tents & Tunnels
45,2020-10-18,23141.0,Play Tents & Tunnels
46,2020-10-19,23141.0,Play Tents & Tunnels
47,2020-10-20,23141.0,Play Tents & Tunnels
48,2020-10-21,19157.0,Play Tents & Tunnels
