,date,value,name_B08HQYLL71
0,2020-09-11,65043.0,Wall Calendars
1,2020-09-12,60599.0,Wall Calendars
2,2020-09-13,87439.0,Wall Calendars
3,2020-09-14,95966.0,Wall Calendars
4,2020-09-15,88728.0,Wall Calendars
5,2020-09-16,69419.0,Wall Calendars
6,2020-09-17,129205.0,Wall Calendars
7,2020-09-18,142337.0,Wall Calendars
8,2020-09-19,157900.0,Wall Calendars
9,2020-09-20,105715.0,Wall Calendars
10,2020-09-21,87345.0,Wall Calendars
11,2020-09-22,104013.0,Wall Calendars
12,2020-09-23,60737.0,Wall Calendars
13,2020-09-24,88794.0,Wall Calendars
14,2020-09-25,120362.0,Wall Calendars
15,2020-09-26,41853.0,Wall Calendars
16,2020-09-27,41073.0,Wall Calendars
17,2020-09-28,60804.0,Wall Calendars
18,2020-09-29,44728.0,Wall Calendars
19,2020-09-30,62226.0,Wall Calendars
20,2020-10-01,81365.0,Wall Calendars
21,2020-10-02,71606.0,Wall Calendars
22,2020-10-03,38333.0,Wall Calendars
23,2020-10-04,28139.0,Wall Calendars
24,2020-10-05,29578.0,Wall Calendars
25,2020-10-06,47408.0,Wall Calendars
26,2020-10-07,46695.0,Wall Calendars
27,2020-10-08,37553.0,Wall Calendars
28,2020-10-09,42976.0,Wall Calendars
29,2020-10-10,37123.0,Wall Calendars
30,2020-10-11,48968.0,Wall Calendars
31,2020-10-12,36054.0,Wall Calendars
32,2020-10-13,54775.0,Wall Calendars
33,2020-10-14,76880.0,Wall Calendars
34,2020-10-15,38994.0,Wall Calendars
35,2020-10-16,56318.0,Wall Calendars
36,2020-10-17,68783.0,Wall Calendars
37,2020-10-18,81765.0,Wall Calendars
38,2020-10-19,55024.0,Wall Calendars
39,2020-10-20,35662.0,Wall Calendars
40,2020-10-21,34370.0,Wall Calendars
41,2020-10-22,32899.0,Wall Calendars
42,2020-10-23,28935.0,Wall Calendars
43,2020-10-24,26650.0,Wall Calendars
44,2020-10-25,24905.0,Wall Calendars
45,2020-10-26,25747.0,Wall Calendars
46,2020-10-27,38352.0,Wall Calendars
47,2020-10-28,30940.0,Wall Calendars
48,2020-10-29,38762.0,Wall Calendars
49,2020-10-30,31465.0,Wall Calendars
50,2020-10-31,26468.0,Wall Calendars
51,2020-11-01,27669.0,Wall Calendars
52,2020-11-02,18611.0,Wall Calendars
53,2020-11-03,19176.0,Wall Calendars
54,2020-11-04,18216.0,Wall Calendars
55,2020-11-05,26915.0,Wall Calendars
56,2020-11-06,31035.0,Wall Calendars
57,2020-11-07,24101.0,Wall Calendars
58,2020-11-08,21556.0,Wall Calendars
59,2020-11-09,19751.0,Wall Calendars
60,2020-11-10,30860.0,Wall Calendars
61,2020-11-11,31921.0,Wall Calendars
62,2020-11-12,23550.0,Wall Calendars
63,2020-11-13,26031.0,Wall Calendars
64,2020-11-14,33597.0,Wall Calendars
65,2020-11-15,31329.0,Wall Calendars
66,2020-11-16,21401.0,Wall Calendars
67,2020-11-17,21846.0,Wall Calendars
68,2020-11-18,22601.0,Wall Calendars
69,2020-11-19,15171.0,Wall Calendars
70,2020-11-20,11683.0,Wall Calendars
71,2020-11-21,18944.0,Wall Calendars
72,2020-11-22,16106.0,Wall Calendars
73,2020-11-23,17122.0,Wall Calendars
74,2020-11-24,19417.0,Wall Calendars
75,2020-11-25,19175.0,Wall Calendars
76,2020-11-26,22707.0,Wall Calendars
77,2020-11-27,13701.0,Wall Calendars
78,2020-11-28,14027.0,Wall Calendars
79,2020-11-29,16735.0,Wall Calendars
80,2020-11-30,14593.0,Wall Calendars
81,2020-12-01,15054.0,Wall Calendars
82,2020-12-02,14506.0,Wall Calendars
83,2020-12-03,15197.0,Wall Calendars
84,2020-12-04,13004.0,Wall Calendars
85,2020-12-05,11021.0,Wall Calendars
86,2020-12-06,10033.0,Wall Calendars
87,2020-12-07,11744.0,Wall Calendars
88,2020-12-08,10950.0,Wall Calendars
89,2020-12-09,13024.0,Wall Calendars
90,2020-12-10,11437.0,Wall Calendars
91,2020-12-11,10653.0,Wall Calendars
92,2020-12-12,10361.0,Wall Calendars
93,2020-12-13,10724.0,Wall Calendars
94,2020-12-14,10140.0,Wall Calendars
95,2020-12-15,10963.0,Wall Calendars
96,2020-12-16,9372.0,Wall Calendars
97,2020-12-17,11365.0,Wall Calendars
98,2020-12-18,11838.0,Wall Calendars
99,2020-12-19,12088.0,Wall Calendars
100,2020-12-20,10128.0,Wall Calendars
101,2020-12-21,20811.0,Wall Calendars
102,2020-12-22,28322.0,Wall Calendars
103,2020-12-23,35858.0,Wall Calendars
104,2020-12-24,39627.0,Wall Calendars
105,2020-12-25,40575.0,Wall Calendars
106,2020-12-26,30094.0,Wall Calendars
107,2020-12-27,27608.0,Wall Calendars
108,2020-12-28,53848.0,Wall Calendars
109,2020-12-29,53848.0,Wall Calendars
110,2020-12-30,53848.0,Wall Calendars
111,2020-12-31,53848.0,Wall Calendars
112,2021-01-01,53848.0,Wall Calendars
113,2021-01-02,71094.0,Wall Calendars
114,2021-01-03,71094.0,Wall Calendars
115,2021-01-04,81231.0,Wall Calendars
116,2021-01-05,81231.0,Wall Calendars
117,2021-01-06,117866.0,Wall Calendars
118,2021-01-07,117866.0,Wall Calendars
119,2021-01-08,117866.0,Wall Calendars
120,2021-01-09,114933.0,Wall Calendars
121,2021-01-10,114933.0,Wall Calendars
122,2021-01-11,114933.0,Wall Calendars
123,2021-01-12,114933.0,Wall Calendars
124,2021-01-13,114933.0,Wall Calendars
125,2021-01-14,136714.0,Wall Calendars
126,2021-01-15,139838.0,Wall Calendars
127,2021-01-16,139838.0,Wall Calendars
128,2021-01-17,139838.0,Wall Calendars
