,date,value,name_B07HFG1LRJ
0,2020-05-26,59047.0,Teeth Whitening
1,2020-05-27,46799.0,Teeth Whitening
2,2020-05-28,46799.0,Teeth Whitening
3,2020-05-29,46799.0,Teeth Whitening
4,2020-05-30,46799.0,Teeth Whitening
5,2020-05-31,46799.0,Teeth Whitening
6,2020-06-01,46799.0,Teeth Whitening
7,2020-06-02,46799.0,Teeth Whitening
8,2020-06-03,67173.0,Teeth Whitening
9,2020-06-04,67173.0,Teeth Whitening
10,2020-06-05,67173.0,Teeth Whitening
11,2020-06-06,67173.0,Teeth Whitening
12,2020-06-07,67173.0,Teeth Whitening
13,2020-06-08,67173.0,Teeth Whitening
14,2020-06-09,67173.0,Teeth Whitening
15,2020-06-10,67173.0,Teeth Whitening
16,2020-06-11,67173.0,Teeth Whitening
17,2020-06-12,67173.0,Teeth Whitening
18,2020-06-13,67173.0,Teeth Whitening
19,2020-06-14,67173.0,Teeth Whitening
20,2020-06-15,55416.0,Teeth Whitening
21,2020-06-16,55416.0,Teeth Whitening
22,2020-06-17,55416.0,Teeth Whitening
23,2020-06-18,55416.0,Teeth Whitening
24,2020-06-19,55416.0,Teeth Whitening
25,2020-06-20,55416.0,Teeth Whitening
26,2020-06-21,55416.0,Teeth Whitening
27,2020-06-22,55416.0,Teeth Whitening
28,2020-06-23,55416.0,Teeth Whitening
29,2020-06-24,55416.0,Teeth Whitening
30,2020-06-25,55416.0,Teeth Whitening
31,2020-06-26,46423.0,Teeth Whitening
32,2020-06-27,38293.0,Teeth Whitening
33,2020-06-28,38293.0,Teeth Whitening
34,2020-06-29,38293.0,Teeth Whitening
35,2020-06-30,38293.0,Teeth Whitening
36,2020-07-01,38293.0,Teeth Whitening
37,2020-07-02,38293.0,Teeth Whitening
38,2020-07-03,38293.0,Teeth Whitening
39,2020-07-04,38293.0,Teeth Whitening
40,2020-07-05,38293.0,Teeth Whitening
41,2020-07-06,51158.0,Teeth Whitening
42,2020-07-07,51158.0,Teeth Whitening
43,2020-07-08,51158.0,Teeth Whitening
44,2020-07-09,51158.0,Teeth Whitening
45,2020-07-10,38072.0,Teeth Whitening
46,2020-07-11,38072.0,Teeth Whitening
47,2020-07-12,38072.0,Teeth Whitening
48,2020-07-13,38072.0,Teeth Whitening
