,date,value,name_B08R7HD2BR
0,2021-03-29,41994.0,Baby & Toddler Toys
1,2021-03-30,41994.0,Baby & Toddler Toys
2,2021-03-31,19420.0,Baby & Toddler Toys
3,2021-04-01,19420.0,Baby & Toddler Toys
4,2021-04-02,19420.0,Baby & Toddler Toys
5,2021-04-03,19420.0,Baby & Toddler Toys
6,2021-04-04,19420.0,Baby & Toddler Toys
7,2021-04-05,27541.0,Baby & Toddler Toys
8,2021-04-06,27541.0,Baby & Toddler Toys
9,2021-04-07,27541.0,Baby & Toddler Toys
10,2021-04-08,16633.0,Baby & Toddler Toys
11,2021-04-09,16633.0,Baby & Toddler Toys
12,2021-04-10,16633.0,Baby & Toddler Toys
13,2021-04-11,16633.0,Baby & Toddler Toys
14,2021-04-12,40955.0,Baby & Toddler Toys
15,2021-04-13,40955.0,Baby & Toddler Toys
16,2021-04-14,40955.0,Baby & Toddler Toys
17,2021-04-15,40955.0,Baby & Toddler Toys
18,2021-04-16,40936.0,Baby & Toddler Toys
19,2021-04-17,40936.0,Baby & Toddler Toys
20,2021-04-18,40936.0,Baby & Toddler Toys
21,2021-04-19,29549.0,Baby & Toddler Toys
22,2021-04-20,29549.0,Baby & Toddler Toys
23,2021-04-21,63692.0,Baby & Toddler Toys
24,2021-04-22,63692.0,Baby & Toddler Toys
25,2021-04-23,63692.0,Baby & Toddler Toys
26,2021-04-24,63692.0,Baby & Toddler Toys
27,2021-04-25,63692.0,Baby & Toddler Toys
28,2021-04-26,97376.0,Baby & Toddler Toys
29,2021-04-27,97376.0,Baby & Toddler Toys
30,2021-04-28,97376.0,Baby & Toddler Toys
31,2021-04-29,48912.0,Baby & Toddler Toys
32,2021-04-30,48912.0,Baby & Toddler Toys
33,2021-05-01,48912.0,Baby & Toddler Toys
34,2021-05-02,48912.0,Baby & Toddler Toys
35,2021-05-03,80777.0,Baby & Toddler Toys
36,2021-05-04,80777.0,Baby & Toddler Toys
37,2021-05-05,80777.0,Baby & Toddler Toys
38,2021-05-06,80777.0,Baby & Toddler Toys
39,2021-05-07,37990.0,Baby & Toddler Toys
40,2021-05-08,37990.0,Baby & Toddler Toys
41,2021-05-09,37990.0,Baby & Toddler Toys
42,2021-05-10,36837.0,Baby & Toddler Toys
43,2021-05-11,28872.0,Baby & Toddler Toys
44,2021-05-12,28872.0,Baby & Toddler Toys
45,2021-05-13,28872.0,Baby & Toddler Toys
46,2021-05-14,26719.0,Baby & Toddler Toys
47,2021-05-15,26719.0,Baby & Toddler Toys
48,2021-05-16,26719.0,Baby & Toddler Toys
49,2021-05-17,26719.0,Baby & Toddler Toys
50,2021-05-18,26719.0,Baby & Toddler Toys
51,2021-05-19,15729.0,Baby & Toddler Toys
52,2021-05-20,22115.0,Baby & Toddler Toys
53,2021-05-21,22115.0,Baby & Toddler Toys
54,2021-05-22,22115.0,Baby & Toddler Toys
55,2021-05-23,22115.0,Baby & Toddler Toys
56,2021-05-24,71398.0,Baby & Toddler Toys
57,2021-05-25,71398.0,Baby & Toddler Toys
58,2021-05-26,71398.0,Baby & Toddler Toys
59,2021-05-27,71398.0,Baby & Toddler Toys
60,2021-05-28,103927.0,Baby & Toddler Toys
61,2021-05-29,103927.0,Baby & Toddler Toys
62,2021-05-30,103927.0,Baby & Toddler Toys
63,2021-05-31,103927.0,Baby & Toddler Toys
64,2021-06-01,103927.0,Baby & Toddler Toys
65,2021-06-02,103927.0,Baby & Toddler Toys
66,2021-06-03,103927.0,Baby & Toddler Toys
67,2021-06-04,208051.0,Baby & Toddler Toys
68,2021-06-05,208051.0,Baby & Toddler Toys
69,2021-06-06,208051.0,Baby & Toddler Toys
70,2021-06-07,208051.0,Baby & Toddler Toys
71,2021-06-08,208051.0,Baby & Toddler Toys
72,2021-06-09,208051.0,Baby & Toddler Toys
73,2021-06-10,208051.0,Baby & Toddler Toys
74,2021-06-11,208051.0,Baby & Toddler Toys
75,2021-06-12,208051.0,Baby & Toddler Toys
76,2021-06-13,208051.0,Baby & Toddler Toys
77,2021-06-14,208051.0,Baby & Toddler Toys
78,2021-06-15,208051.0,Baby & Toddler Toys
79,2021-06-16,111639.0,Baby & Toddler Toys
80,2021-06-17,111639.0,Baby & Toddler Toys
81,2021-06-18,111639.0,Baby & Toddler Toys
82,2021-06-19,111639.0,Baby & Toddler Toys
83,2021-06-20,111639.0,Baby & Toddler Toys
84,2021-06-21,31216.0,Baby & Toddler Toys
85,2021-06-22,31216.0,Baby & Toddler Toys
86,2021-06-23,4488.0,Baby & Toddler Toys
87,2021-06-24,4488.0,Baby & Toddler Toys
88,2021-06-25,4397.0,Baby & Toddler Toys
89,2021-06-26,4397.0,Baby & Toddler Toys
90,2021-06-27,4397.0,Baby & Toddler Toys
91,2021-06-28,3412.0,Baby & Toddler Toys
92,2021-06-29,2801.0,Baby & Toddler Toys
93,2021-06-30,2801.0,Baby & Toddler Toys
94,2021-07-01,4141.0,Baby & Toddler Toys
95,2021-07-02,4141.0,Baby & Toddler Toys
96,2021-07-03,4141.0,Baby & Toddler Toys
97,2021-07-04,2956.0,Baby & Toddler Toys
98,2021-07-05,2524.0,Baby & Toddler Toys
99,2021-07-06,2524.0,Baby & Toddler Toys
100,2021-07-07,2345.0,Baby & Toddler Toys
101,2021-07-08,2345.0,Baby & Toddler Toys
102,2021-07-09,7261.0,Baby & Toddler Toys
