,date,value,name_B01MS1OWYR
0,2018-07-10,41738.0,Weather Stations
1,2018-07-11,50019.0,Weather Stations
2,2018-07-12,45710.0,Weather Stations
3,2018-07-13,59481.0,Weather Stations
4,2018-07-14,59481.0,Weather Stations
5,2018-07-15,42412.0,Weather Stations
6,2018-07-16,42412.0,Weather Stations
7,2018-07-17,42412.0,Weather Stations
8,2018-07-18,42412.0,Weather Stations
9,2018-07-19,54911.0,Weather Stations
10,2018-07-20,71832.0,Weather Stations
11,2018-07-21,43233.0,Weather Stations
12,2018-07-22,32350.0,Weather Stations
13,2018-07-23,38777.0,Weather Stations
14,2018-07-24,61565.0,Weather Stations
15,2018-07-25,40018.0,Weather Stations
16,2018-07-26,40018.0,Weather Stations
17,2018-07-27,45340.0,Weather Stations
18,2018-07-28,41138.0,Weather Stations
19,2018-07-29,32094.0,Weather Stations
20,2018-07-30,32094.0,Weather Stations
21,2018-07-31,39771.0,Weather Stations
22,2018-08-01,36970.0,Weather Stations
23,2018-08-02,29047.0,Weather Stations
24,2018-08-03,24972.0,Weather Stations
25,2018-08-04,31682.0,Weather Stations
26,2018-08-05,31682.0,Weather Stations
27,2018-08-06,31682.0,Weather Stations
28,2018-08-07,31682.0,Weather Stations
29,2018-08-08,31682.0,Weather Stations
30,2018-08-09,31682.0,Weather Stations
31,2018-08-10,33399.0,Weather Stations
32,2018-08-11,33399.0,Weather Stations
33,2018-08-12,33399.0,Weather Stations
34,2018-08-13,23088.0,Weather Stations
35,2018-08-14,29097.0,Weather Stations
36,2018-08-15,26076.0,Weather Stations
37,2018-08-16,28411.0,Weather Stations
38,2018-08-17,28411.0,Weather Stations
39,2018-08-18,28411.0,Weather Stations
40,2018-08-19,28411.0,Weather Stations
41,2018-08-20,28411.0,Weather Stations
42,2018-08-21,29069.0,Weather Stations
43,2018-08-22,28249.0,Weather Stations
44,2018-08-23,28249.0,Weather Stations
45,2018-08-24,28249.0,Weather Stations
46,2018-08-25,28249.0,Weather Stations
47,2018-08-26,28249.0,Weather Stations
48,2018-08-27,28249.0,Weather Stations
49,2018-08-28,16949.0,Weather Stations
50,2018-08-29,20134.0,Weather Stations
51,2018-08-30,19331.0,Weather Stations
52,2018-08-31,20907.0,Weather Stations
53,2018-09-01,20221.0,Weather Stations
54,2018-09-02,15347.0,Weather Stations
55,2018-09-03,15347.0,Weather Stations
56,2018-09-04,19630.0,Weather Stations
57,2018-09-05,19630.0,Weather Stations
58,2018-09-06,19630.0,Weather Stations
59,2018-09-07,21698.0,Weather Stations
60,2018-09-08,16483.0,Weather Stations
61,2018-09-09,17879.0,Weather Stations
62,2018-09-10,26614.0,Weather Stations
63,2018-09-11,38278.0,Weather Stations
64,2018-09-12,38278.0,Weather Stations
65,2018-09-13,38278.0,Weather Stations
66,2018-09-14,41218.0,Weather Stations
67,2018-09-15,41218.0,Weather Stations
68,2018-09-16,39329.0,Weather Stations
69,2018-09-17,45407.0,Weather Stations
70,2018-09-18,46062.0,Weather Stations
71,2018-09-19,40418.0,Weather Stations
72,2018-09-20,64333.0,Weather Stations
73,2018-09-21,43646.0,Weather Stations
74,2018-09-22,43646.0,Weather Stations
75,2018-09-23,44639.0,Weather Stations
76,2018-09-24,56024.0,Weather Stations
77,2018-09-25,49399.0,Weather Stations
78,2018-09-26,82896.0,Weather Stations
79,2018-09-27,82896.0,Weather Stations
80,2018-09-28,45418.0,Weather Stations
81,2018-09-29,45418.0,Weather Stations
82,2018-09-30,45418.0,Weather Stations
83,2018-10-01,55447.0,Weather Stations
84,2018-10-02,64785.0,Weather Stations
85,2018-10-03,44088.0,Weather Stations
86,2018-10-04,41123.0,Weather Stations
87,2018-10-05,37566.0,Weather Stations
88,2018-10-06,37895.0,Weather Stations
89,2018-10-07,37895.0,Weather Stations
90,2018-10-08,37895.0,Weather Stations
91,2018-10-09,47503.0,Weather Stations
92,2018-10-10,47503.0,Weather Stations
93,2018-10-11,42716.0,Weather Stations
94,2018-10-12,42716.0,Weather Stations
95,2018-10-13,37252.0,Weather Stations
96,2018-10-14,37252.0,Weather Stations
97,2018-10-15,37252.0,Weather Stations
98,2018-10-16,24852.0,Weather Stations
99,2018-10-17,24852.0,Weather Stations
100,2018-10-18,33737.0,Weather Stations
101,2018-10-19,22754.0,Weather Stations
102,2018-10-20,22754.0,Weather Stations
103,2018-10-21,21954.0,Weather Stations
104,2018-10-22,21954.0,Weather Stations
105,2018-10-23,21954.0,Weather Stations
106,2018-10-24,21954.0,Weather Stations
107,2018-10-25,21954.0,Weather Stations
108,2018-10-26,21954.0,Weather Stations
109,2018-10-27,21859.0,Weather Stations
110,2018-10-28,31951.0,Weather Stations
111,2018-10-29,31951.0,Weather Stations
112,2018-10-30,31951.0,Weather Stations
113,2018-10-31,29739.0,Weather Stations
114,2018-11-01,28548.0,Weather Stations
115,2018-11-02,28548.0,Weather Stations
116,2018-11-03,28548.0,Weather Stations
117,2018-11-04,28548.0,Weather Stations
118,2018-11-05,28548.0,Weather Stations
119,2018-11-06,28090.0,Weather Stations
120,2018-11-07,28090.0,Weather Stations
121,2018-11-08,28090.0,Weather Stations
122,2018-11-09,28090.0,Weather Stations
123,2018-11-10,28090.0,Weather Stations
124,2018-11-11,11202.0,Weather Stations
125,2018-11-12,18906.0,Weather Stations
126,2018-11-13,18906.0,Weather Stations
127,2018-11-14,22455.0,Weather Stations
128,2018-11-15,25706.0,Weather Stations
129,2018-11-16,29300.0,Weather Stations
130,2018-11-17,29300.0,Weather Stations
131,2018-11-18,29300.0,Weather Stations
132,2018-11-19,29300.0,Weather Stations
133,2018-11-20,42284.0,Weather Stations
134,2018-11-21,42284.0,Weather Stations
135,2018-11-22,34035.0,Weather Stations
136,2018-11-23,34035.0,Weather Stations
137,2018-11-24,34035.0,Weather Stations
138,2018-11-25,18588.0,Weather Stations
139,2018-11-26,14476.0,Weather Stations
140,2018-11-27,11984.0,Weather Stations
141,2018-11-28,13435.0,Weather Stations
142,2018-11-29,13435.0,Weather Stations
143,2018-11-30,16453.0,Weather Stations
144,2018-12-01,16453.0,Weather Stations
145,2018-12-02,16453.0,Weather Stations
146,2018-12-03,12567.0,Weather Stations
147,2018-12-04,12567.0,Weather Stations
148,2018-12-05,15898.0,Weather Stations
149,2018-12-06,8301.0,Weather Stations
150,2018-12-07,8043.0,Weather Stations
151,2018-12-08,8561.0,Weather Stations
152,2018-12-09,8561.0,Weather Stations
153,2018-12-10,5825.0,Weather Stations
154,2018-12-11,5809.0,Weather Stations
155,2018-12-12,5809.0,Weather Stations
156,2018-12-13,4537.0,Weather Stations
157,2018-12-14,4537.0,Weather Stations
158,2018-12-15,4796.0,Weather Stations
159,2018-12-16,4278.0,Weather Stations
160,2018-12-17,4278.0,Weather Stations
161,2018-12-18,2499.0,Weather Stations
162,2018-12-19,3137.0,Weather Stations
163,2018-12-20,3137.0,Weather Stations
164,2018-12-21,4789.0,Weather Stations
165,2018-12-22,4684.0,Weather Stations
166,2018-12-23,6106.0,Weather Stations
167,2018-12-24,7633.0,Weather Stations
168,2018-12-25,8542.0,Weather Stations
