,date,value,name_B08MBYSWJM
0,2020-11-05,3729.0,Throw Pillow Covers
1,2020-11-06,4247.0,Throw Pillow Covers
2,2020-11-07,4247.0,Throw Pillow Covers
3,2020-11-08,4247.0,Throw Pillow Covers
4,2020-11-09,2637.0,Throw Pillow Covers
5,2020-11-10,3500.0,Throw Pillow Covers
6,2020-11-11,3784.0,Throw Pillow Covers
7,2020-11-12,4535.0,Throw Pillow Covers
8,2020-11-13,4535.0,Throw Pillow Covers
9,2020-11-14,4022.0,Throw Pillow Covers
10,2020-11-15,4022.0,Throw Pillow Covers
11,2020-11-16,5002.0,Throw Pillow Covers
12,2020-11-17,5002.0,Throw Pillow Covers
13,2020-11-18,5002.0,Throw Pillow Covers
14,2020-11-19,4663.0,Throw Pillow Covers
15,2020-11-20,4663.0,Throw Pillow Covers
16,2020-11-21,5746.0,Throw Pillow Covers
17,2020-11-22,5746.0,Throw Pillow Covers
18,2020-11-23,6794.0,Throw Pillow Covers
19,2020-11-24,6777.0,Throw Pillow Covers
20,2020-11-25,7522.0,Throw Pillow Covers
21,2020-11-26,9073.0,Throw Pillow Covers
22,2020-11-27,11113.0,Throw Pillow Covers
23,2020-11-28,13347.0,Throw Pillow Covers
24,2020-11-29,2401.0,Throw Pillow Covers
25,2020-11-30,4321.0,Throw Pillow Covers
26,2020-12-01,10383.0,Throw Pillow Covers
27,2020-12-02,10383.0,Throw Pillow Covers
28,2020-12-03,10383.0,Throw Pillow Covers
29,2020-12-04,14995.0,Throw Pillow Covers
30,2020-12-05,14995.0,Throw Pillow Covers
31,2020-12-06,14995.0,Throw Pillow Covers
32,2020-12-07,18654.0,Throw Pillow Covers
33,2020-12-08,18350.0,Throw Pillow Covers
34,2020-12-09,18350.0,Throw Pillow Covers
35,2020-12-10,18350.0,Throw Pillow Covers
36,2020-12-11,13503.0,Throw Pillow Covers
37,2020-12-12,13503.0,Throw Pillow Covers
38,2020-12-13,14095.0,Throw Pillow Covers
39,2020-12-14,14095.0,Throw Pillow Covers
40,2020-12-15,14525.0,Throw Pillow Covers
41,2020-12-16,14525.0,Throw Pillow Covers
42,2020-12-17,14525.0,Throw Pillow Covers
43,2020-12-18,14525.0,Throw Pillow Covers
44,2020-12-19,12205.0,Throw Pillow Covers
45,2020-12-20,8553.0,Throw Pillow Covers
46,2020-12-21,8553.0,Throw Pillow Covers
47,2020-12-22,8755.0,Throw Pillow Covers
48,2020-12-23,8755.0,Throw Pillow Covers
49,2020-12-24,6359.0,Throw Pillow Covers
50,2020-12-25,5984.0,Throw Pillow Covers
51,2020-12-26,6028.0,Throw Pillow Covers
52,2020-12-27,5183.0,Throw Pillow Covers
53,2020-12-28,5192.0,Throw Pillow Covers
54,2020-12-29,5192.0,Throw Pillow Covers
55,2020-12-30,5192.0,Throw Pillow Covers
56,2020-12-31,5192.0,Throw Pillow Covers
57,2021-01-01,6972.0,Throw Pillow Covers
58,2021-01-02,6972.0,Throw Pillow Covers
59,2021-01-03,6972.0,Throw Pillow Covers
60,2021-01-04,6680.0,Throw Pillow Covers
61,2021-01-05,6680.0,Throw Pillow Covers
62,2021-01-06,6680.0,Throw Pillow Covers
63,2021-01-07,6680.0,Throw Pillow Covers
64,2021-01-08,7121.0,Throw Pillow Covers
65,2021-01-09,7242.0,Throw Pillow Covers
66,2021-01-10,7242.0,Throw Pillow Covers
67,2021-01-11,7242.0,Throw Pillow Covers
68,2021-01-12,6241.0,Throw Pillow Covers
69,2021-01-13,7158.0,Throw Pillow Covers
70,2021-01-14,6480.0,Throw Pillow Covers
71,2021-01-15,6480.0,Throw Pillow Covers
72,2021-01-16,6480.0,Throw Pillow Covers
73,2021-01-17,5503.0,Throw Pillow Covers
74,2021-01-18,5320.0,Throw Pillow Covers
75,2021-01-19,5320.0,Throw Pillow Covers
76,2021-01-20,5320.0,Throw Pillow Covers
77,2021-01-21,5692.0,Throw Pillow Covers
78,2021-01-22,5692.0,Throw Pillow Covers
79,2021-01-23,5692.0,Throw Pillow Covers
80,2021-01-24,6217.0,Throw Pillow Covers
81,2021-01-25,6120.0,Throw Pillow Covers
82,2021-01-26,6120.0,Throw Pillow Covers
83,2021-01-27,4397.0,Throw Pillow Covers
84,2021-01-28,4397.0,Throw Pillow Covers
85,2021-01-29,5786.0,Throw Pillow Covers
86,2021-01-30,5786.0,Throw Pillow Covers
87,2021-01-31,3975.0,Throw Pillow Covers
88,2021-02-01,4007.0,Throw Pillow Covers
89,2021-02-02,4007.0,Throw Pillow Covers
