,date,value,name_B0829MPKLQ
0,2019-12-12,7793.0,Gazebos
1,2019-12-13,9895.0,Gazebos
2,2019-12-14,7562.0,Gazebos
3,2019-12-15,5487.0,Gazebos
4,2019-12-16,5622.0,Gazebos
5,2019-12-17,5067.0,Gazebos
6,2019-12-18,5067.0,Gazebos
7,2019-12-19,5067.0,Gazebos
8,2019-12-20,6771.0,Gazebos
9,2019-12-21,6771.0,Gazebos
10,2019-12-22,7262.0,Gazebos
11,2019-12-23,5839.0,Gazebos
12,2019-12-24,5321.0,Gazebos
13,2019-12-25,5321.0,Gazebos
14,2019-12-26,5321.0,Gazebos
15,2019-12-27,5232.0,Gazebos
16,2019-12-28,5232.0,Gazebos
17,2019-12-29,5232.0,Gazebos
18,2019-12-30,3532.0,Gazebos
19,2019-12-31,3532.0,Gazebos
20,2020-01-01,3532.0,Gazebos
21,2020-01-02,5208.0,Gazebos
22,2020-01-03,7153.0,Gazebos
23,2020-01-04,7153.0,Gazebos
24,2020-01-05,7153.0,Gazebos
25,2020-01-06,4570.0,Gazebos
26,2020-01-07,4570.0,Gazebos
27,2020-01-08,5328.0,Gazebos
28,2020-01-09,5328.0,Gazebos
29,2020-01-10,5328.0,Gazebos
30,2020-01-11,4825.0,Gazebos
31,2020-01-12,4825.0,Gazebos
32,2020-01-13,3908.0,Gazebos
33,2020-01-14,3908.0,Gazebos
34,2020-01-15,4286.0,Gazebos
35,2020-01-16,4286.0,Gazebos
36,2020-01-17,4286.0,Gazebos
37,2020-01-18,4286.0,Gazebos
38,2020-01-19,4286.0,Gazebos
39,2020-01-20,2934.0,Gazebos
40,2020-01-21,3331.0,Gazebos
41,2020-01-22,2790.0,Gazebos
42,2020-01-23,2790.0,Gazebos
43,2020-01-24,5079.0,Gazebos
44,2020-01-25,5079.0,Gazebos
45,2020-01-26,3716.0,Gazebos
46,2020-01-27,3716.0,Gazebos
47,2020-01-28,3716.0,Gazebos
48,2020-01-29,3716.0,Gazebos
49,2020-01-30,2517.0,Gazebos
50,2020-01-31,2517.0,Gazebos
51,2020-02-01,2517.0,Gazebos
52,2020-02-02,2517.0,Gazebos
53,2020-02-03,2517.0,Gazebos
54,2020-02-04,2517.0,Gazebos
55,2020-02-05,2517.0,Gazebos
56,2020-02-06,2517.0,Gazebos
57,2020-02-07,2517.0,Gazebos
58,2020-02-08,1978.0,Gazebos
59,2020-02-09,1978.0,Gazebos
60,2020-02-10,1978.0,Gazebos
61,2020-02-11,2738.0,Gazebos
62,2020-02-12,2738.0,Gazebos
