,date,value,name_B08HZ9NYD6
0,2020-10-30,33160.0,Throw Pillow Covers
1,2020-10-31,23696.0,Throw Pillow Covers
2,2020-11-01,23696.0,Throw Pillow Covers
3,2020-11-02,18803.0,Throw Pillow Covers
4,2020-11-03,20773.0,Throw Pillow Covers
5,2020-11-04,17614.0,Throw Pillow Covers
6,2020-11-05,16439.0,Throw Pillow Covers
7,2020-11-06,14249.0,Throw Pillow Covers
8,2020-11-07,14249.0,Throw Pillow Covers
9,2020-11-08,10092.0,Throw Pillow Covers
10,2020-11-09,9920.0,Throw Pillow Covers
11,2020-11-10,10697.0,Throw Pillow Covers
12,2020-11-11,10540.0,Throw Pillow Covers
13,2020-11-12,11443.0,Throw Pillow Covers
14,2020-11-13,13917.0,Throw Pillow Covers
15,2020-11-14,12364.0,Throw Pillow Covers
16,2020-11-15,7044.0,Throw Pillow Covers
17,2020-11-16,9023.0,Throw Pillow Covers
18,2020-11-17,9699.0,Throw Pillow Covers
19,2020-11-18,11790.0,Throw Pillow Covers
20,2020-11-19,11790.0,Throw Pillow Covers
21,2020-11-20,12703.0,Throw Pillow Covers
22,2020-11-21,12703.0,Throw Pillow Covers
23,2020-11-22,10665.0,Throw Pillow Covers
24,2020-11-23,9806.0,Throw Pillow Covers
25,2020-11-24,11187.0,Throw Pillow Covers
26,2020-11-25,11326.0,Throw Pillow Covers
27,2020-11-26,15327.0,Throw Pillow Covers
28,2020-11-27,15327.0,Throw Pillow Covers
29,2020-11-28,15327.0,Throw Pillow Covers
30,2020-11-29,7116.0,Throw Pillow Covers
31,2020-11-30,7116.0,Throw Pillow Covers
32,2020-12-01,8869.0,Throw Pillow Covers
33,2020-12-02,11765.0,Throw Pillow Covers
34,2020-12-03,11765.0,Throw Pillow Covers
35,2020-12-04,11765.0,Throw Pillow Covers
36,2020-12-05,15969.0,Throw Pillow Covers
37,2020-12-06,15969.0,Throw Pillow Covers
38,2020-12-07,14972.0,Throw Pillow Covers
39,2020-12-08,14972.0,Throw Pillow Covers
40,2020-12-09,15529.0,Throw Pillow Covers
41,2020-12-10,15529.0,Throw Pillow Covers
42,2020-12-11,20522.0,Throw Pillow Covers
43,2020-12-12,20522.0,Throw Pillow Covers
44,2020-12-13,17697.0,Throw Pillow Covers
45,2020-12-14,17697.0,Throw Pillow Covers
46,2020-12-15,17697.0,Throw Pillow Covers
47,2020-12-16,18389.0,Throw Pillow Covers
48,2020-12-17,18389.0,Throw Pillow Covers
49,2020-12-18,18976.0,Throw Pillow Covers
50,2020-12-19,18976.0,Throw Pillow Covers
51,2020-12-20,18976.0,Throw Pillow Covers
52,2020-12-21,12642.0,Throw Pillow Covers
53,2020-12-22,13704.0,Throw Pillow Covers
54,2020-12-23,13704.0,Throw Pillow Covers
55,2020-12-24,11699.0,Throw Pillow Covers
