,date,value,name_B08VGFZ5YJ
0,2021-02-13,129884.0,First Aid Kits
1,2021-02-14,106471.0,First Aid Kits
2,2021-02-15,106471.0,First Aid Kits
3,2021-02-16,106471.0,First Aid Kits
4,2021-02-17,106471.0,First Aid Kits
5,2021-02-18,106471.0,First Aid Kits
6,2021-02-19,106471.0,First Aid Kits
7,2021-02-20,106471.0,First Aid Kits
8,2021-02-21,106471.0,First Aid Kits
9,2021-02-22,106471.0,First Aid Kits
10,2021-02-23,108295.0,First Aid Kits
11,2021-02-24,108295.0,First Aid Kits
12,2021-02-25,108295.0,First Aid Kits
13,2021-02-26,108295.0,First Aid Kits
14,2021-02-27,108295.0,First Aid Kits
15,2021-02-28,108295.0,First Aid Kits
16,2021-03-01,108295.0,First Aid Kits
17,2021-03-02,108295.0,First Aid Kits
18,2021-03-03,108295.0,First Aid Kits
19,2021-03-04,108295.0,First Aid Kits
20,2021-03-05,84375.0,First Aid Kits
21,2021-03-06,84375.0,First Aid Kits
22,2021-03-07,84375.0,First Aid Kits
23,2021-03-08,84375.0,First Aid Kits
24,2021-03-09,84375.0,First Aid Kits
25,2021-03-10,84375.0,First Aid Kits
26,2021-03-11,84375.0,First Aid Kits
27,2021-03-12,84375.0,First Aid Kits
28,2021-03-13,84375.0,First Aid Kits
29,2021-03-14,84375.0,First Aid Kits
30,2021-03-15,84375.0,First Aid Kits
31,2021-03-16,84375.0,First Aid Kits
32,2021-03-17,84375.0,First Aid Kits
33,2021-03-18,153030.0,First Aid Kits
34,2021-03-19,153030.0,First Aid Kits
35,2021-03-20,153030.0,First Aid Kits
36,2021-03-21,153030.0,First Aid Kits
37,2021-03-22,153030.0,First Aid Kits
38,2021-03-23,153030.0,First Aid Kits
39,2021-03-24,153030.0,First Aid Kits
40,2021-03-25,153030.0,First Aid Kits
41,2021-03-26,116161.0,First Aid Kits
42,2021-03-27,116161.0,First Aid Kits
43,2021-03-28,116161.0,First Aid Kits
44,2021-03-29,116161.0,First Aid Kits
45,2021-03-30,116161.0,First Aid Kits
46,2021-03-31,95496.0,First Aid Kits
47,2021-04-01,95496.0,First Aid Kits
48,2021-04-02,95496.0,First Aid Kits
49,2021-04-03,95496.0,First Aid Kits
50,2021-04-04,95496.0,First Aid Kits
51,2021-04-05,95496.0,First Aid Kits
52,2021-04-06,95496.0,First Aid Kits
53,2021-04-07,95496.0,First Aid Kits
54,2021-04-08,95496.0,First Aid Kits
55,2021-04-09,95496.0,First Aid Kits
56,2021-04-10,95496.0,First Aid Kits
57,2021-04-11,186331.0,First Aid Kits
58,2021-04-12,186331.0,First Aid Kits
59,2021-04-13,186331.0,First Aid Kits
60,2021-04-14,220022.0,First Aid Kits
61,2021-04-15,220022.0,First Aid Kits
62,2021-04-16,220022.0,First Aid Kits
63,2021-04-17,220022.0,First Aid Kits
64,2021-04-18,220022.0,First Aid Kits
65,2021-04-19,97398.0,First Aid Kits
66,2021-04-20,97398.0,First Aid Kits
67,2021-04-21,148324.0,First Aid Kits
68,2021-04-22,148324.0,First Aid Kits
69,2021-04-23,207052.0,First Aid Kits
70,2021-04-24,207052.0,First Aid Kits
71,2021-04-25,207052.0,First Aid Kits
72,2021-04-26,207052.0,First Aid Kits
73,2021-04-27,148945.0,First Aid Kits
74,2021-04-28,148945.0,First Aid Kits
75,2021-04-29,148945.0,First Aid Kits
76,2021-04-30,148945.0,First Aid Kits
77,2021-05-01,148945.0,First Aid Kits
78,2021-05-02,148945.0,First Aid Kits
79,2021-05-03,148945.0,First Aid Kits
80,2021-05-04,148945.0,First Aid Kits
81,2021-05-05,125093.0,First Aid Kits
82,2021-05-06,125093.0,First Aid Kits
83,2021-05-07,125093.0,First Aid Kits
84,2021-05-08,125093.0,First Aid Kits
85,2021-05-09,125093.0,First Aid Kits
86,2021-05-10,125093.0,First Aid Kits
87,2021-05-11,125093.0,First Aid Kits
88,2021-05-12,125093.0,First Aid Kits
89,2021-05-13,125093.0,First Aid Kits
90,2021-05-14,125093.0,First Aid Kits
91,2021-05-15,125093.0,First Aid Kits
92,2021-05-16,125093.0,First Aid Kits
93,2021-05-17,125093.0,First Aid Kits
94,2021-05-18,125093.0,First Aid Kits
95,2021-05-19,125093.0,First Aid Kits
96,2021-05-20,125093.0,First Aid Kits
97,2021-05-21,100903.0,First Aid Kits
98,2021-05-22,87087.0,First Aid Kits
99,2021-05-23,87087.0,First Aid Kits
100,2021-05-24,87087.0,First Aid Kits
101,2021-05-25,125689.0,First Aid Kits
102,2021-05-26,125689.0,First Aid Kits
103,2021-05-27,125689.0,First Aid Kits
104,2021-05-28,125689.0,First Aid Kits
105,2021-05-29,125689.0,First Aid Kits
106,2021-05-30,125689.0,First Aid Kits
107,2021-05-31,125689.0,First Aid Kits
108,2021-06-01,125689.0,First Aid Kits
109,2021-06-02,125689.0,First Aid Kits
110,2021-06-03,125689.0,First Aid Kits
111,2021-06-04,125689.0,First Aid Kits
112,2021-06-05,125689.0,First Aid Kits
113,2021-06-06,125689.0,First Aid Kits
114,2021-06-07,125689.0,First Aid Kits
115,2021-06-08,125689.0,First Aid Kits
116,2021-06-09,125689.0,First Aid Kits
117,2021-06-10,125689.0,First Aid Kits
118,2021-06-11,59847.0,First Aid Kits
119,2021-06-12,59847.0,First Aid Kits
120,2021-06-13,59847.0,First Aid Kits
121,2021-06-14,59847.0,First Aid Kits
122,2021-06-15,59847.0,First Aid Kits
123,2021-06-16,59847.0,First Aid Kits
124,2021-06-17,49281.0,First Aid Kits
125,2021-06-18,49281.0,First Aid Kits
126,2021-06-19,49281.0,First Aid Kits
127,2021-06-20,49281.0,First Aid Kits
128,2021-06-21,68522.0,First Aid Kits
129,2021-06-22,68522.0,First Aid Kits
130,2021-06-23,68522.0,First Aid Kits
131,2021-06-24,68522.0,First Aid Kits
132,2021-06-25,12129.0,First Aid Kits
133,2021-06-26,12129.0,First Aid Kits
134,2021-06-27,12129.0,First Aid Kits
135,2021-06-28,10210.0,First Aid Kits
136,2021-06-29,11230.0,First Aid Kits
137,2021-06-30,10639.0,First Aid Kits
138,2021-07-01,10639.0,First Aid Kits
139,2021-07-02,9734.0,First Aid Kits
140,2021-07-03,9734.0,First Aid Kits
141,2021-07-04,11909.0,First Aid Kits
142,2021-07-05,8538.0,First Aid Kits
143,2021-07-06,6613.0,First Aid Kits
144,2021-07-07,9186.0,First Aid Kits
145,2021-07-08,9186.0,First Aid Kits
146,2021-07-09,9186.0,First Aid Kits
147,2021-07-10,14982.0,First Aid Kits
148,2021-07-11,11062.0,First Aid Kits
