,date,value,name_B08T95RMZ2
0,2021-01-19,19516.0,Toy Vehicles
1,2021-01-20,19516.0,Toy Vehicles
2,2021-01-21,19516.0,Toy Vehicles
3,2021-01-22,24368.0,Toy Vehicles
4,2021-01-23,15010.0,Toy Vehicles
5,2021-01-24,15010.0,Toy Vehicles
6,2021-01-25,15010.0,Toy Vehicles
7,2021-01-26,18961.0,Toy Vehicles
8,2021-01-27,18961.0,Toy Vehicles
9,2021-01-28,18961.0,Toy Vehicles
10,2021-01-29,18951.0,Toy Vehicles
11,2021-01-30,22615.0,Toy Vehicles
12,2021-01-31,22615.0,Toy Vehicles
13,2021-02-01,19866.0,Toy Vehicles
14,2021-02-02,19866.0,Toy Vehicles
15,2021-02-03,19866.0,Toy Vehicles
16,2021-02-04,20968.0,Toy Vehicles
17,2021-02-05,17655.0,Toy Vehicles
18,2021-02-06,17655.0,Toy Vehicles
19,2021-02-07,17655.0,Toy Vehicles
20,2021-02-08,16466.0,Toy Vehicles
21,2021-02-09,16466.0,Toy Vehicles
22,2021-02-10,16466.0,Toy Vehicles
23,2021-02-11,16466.0,Toy Vehicles
24,2021-02-12,16466.0,Toy Vehicles
25,2021-02-13,16466.0,Toy Vehicles
26,2021-02-14,16466.0,Toy Vehicles
27,2021-02-15,18256.0,Toy Vehicles
28,2021-02-16,18256.0,Toy Vehicles
29,2021-02-17,13709.0,Toy Vehicles
30,2021-02-18,13709.0,Toy Vehicles
31,2021-02-19,12011.0,Toy Vehicles
32,2021-02-20,13494.0,Toy Vehicles
33,2021-02-21,13494.0,Toy Vehicles
34,2021-02-22,11939.0,Toy Vehicles
35,2021-02-23,13783.0,Toy Vehicles
36,2021-02-24,13783.0,Toy Vehicles
37,2021-02-25,10981.0,Toy Vehicles
38,2021-02-26,10981.0,Toy Vehicles
39,2021-02-27,11637.0,Toy Vehicles
40,2021-02-28,11637.0,Toy Vehicles
41,2021-03-01,11637.0,Toy Vehicles
42,2021-03-02,9500.0,Toy Vehicles
43,2021-03-03,9500.0,Toy Vehicles
44,2021-03-04,8228.0,Toy Vehicles
45,2021-03-05,10609.0,Toy Vehicles
46,2021-03-06,11969.0,Toy Vehicles
47,2021-03-07,11969.0,Toy Vehicles
48,2021-03-08,10537.0,Toy Vehicles
49,2021-03-09,10537.0,Toy Vehicles
50,2021-03-10,10862.0,Toy Vehicles
51,2021-03-11,13854.0,Toy Vehicles
52,2021-03-12,13520.0,Toy Vehicles
53,2021-03-13,13520.0,Toy Vehicles
54,2021-03-14,13520.0,Toy Vehicles
55,2021-03-15,15502.0,Toy Vehicles
56,2021-03-16,12080.0,Toy Vehicles
57,2021-03-17,9623.0,Toy Vehicles
58,2021-03-18,11932.0,Toy Vehicles
59,2021-03-19,11932.0,Toy Vehicles
60,2021-03-20,15402.0,Toy Vehicles
61,2021-03-21,15402.0,Toy Vehicles
62,2021-03-22,12803.0,Toy Vehicles
63,2021-03-23,13536.0,Toy Vehicles
64,2021-03-24,13605.0,Toy Vehicles
65,2021-03-25,14457.0,Toy Vehicles
66,2021-03-26,17187.0,Toy Vehicles
67,2021-03-27,20752.0,Toy Vehicles
68,2021-03-28,20752.0,Toy Vehicles
69,2021-03-29,20752.0,Toy Vehicles
70,2021-03-30,20298.0,Toy Vehicles
71,2021-03-31,20298.0,Toy Vehicles
72,2021-04-01,13439.0,Toy Vehicles
73,2021-04-02,16534.0,Toy Vehicles
74,2021-04-03,16534.0,Toy Vehicles
