,date,value,name_B0857BM9XW
0,2020-12-06,5264.0,Itch Remedies
1,2020-12-07,6317.0,Itch Remedies
2,2020-12-08,6018.0,Itch Remedies
3,2020-12-09,5629.0,Itch Remedies
4,2020-12-10,6431.0,Itch Remedies
5,2020-12-11,6755.0,Itch Remedies
6,2020-12-12,5479.0,Itch Remedies
7,2020-12-13,5723.0,Itch Remedies
8,2020-12-14,5541.0,Itch Remedies
9,2020-12-15,5541.0,Itch Remedies
10,2020-12-16,5541.0,Itch Remedies
11,2020-12-17,5541.0,Itch Remedies
12,2020-12-18,5541.0,Itch Remedies
13,2020-12-19,5541.0,Itch Remedies
14,2020-12-20,5541.0,Itch Remedies
15,2020-12-21,5541.0,Itch Remedies
16,2020-12-22,6986.0,Itch Remedies
17,2020-12-23,6986.0,Itch Remedies
18,2020-12-24,6986.0,Itch Remedies
19,2020-12-25,28050.0,Itch Remedies
20,2020-12-26,27637.0,Itch Remedies
21,2020-12-27,30921.0,Itch Remedies
22,2020-12-28,30921.0,Itch Remedies
23,2020-12-29,28782.0,Itch Remedies
24,2020-12-30,29189.0,Itch Remedies
25,2020-12-31,26797.0,Itch Remedies
26,2021-01-01,22298.0,Itch Remedies
27,2021-01-02,26406.0,Itch Remedies
28,2021-01-03,24047.0,Itch Remedies
29,2021-01-04,26343.0,Itch Remedies
30,2021-01-05,22259.0,Itch Remedies
31,2021-01-06,21368.0,Itch Remedies
32,2021-01-07,20179.0,Itch Remedies
33,2021-01-08,30880.0,Itch Remedies
34,2021-01-09,30880.0,Itch Remedies
35,2021-01-10,30880.0,Itch Remedies
36,2021-01-11,30880.0,Itch Remedies
37,2021-01-12,30880.0,Itch Remedies
38,2021-01-13,30880.0,Itch Remedies
39,2021-01-14,30880.0,Itch Remedies
40,2021-01-15,30880.0,Itch Remedies
41,2021-01-16,30880.0,Itch Remedies
42,2021-01-17,30880.0,Itch Remedies
43,2021-01-18,30880.0,Itch Remedies
44,2021-01-19,30880.0,Itch Remedies
45,2021-01-20,30880.0,Itch Remedies
46,2021-01-21,30880.0,Itch Remedies
47,2021-01-22,30880.0,Itch Remedies
