,date,value,name_B07S7R5V72
144,2020-10-17,18201.0,Trace Minerals
145,2020-10-18,18201.0,Trace Minerals
146,2020-10-19,19928.0,Trace Minerals
147,2020-10-20,14134.0,Trace Minerals
148,2020-10-21,14134.0,Trace Minerals
149,2020-10-22,14512.0,Trace Minerals
150,2020-10-23,12894.0,Trace Minerals
151,2020-10-24,15346.0,Trace Minerals
152,2020-10-25,15346.0,Trace Minerals
153,2020-10-26,14647.0,Trace Minerals
154,2020-10-27,14647.0,Trace Minerals
155,2020-10-28,14694.0,Trace Minerals
156,2020-10-29,13863.0,Trace Minerals
157,2020-10-30,15262.0,Trace Minerals
158,2020-10-31,15262.0,Trace Minerals
159,2020-11-01,14063.0,Trace Minerals
160,2020-11-02,14063.0,Trace Minerals
161,2020-11-03,23342.0,Trace Minerals
162,2020-11-04,21302.0,Trace Minerals
163,2020-11-05,17232.0,Trace Minerals
164,2020-11-06,17232.0,Trace Minerals
165,2020-11-07,18517.0,Trace Minerals
166,2020-11-08,18517.0,Trace Minerals
167,2020-11-09,18649.0,Trace Minerals
168,2020-11-10,18649.0,Trace Minerals
169,2020-11-11,22705.0,Trace Minerals
170,2020-11-12,21412.0,Trace Minerals
171,2020-11-13,22680.0,Trace Minerals
172,2020-11-14,19621.0,Trace Minerals
173,2020-11-15,19621.0,Trace Minerals
174,2020-11-16,19168.0,Trace Minerals
175,2020-11-17,19168.0,Trace Minerals
176,2020-11-18,22856.0,Trace Minerals
177,2020-11-19,20932.0,Trace Minerals
178,2020-11-20,19640.0,Trace Minerals
179,2020-11-21,17545.0,Trace Minerals
180,2020-11-22,17545.0,Trace Minerals
181,2020-11-23,18993.0,Trace Minerals
182,2020-11-24,22584.0,Trace Minerals
183,2020-11-25,22672.0,Trace Minerals
184,2020-11-26,21306.0,Trace Minerals
185,2020-11-27,18954.0,Trace Minerals
186,2020-11-28,18954.0,Trace Minerals
187,2020-11-29,18954.0,Trace Minerals
188,2020-11-30,24945.0,Trace Minerals
189,2020-12-01,21393.0,Trace Minerals
190,2020-12-02,21888.0,Trace Minerals
191,2020-12-03,19145.0,Trace Minerals
192,2020-12-04,25139.0,Trace Minerals
193,2020-12-05,22133.0,Trace Minerals
194,2020-12-06,24193.0,Trace Minerals
195,2020-12-07,21494.0,Trace Minerals
196,2020-12-08,26444.0,Trace Minerals
197,2020-12-09,24814.0,Trace Minerals
198,2020-12-10,24226.0,Trace Minerals
199,2020-12-11,30352.0,Trace Minerals
200,2020-12-12,26700.0,Trace Minerals
201,2020-12-13,26427.0,Trace Minerals
202,2020-12-14,28596.0,Trace Minerals
203,2020-12-15,26054.0,Trace Minerals
204,2020-12-16,31894.0,Trace Minerals
