,date,value,name_B07SXSZJT4
0,2020-05-24,2433.0,Soft-Sided Carriers
1,2020-05-25,2433.0,Soft-Sided Carriers
2,2020-05-26,2395.0,Soft-Sided Carriers
3,2020-05-27,1968.0,Soft-Sided Carriers
4,2020-05-28,1968.0,Soft-Sided Carriers
5,2020-05-29,1968.0,Soft-Sided Carriers
6,2020-05-30,1951.0,Soft-Sided Carriers
7,2020-05-31,1951.0,Soft-Sided Carriers
8,2020-06-01,1710.0,Soft-Sided Carriers
9,2020-06-02,1710.0,Soft-Sided Carriers
10,2020-06-03,1710.0,Soft-Sided Carriers
11,2020-06-04,1710.0,Soft-Sided Carriers
12,2020-06-05,1517.0,Soft-Sided Carriers
13,2020-06-06,1600.0,Soft-Sided Carriers
14,2020-06-07,1600.0,Soft-Sided Carriers
15,2020-06-08,1600.0,Soft-Sided Carriers
16,2020-06-09,1937.0,Soft-Sided Carriers
17,2020-06-10,1937.0,Soft-Sided Carriers
18,2020-06-11,1937.0,Soft-Sided Carriers
19,2020-06-12,2803.0,Soft-Sided Carriers
20,2020-06-13,2803.0,Soft-Sided Carriers
21,2020-06-14,2803.0,Soft-Sided Carriers
22,2020-06-15,5604.0,Soft-Sided Carriers
23,2020-06-16,5493.0,Soft-Sided Carriers
24,2020-06-17,5493.0,Soft-Sided Carriers
25,2020-06-18,5763.0,Soft-Sided Carriers
26,2020-06-19,4759.0,Soft-Sided Carriers
27,2020-06-20,4759.0,Soft-Sided Carriers
28,2020-06-21,3004.0,Soft-Sided Carriers
29,2020-06-22,3004.0,Soft-Sided Carriers
30,2020-06-23,3004.0,Soft-Sided Carriers
31,2020-06-24,3145.0,Soft-Sided Carriers
32,2020-06-25,3145.0,Soft-Sided Carriers
33,2020-06-26,3145.0,Soft-Sided Carriers
34,2020-06-27,2371.0,Soft-Sided Carriers
35,2020-06-28,2667.0,Soft-Sided Carriers
36,2020-06-29,2667.0,Soft-Sided Carriers
37,2020-06-30,2667.0,Soft-Sided Carriers
38,2020-07-01,2698.0,Soft-Sided Carriers
39,2020-07-02,2591.0,Soft-Sided Carriers
40,2020-07-03,2591.0,Soft-Sided Carriers
41,2020-07-04,3300.0,Soft-Sided Carriers
42,2020-07-05,4906.0,Soft-Sided Carriers
43,2020-07-06,4906.0,Soft-Sided Carriers
44,2020-07-07,4678.0,Soft-Sided Carriers
45,2020-07-08,5668.0,Soft-Sided Carriers
46,2020-07-09,5668.0,Soft-Sided Carriers
47,2020-07-10,6183.0,Soft-Sided Carriers
