,date,value,name_B085DTRJZR
176,2020-11-18,4522.0,Electric
177,2020-11-19,4673.0,Electric
178,2020-11-20,4673.0,Electric
179,2020-11-21,4673.0,Electric
180,2020-11-22,3989.0,Electric
181,2020-11-23,4446.0,Electric
182,2020-11-24,4446.0,Electric
183,2020-11-25,5009.0,Electric
184,2020-11-26,5009.0,Electric
185,2020-11-27,5009.0,Electric
186,2020-11-28,5009.0,Electric
187,2020-11-29,6339.0,Electric
188,2020-11-30,7135.0,Electric
189,2020-12-01,7135.0,Electric
190,2020-12-02,7135.0,Electric
191,2020-12-03,7135.0,Electric
192,2020-12-04,6449.0,Electric
193,2020-12-05,6449.0,Electric
194,2020-12-06,7343.0,Electric
195,2020-12-07,7576.0,Electric
196,2020-12-08,7576.0,Electric
197,2020-12-09,7576.0,Electric
198,2020-12-10,7445.0,Electric
199,2020-12-11,7445.0,Electric
200,2020-12-12,6062.0,Electric
201,2020-12-13,6062.0,Electric
202,2020-12-14,6745.0,Electric
203,2020-12-15,7089.0,Electric
204,2020-12-16,6132.0,Electric
205,2020-12-17,6132.0,Electric
206,2020-12-18,6132.0,Electric
207,2020-12-19,4424.0,Electric
208,2020-12-20,4424.0,Electric
209,2020-12-21,4435.0,Electric
210,2020-12-22,4699.0,Electric
211,2020-12-23,4195.0,Electric
212,2020-12-24,4159.0,Electric
213,2020-12-25,3962.0,Electric
214,2020-12-26,3962.0,Electric
215,2020-12-27,4511.0,Electric
216,2020-12-28,4511.0,Electric
217,2020-12-29,4554.0,Electric
218,2020-12-30,4466.0,Electric
219,2020-12-31,4466.0,Electric
220,2021-01-01,4466.0,Electric
221,2021-01-02,3020.0,Electric
222,2021-01-03,3342.0,Electric
223,2021-01-04,2984.0,Electric
224,2021-01-05,2984.0,Electric
225,2021-01-06,2984.0,Electric
226,2021-01-07,3356.0,Electric
227,2021-01-08,3769.0,Electric
228,2021-01-09,3769.0,Electric
229,2021-01-10,4117.0,Electric
230,2021-01-11,3901.0,Electric
231,2021-01-12,4205.0,Electric
232,2021-01-13,4205.0,Electric
233,2021-01-14,4205.0,Electric
234,2021-01-15,4087.0,Electric
235,2021-01-16,4087.0,Electric
236,2021-01-17,4087.0,Electric
237,2021-01-18,4162.0,Electric
238,2021-01-19,4071.0,Electric
239,2021-01-20,5168.0,Electric
240,2021-01-21,5168.0,Electric
241,2021-01-22,5552.0,Electric
242,2021-01-23,5552.0,Electric
243,2021-01-24,5552.0,Electric
244,2021-01-25,5265.0,Electric
245,2021-01-26,5864.0,Electric
246,2021-01-27,5864.0,Electric
247,2021-01-28,6115.0,Electric
248,2021-01-29,5591.0,Electric
249,2021-01-30,5833.0,Electric
250,2021-01-31,6539.0,Electric
251,2021-02-01,6539.0,Electric
252,2021-02-02,6650.0,Electric
253,2021-02-03,6650.0,Electric
254,2021-02-04,6650.0,Electric
255,2021-02-05,7262.0,Electric
256,2021-02-06,7262.0,Electric
257,2021-02-07,7262.0,Electric
258,2021-02-08,6060.0,Electric
259,2021-02-09,6315.0,Electric
260,2021-02-10,5323.0,Electric
261,2021-02-11,5323.0,Electric
262,2021-02-12,5323.0,Electric
263,2021-02-13,6288.0,Electric
264,2021-02-14,6288.0,Electric
265,2021-02-15,6288.0,Electric
266,2021-02-16,6268.0,Electric
267,2021-02-17,6990.0,Electric
268,2021-02-18,6990.0,Electric
269,2021-02-19,6990.0,Electric
270,2021-02-20,6424.0,Electric
271,2021-02-21,6424.0,Electric
272,2021-02-22,6424.0,Electric
273,2021-02-23,6001.0,Electric
