,date,value,name_B08F4TB35H
0,2020-08-08,53487.0,Quilt Sets
1,2020-08-09,53487.0,Quilt Sets
2,2020-08-10,40377.0,Quilt Sets
3,2020-08-11,40377.0,Quilt Sets
4,2020-08-12,40377.0,Quilt Sets
5,2020-08-13,40377.0,Quilt Sets
6,2020-08-14,40377.0,Quilt Sets
7,2020-08-15,40377.0,Quilt Sets
8,2020-08-16,40377.0,Quilt Sets
9,2020-08-17,40377.0,Quilt Sets
10,2020-08-18,40377.0,Quilt Sets
11,2020-08-19,40377.0,Quilt Sets
12,2020-08-20,40377.0,Quilt Sets
13,2020-08-21,40377.0,Quilt Sets
14,2020-08-22,40377.0,Quilt Sets
15,2020-08-23,40377.0,Quilt Sets
16,2020-08-24,40377.0,Quilt Sets
17,2020-08-25,40377.0,Quilt Sets
18,2020-08-26,40377.0,Quilt Sets
19,2020-08-27,40377.0,Quilt Sets
20,2020-08-28,40377.0,Quilt Sets
21,2020-08-29,40377.0,Quilt Sets
22,2020-08-30,40377.0,Quilt Sets
23,2020-08-31,40377.0,Quilt Sets
24,2020-09-01,40377.0,Quilt Sets
25,2020-09-02,40377.0,Quilt Sets
26,2020-09-03,40377.0,Quilt Sets
27,2020-09-04,40377.0,Quilt Sets
28,2020-09-05,40377.0,Quilt Sets
29,2020-09-06,40377.0,Quilt Sets
30,2020-09-07,40377.0,Quilt Sets
31,2020-09-08,40377.0,Quilt Sets
32,2020-09-09,40377.0,Quilt Sets
33,2020-09-10,40377.0,Quilt Sets
34,2020-09-11,40377.0,Quilt Sets
35,2020-09-12,40377.0,Quilt Sets
36,2020-09-13,40377.0,Quilt Sets
37,2020-09-14,40377.0,Quilt Sets
38,2020-09-15,40377.0,Quilt Sets
39,2020-09-16,106788.0,Quilt Sets
40,2020-09-17,106788.0,Quilt Sets
41,2020-09-18,106788.0,Quilt Sets
42,2020-09-19,106788.0,Quilt Sets
43,2020-09-20,106788.0,Quilt Sets
44,2020-09-21,91020.0,Quilt Sets
45,2020-09-22,91020.0,Quilt Sets
46,2020-09-23,91020.0,Quilt Sets
47,2020-09-24,41528.0,Quilt Sets
48,2020-09-25,41528.0,Quilt Sets
49,2020-09-26,41528.0,Quilt Sets
50,2020-09-27,57922.0,Quilt Sets
51,2020-09-28,95557.0,Quilt Sets
52,2020-09-29,95557.0,Quilt Sets
53,2020-09-30,95557.0,Quilt Sets
54,2020-10-01,95557.0,Quilt Sets
55,2020-10-02,95557.0,Quilt Sets
56,2020-10-03,57932.0,Quilt Sets
57,2020-10-04,57932.0,Quilt Sets
58,2020-10-05,57932.0,Quilt Sets
59,2020-10-06,57932.0,Quilt Sets
60,2020-10-07,66930.0,Quilt Sets
61,2020-10-08,66930.0,Quilt Sets
62,2020-10-09,66930.0,Quilt Sets
63,2020-10-10,66930.0,Quilt Sets
64,2020-10-11,66930.0,Quilt Sets
65,2020-10-12,66930.0,Quilt Sets
66,2020-10-13,85498.0,Quilt Sets
67,2020-10-14,48829.0,Quilt Sets
68,2020-10-15,48033.0,Quilt Sets
69,2020-10-16,48033.0,Quilt Sets
70,2020-10-17,48033.0,Quilt Sets
71,2020-10-18,48033.0,Quilt Sets
72,2020-10-19,61354.0,Quilt Sets
73,2020-10-20,82222.0,Quilt Sets
74,2020-10-21,82222.0,Quilt Sets
75,2020-10-22,82222.0,Quilt Sets
76,2020-10-23,89891.0,Quilt Sets
77,2020-10-24,89891.0,Quilt Sets
78,2020-10-25,89891.0,Quilt Sets
79,2020-10-26,89891.0,Quilt Sets
80,2020-10-27,70832.0,Quilt Sets
81,2020-10-28,70832.0,Quilt Sets
82,2020-10-29,70832.0,Quilt Sets
83,2020-10-30,70832.0,Quilt Sets
84,2020-10-31,80934.0,Quilt Sets
85,2020-11-01,80934.0,Quilt Sets
86,2020-11-02,80934.0,Quilt Sets
87,2020-11-03,64071.0,Quilt Sets
88,2020-11-04,64071.0,Quilt Sets
89,2020-11-05,64071.0,Quilt Sets
90,2020-11-06,64071.0,Quilt Sets
91,2020-11-07,64071.0,Quilt Sets
92,2020-11-08,64071.0,Quilt Sets
93,2020-11-09,57348.0,Quilt Sets
94,2020-11-10,57348.0,Quilt Sets
95,2020-11-11,57348.0,Quilt Sets
96,2020-11-12,57348.0,Quilt Sets
97,2020-11-13,67061.0,Quilt Sets
98,2020-11-14,67061.0,Quilt Sets
99,2020-11-15,67061.0,Quilt Sets
100,2020-11-16,67061.0,Quilt Sets
101,2020-11-17,67061.0,Quilt Sets
102,2020-11-18,67061.0,Quilt Sets
103,2020-11-19,41250.0,Quilt Sets
104,2020-11-20,41250.0,Quilt Sets
105,2020-11-21,41250.0,Quilt Sets
106,2020-11-22,59893.0,Quilt Sets
107,2020-11-23,59893.0,Quilt Sets
108,2020-11-24,59893.0,Quilt Sets
109,2020-11-25,59893.0,Quilt Sets
110,2020-11-26,74974.0,Quilt Sets
111,2020-11-27,55694.0,Quilt Sets
112,2020-11-28,55694.0,Quilt Sets
113,2020-11-29,55694.0,Quilt Sets
114,2020-11-30,52502.0,Quilt Sets
115,2020-12-01,55180.0,Quilt Sets
116,2020-12-02,55180.0,Quilt Sets
117,2020-12-03,55180.0,Quilt Sets
118,2020-12-04,50295.0,Quilt Sets
119,2020-12-05,50295.0,Quilt Sets
120,2020-12-06,50295.0,Quilt Sets
121,2020-12-07,50295.0,Quilt Sets
122,2020-12-08,57668.0,Quilt Sets
123,2020-12-09,57668.0,Quilt Sets
124,2020-12-10,57668.0,Quilt Sets
125,2020-12-11,56324.0,Quilt Sets
126,2020-12-12,73578.0,Quilt Sets
127,2020-12-13,73578.0,Quilt Sets
128,2020-12-14,73578.0,Quilt Sets
129,2020-12-15,73578.0,Quilt Sets
130,2020-12-16,73578.0,Quilt Sets
131,2020-12-17,40097.0,Quilt Sets
132,2020-12-18,40097.0,Quilt Sets
133,2020-12-19,42580.0,Quilt Sets
134,2020-12-20,42580.0,Quilt Sets
135,2020-12-21,42580.0,Quilt Sets
136,2020-12-22,42580.0,Quilt Sets
137,2020-12-23,42580.0,Quilt Sets
138,2020-12-24,42580.0,Quilt Sets
139,2020-12-25,42580.0,Quilt Sets
140,2020-12-26,45876.0,Quilt Sets
141,2020-12-27,45876.0,Quilt Sets
142,2020-12-28,45876.0,Quilt Sets
143,2020-12-29,45876.0,Quilt Sets
144,2020-12-30,45876.0,Quilt Sets
145,2020-12-31,41378.0,Quilt Sets
146,2021-01-01,41378.0,Quilt Sets
147,2021-01-02,29315.0,Quilt Sets
148,2021-01-03,29315.0,Quilt Sets
149,2021-01-04,29315.0,Quilt Sets
150,2021-01-05,29315.0,Quilt Sets
151,2021-01-06,29315.0,Quilt Sets
152,2021-01-07,36376.0,Quilt Sets
153,2021-01-08,36376.0,Quilt Sets
154,2021-01-09,36376.0,Quilt Sets
155,2021-01-10,36376.0,Quilt Sets
156,2021-01-11,30359.0,Quilt Sets
157,2021-01-12,30359.0,Quilt Sets
158,2021-01-13,35484.0,Quilt Sets
159,2021-01-14,35484.0,Quilt Sets
160,2021-01-15,38026.0,Quilt Sets
161,2021-01-16,38026.0,Quilt Sets
162,2021-01-17,38026.0,Quilt Sets
163,2021-01-18,31887.0,Quilt Sets
164,2021-01-19,31197.0,Quilt Sets
165,2021-01-20,33599.0,Quilt Sets
166,2021-01-21,33599.0,Quilt Sets
167,2021-01-22,34830.0,Quilt Sets
168,2021-01-23,34830.0,Quilt Sets
169,2021-01-24,34830.0,Quilt Sets
170,2021-01-25,41160.0,Quilt Sets
171,2021-01-26,41186.0,Quilt Sets
172,2021-01-27,41186.0,Quilt Sets
173,2021-01-28,49107.0,Quilt Sets
174,2021-01-29,49107.0,Quilt Sets
175,2021-01-30,28574.0,Quilt Sets
176,2021-01-31,28574.0,Quilt Sets
177,2021-02-01,40446.0,Quilt Sets
178,2021-02-02,40446.0,Quilt Sets
179,2021-02-03,40446.0,Quilt Sets
180,2021-02-04,40446.0,Quilt Sets
181,2021-02-05,40446.0,Quilt Sets
182,2021-02-06,32143.0,Quilt Sets
183,2021-02-07,32143.0,Quilt Sets
