,date,value,name_B08697XBQX
0,2020-04-03,38726.0,Panels
1,2020-04-04,38726.0,Panels
2,2020-04-05,38726.0,Panels
3,2020-04-06,31879.0,Panels
4,2020-04-07,31879.0,Panels
5,2020-04-08,31879.0,Panels
6,2020-04-09,60941.0,Panels
7,2020-04-10,60941.0,Panels
8,2020-04-11,73578.0,Panels
9,2020-04-12,73578.0,Panels
10,2020-04-13,73578.0,Panels
11,2020-04-14,63724.0,Panels
12,2020-04-15,63724.0,Panels
13,2020-04-16,63724.0,Panels
14,2020-04-17,63724.0,Panels
15,2020-04-18,63724.0,Panels
16,2020-04-19,63724.0,Panels
17,2020-04-20,63724.0,Panels
18,2020-04-21,63724.0,Panels
19,2020-04-22,63724.0,Panels
20,2020-04-23,26815.0,Panels
21,2020-04-24,26815.0,Panels
22,2020-04-25,26815.0,Panels
23,2020-04-26,21171.0,Panels
24,2020-04-27,21171.0,Panels
25,2020-04-28,21171.0,Panels
26,2020-04-29,20136.0,Panels
27,2020-04-30,20136.0,Panels
28,2020-05-01,20136.0,Panels
29,2020-05-02,20136.0,Panels
30,2020-05-03,20136.0,Panels
31,2020-05-04,20136.0,Panels
32,2020-05-05,20136.0,Panels
33,2020-05-06,20136.0,Panels
34,2020-05-07,13583.0,Panels
35,2020-05-08,13583.0,Panels
36,2020-05-09,13583.0,Panels
37,2020-05-10,13583.0,Panels
38,2020-05-11,18135.0,Panels
39,2020-05-12,18135.0,Panels
40,2020-05-13,14884.0,Panels
41,2020-05-14,14884.0,Panels
42,2020-05-15,14884.0,Panels
43,2020-05-16,11337.0,Panels
44,2020-05-17,11337.0,Panels
45,2020-05-18,11337.0,Panels
46,2020-05-19,22447.0,Panels
47,2020-05-20,22447.0,Panels
48,2020-05-21,22447.0,Panels
49,2020-05-22,16365.0,Panels
50,2020-05-23,16365.0,Panels
51,2020-05-24,16365.0,Panels
52,2020-05-25,16365.0,Panels
53,2020-05-26,18426.0,Panels
54,2020-05-27,18426.0,Panels
55,2020-05-28,18426.0,Panels
56,2020-05-29,27389.0,Panels
57,2020-05-30,27389.0,Panels
58,2020-05-31,27389.0,Panels
59,2020-06-01,35512.0,Panels
60,2020-06-02,35512.0,Panels
61,2020-06-03,35512.0,Panels
62,2020-06-04,26544.0,Panels
63,2020-06-05,26544.0,Panels
64,2020-06-06,45530.0,Panels
65,2020-06-07,45530.0,Panels
66,2020-06-08,45530.0,Panels
67,2020-06-09,27758.0,Panels
68,2020-06-10,27758.0,Panels
69,2020-06-11,27758.0,Panels
70,2020-06-12,27758.0,Panels
71,2020-06-13,27758.0,Panels
72,2020-06-14,27758.0,Panels
73,2020-06-15,27758.0,Panels
74,2020-06-16,48274.0,Panels
75,2020-06-17,48274.0,Panels
76,2020-06-18,48274.0,Panels
77,2020-06-19,48274.0,Panels
78,2020-06-20,48274.0,Panels
79,2020-06-21,38112.0,Panels
80,2020-06-22,38112.0,Panels
81,2020-06-23,38112.0,Panels
82,2020-06-24,38112.0,Panels
83,2020-06-25,38112.0,Panels
84,2020-06-26,21233.0,Panels
85,2020-06-27,21233.0,Panels
86,2020-06-28,21233.0,Panels
87,2020-06-29,23637.0,Panels
88,2020-06-30,18370.0,Panels
89,2020-07-01,18370.0,Panels
90,2020-07-02,11336.0,Panels
91,2020-07-03,11336.0,Panels
92,2020-07-04,11336.0,Panels
93,2020-07-05,17501.0,Panels
94,2020-07-06,17501.0,Panels
95,2020-07-07,17501.0,Panels
96,2020-07-08,8978.0,Panels
97,2020-07-09,8978.0,Panels
98,2020-07-10,8978.0,Panels
99,2020-07-11,12564.0,Panels
100,2020-07-12,12564.0,Panels
101,2020-07-13,12564.0,Panels
102,2020-07-14,12574.0,Panels
103,2020-07-15,12574.0,Panels
104,2020-07-16,12574.0,Panels
105,2020-07-17,12286.0,Panels
106,2020-07-18,12286.0,Panels
107,2020-07-19,12286.0,Panels
108,2020-07-20,11045.0,Panels
109,2020-07-21,11045.0,Panels
110,2020-07-22,12100.0,Panels
111,2020-07-23,12100.0,Panels
112,2020-07-24,12128.0,Panels
113,2020-07-25,12128.0,Panels
114,2020-07-26,12128.0,Panels
115,2020-07-27,10476.0,Panels
116,2020-07-28,10476.0,Panels
117,2020-07-29,10476.0,Panels
118,2020-07-30,9978.0,Panels
119,2020-07-31,9978.0,Panels
120,2020-08-01,9978.0,Panels
121,2020-08-02,10197.0,Panels
122,2020-08-03,10197.0,Panels
123,2020-08-04,10197.0,Panels
124,2020-08-05,10197.0,Panels
125,2020-08-06,12734.0,Panels
126,2020-08-07,12734.0,Panels
127,2020-08-08,12734.0,Panels
128,2020-08-09,12039.0,Panels
129,2020-08-10,12039.0,Panels
130,2020-08-11,12039.0,Panels
131,2020-08-12,12039.0,Panels
132,2020-08-13,14493.0,Panels
133,2020-08-14,14493.0,Panels
134,2020-08-15,12068.0,Panels
135,2020-08-16,12068.0,Panels
136,2020-08-17,12068.0,Panels
137,2020-08-18,12068.0,Panels
138,2020-08-19,16855.0,Panels
139,2020-08-20,16855.0,Panels
140,2020-08-21,16370.0,Panels
141,2020-08-22,16370.0,Panels
142,2020-08-23,16370.0,Panels
143,2020-08-24,16370.0,Panels
144,2020-08-25,13983.0,Panels
145,2020-08-26,13983.0,Panels
146,2020-08-27,13983.0,Panels
147,2020-08-28,14052.0,Panels
148,2020-08-29,14052.0,Panels
149,2020-08-30,14052.0,Panels
150,2020-08-31,14052.0,Panels
151,2020-09-01,13581.0,Panels
152,2020-09-02,13581.0,Panels
153,2020-09-03,13581.0,Panels
154,2020-09-04,13581.0,Panels
155,2020-09-05,13891.0,Panels
156,2020-09-06,13891.0,Panels
157,2020-09-07,10588.0,Panels
158,2020-09-08,13850.0,Panels
