,date,value,name_B07S3GJTZ7
151,2019-12-28,25853.0,Chair Pads
152,2019-12-29,25853.0,Chair Pads
153,2019-12-30,16238.0,Chair Pads
154,2019-12-31,16238.0,Chair Pads
155,2020-01-01,16238.0,Chair Pads
156,2020-01-02,16238.0,Chair Pads
157,2020-01-03,27044.0,Chair Pads
158,2020-01-04,27044.0,Chair Pads
159,2020-01-05,27044.0,Chair Pads
160,2020-01-06,29016.0,Chair Pads
161,2020-01-07,29016.0,Chair Pads
162,2020-01-08,70406.0,Chair Pads
163,2020-01-09,70406.0,Chair Pads
164,2020-01-10,57003.0,Chair Pads
165,2020-01-11,57003.0,Chair Pads
166,2020-01-12,57003.0,Chair Pads
167,2020-01-13,57003.0,Chair Pads
168,2020-01-14,58295.0,Chair Pads
169,2020-01-15,58295.0,Chair Pads
170,2020-01-16,58295.0,Chair Pads
171,2020-01-17,58295.0,Chair Pads
172,2020-01-18,58295.0,Chair Pads
173,2020-01-19,42930.0,Chair Pads
174,2020-01-20,42930.0,Chair Pads
175,2020-01-21,57536.0,Chair Pads
176,2020-01-22,68190.0,Chair Pads
177,2020-01-23,26063.0,Chair Pads
178,2020-01-24,26063.0,Chair Pads
179,2020-01-25,26063.0,Chair Pads
180,2020-01-26,26063.0,Chair Pads
181,2020-01-27,26063.0,Chair Pads
182,2020-01-28,26063.0,Chair Pads
183,2020-01-29,26063.0,Chair Pads
184,2020-01-30,26063.0,Chair Pads
185,2020-01-31,25658.0,Chair Pads
186,2020-02-01,25658.0,Chair Pads
187,2020-02-02,25658.0,Chair Pads
188,2020-02-03,18604.0,Chair Pads
189,2020-02-04,18604.0,Chair Pads
190,2020-02-05,18604.0,Chair Pads
191,2020-02-06,18604.0,Chair Pads
192,2020-02-07,34856.0,Chair Pads
193,2020-02-08,34856.0,Chair Pads
194,2020-02-09,25777.0,Chair Pads
195,2020-02-10,25777.0,Chair Pads
196,2020-02-11,23623.0,Chair Pads
197,2020-02-12,22319.0,Chair Pads
198,2020-02-13,22319.0,Chair Pads
199,2020-02-14,22319.0,Chair Pads
200,2020-02-15,22319.0,Chair Pads
201,2020-02-16,22319.0,Chair Pads
202,2020-02-17,22319.0,Chair Pads
203,2020-02-18,21168.0,Chair Pads
204,2020-02-19,21168.0,Chair Pads
205,2020-02-20,21168.0,Chair Pads
206,2020-02-21,21168.0,Chair Pads
207,2020-02-22,21168.0,Chair Pads
208,2020-02-23,21168.0,Chair Pads
209,2020-02-24,6099.0,Chair Pads
210,2020-02-25,6099.0,Chair Pads
211,2020-02-26,6099.0,Chair Pads
212,2020-02-27,6099.0,Chair Pads
213,2020-02-28,16600.0,Chair Pads
214,2020-02-29,12728.0,Chair Pads
215,2020-03-01,12728.0,Chair Pads
216,2020-03-02,12728.0,Chair Pads
217,2020-03-03,17294.0,Chair Pads
218,2020-03-04,17294.0,Chair Pads
219,2020-03-05,22381.0,Chair Pads
220,2020-03-06,22381.0,Chair Pads
221,2020-03-07,22381.0,Chair Pads
222,2020-03-08,22381.0,Chair Pads
223,2020-03-09,22381.0,Chair Pads
224,2020-03-10,-1.0,Chair Pads
225,2020-03-11,-1.0,Chair Pads
226,2020-03-12,-1.0,Chair Pads
227,2020-03-13,-1.0,Chair Pads
228,2020-03-14,-1.0,Chair Pads
229,2020-03-15,-1.0,Chair Pads
230,2020-03-16,-1.0,Chair Pads
231,2020-03-17,-1.0,Chair Pads
232,2020-03-18,-1.0,Chair Pads
233,2020-03-19,-1.0,Chair Pads
234,2020-03-20,-1.0,Chair Pads
235,2020-03-21,-1.0,Chair Pads
236,2020-03-22,-1.0,Chair Pads
237,2020-03-23,-1.0,Chair Pads
238,2020-03-24,-1.0,Chair Pads
239,2020-03-25,-1.0,Chair Pads
240,2020-03-26,-1.0,Chair Pads
241,2020-03-27,-1.0,Chair Pads
242,2020-03-28,-1.0,Chair Pads
243,2020-03-29,-1.0,Chair Pads
244,2020-03-30,-1.0,Chair Pads
245,2020-03-31,-1.0,Chair Pads
246,2020-04-01,-1.0,Chair Pads
247,2020-04-02,-1.0,Chair Pads
248,2020-04-03,-1.0,Chair Pads
249,2020-04-04,-1.0,Chair Pads
250,2020-04-05,-1.0,Chair Pads
251,2020-04-06,-1.0,Chair Pads
252,2020-04-07,-1.0,Chair Pads
253,2020-04-08,-1.0,Chair Pads
254,2020-04-09,-1.0,Chair Pads
255,2020-04-10,-1.0,Chair Pads
256,2020-04-11,-1.0,Chair Pads
257,2020-04-12,-1.0,Chair Pads
258,2020-04-13,-1.0,Chair Pads
259,2020-04-14,-1.0,Chair Pads
260,2020-04-15,-1.0,Chair Pads
261,2020-04-16,-1.0,Chair Pads
262,2020-04-17,-1.0,Chair Pads
263,2020-04-18,-1.0,Chair Pads
264,2020-04-19,-1.0,Chair Pads
265,2020-04-20,-1.0,Chair Pads
266,2020-04-21,-1.0,Chair Pads
267,2020-04-22,-1.0,Chair Pads
268,2020-04-23,-1.0,Chair Pads
269,2020-04-24,-1.0,Chair Pads
270,2020-04-25,-1.0,Chair Pads
271,2020-04-26,-1.0,Chair Pads
272,2020-04-27,-1.0,Chair Pads
273,2020-04-28,-1.0,Chair Pads
274,2020-04-29,-1.0,Chair Pads
275,2020-04-30,-1.0,Chair Pads
276,2020-05-01,-1.0,Chair Pads
277,2020-05-02,-1.0,Chair Pads
278,2020-05-03,-1.0,Chair Pads
279,2020-05-04,-1.0,Chair Pads
280,2020-05-05,-1.0,Chair Pads
281,2020-05-06,-1.0,Chair Pads
282,2020-05-07,-1.0,Chair Pads
283,2020-05-08,-1.0,Chair Pads
284,2020-05-09,-1.0,Chair Pads
285,2020-05-10,-1.0,Chair Pads
286,2020-05-11,-1.0,Chair Pads
287,2020-05-12,-1.0,Chair Pads
288,2020-05-13,-1.0,Chair Pads
289,2020-05-14,-1.0,Chair Pads
290,2020-05-15,-1.0,Chair Pads
291,2020-05-16,-1.0,Chair Pads
292,2020-05-17,-1.0,Chair Pads
293,2020-05-18,-1.0,Chair Pads
294,2020-05-19,-1.0,Chair Pads
295,2020-05-20,-1.0,Chair Pads
296,2020-05-21,-1.0,Chair Pads
297,2020-05-22,-1.0,Chair Pads
298,2020-05-23,-1.0,Chair Pads
299,2020-05-24,-1.0,Chair Pads
300,2020-05-25,-1.0,Chair Pads
301,2020-05-26,-1.0,Chair Pads
302,2020-05-27,-1.0,Chair Pads
303,2020-05-28,-1.0,Chair Pads
304,2020-05-29,-1.0,Chair Pads
305,2020-05-30,-1.0,Chair Pads
306,2020-05-31,-1.0,Chair Pads
307,2020-06-01,-1.0,Chair Pads
308,2020-06-02,-1.0,Chair Pads
309,2020-06-03,-1.0,Chair Pads
310,2020-06-04,-1.0,Chair Pads
311,2020-06-05,-1.0,Chair Pads
312,2020-06-06,-1.0,Chair Pads
313,2020-06-07,-1.0,Chair Pads
314,2020-06-08,-1.0,Chair Pads
315,2020-06-09,-1.0,Chair Pads
316,2020-06-10,-1.0,Chair Pads
317,2020-06-11,-1.0,Chair Pads
318,2020-06-12,-1.0,Chair Pads
319,2020-06-13,-1.0,Chair Pads
320,2020-06-14,-1.0,Chair Pads
321,2020-06-15,-1.0,Chair Pads
322,2020-06-16,-1.0,Chair Pads
323,2020-06-17,-1.0,Chair Pads
324,2020-06-18,-1.0,Chair Pads
325,2020-06-19,-1.0,Chair Pads
326,2020-06-20,-1.0,Chair Pads
327,2020-06-21,-1.0,Chair Pads
328,2020-06-22,-1.0,Chair Pads
329,2020-06-23,-1.0,Chair Pads
330,2020-06-24,-1.0,Chair Pads
331,2020-06-25,-1.0,Chair Pads
332,2020-06-26,-1.0,Chair Pads
333,2020-06-27,-1.0,Chair Pads
334,2020-06-28,-1.0,Chair Pads
335,2020-06-29,-1.0,Chair Pads
336,2020-06-30,-1.0,Chair Pads
337,2020-07-01,-1.0,Chair Pads
338,2020-07-02,-1.0,Chair Pads
339,2020-07-03,-1.0,Chair Pads
340,2020-07-04,-1.0,Chair Pads
341,2020-07-05,-1.0,Chair Pads
342,2020-07-06,-1.0,Chair Pads
343,2020-07-07,-1.0,Chair Pads
344,2020-07-08,-1.0,Chair Pads
345,2020-07-09,-1.0,Chair Pads
346,2020-07-10,-1.0,Chair Pads
347,2020-07-11,-1.0,Chair Pads
348,2020-07-12,-1.0,Chair Pads
349,2020-07-13,-1.0,Chair Pads
350,2020-07-14,-1.0,Chair Pads
351,2020-07-15,-1.0,Chair Pads
352,2020-07-16,-1.0,Chair Pads
353,2020-07-17,-1.0,Chair Pads
354,2020-07-18,-1.0,Chair Pads
355,2020-07-19,-1.0,Chair Pads
356,2020-07-20,-1.0,Chair Pads
357,2020-07-21,-1.0,Chair Pads
358,2020-07-22,-1.0,Chair Pads
359,2020-07-23,-1.0,Chair Pads
360,2020-07-24,-1.0,Chair Pads
361,2020-07-25,-1.0,Chair Pads
362,2020-07-26,-1.0,Chair Pads
363,2020-07-27,-1.0,Chair Pads
364,2020-07-28,-1.0,Chair Pads
365,2020-07-29,-1.0,Chair Pads
366,2020-07-30,-1.0,Chair Pads
367,2020-07-31,3000.0,Chair Pads
368,2020-08-01,3000.0,Chair Pads
369,2020-08-02,2711.0,Chair Pads
370,2020-08-03,2711.0,Chair Pads
371,2020-08-04,2711.0,Chair Pads
372,2020-08-05,2198.0,Chair Pads
373,2020-08-06,2250.0,Chair Pads
374,2020-08-07,2250.0,Chair Pads
375,2020-08-08,2018.0,Chair Pads
376,2020-08-09,2018.0,Chair Pads
377,2020-08-10,1740.0,Chair Pads
378,2020-08-11,1605.0,Chair Pads
379,2020-08-12,2211.0,Chair Pads
380,2020-08-13,2211.0,Chair Pads
381,2020-08-14,2211.0,Chair Pads
382,2020-08-15,3098.0,Chair Pads
383,2020-08-16,3098.0,Chair Pads
384,2020-08-17,6043.0,Chair Pads
385,2020-08-18,5009.0,Chair Pads
386,2020-08-19,6306.0,Chair Pads
